ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf
34,,,1,TAPAN DEB SINGHA,267,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,PRAVASH SARKAR,8,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,SOUMEN ROY,331,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,GOPAL CHUNARY,2,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,NAMALA KANTA SARKAR,1,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,ALEN SARKAR,1,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,Dilip Chandra Ray,3,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,SHYAMA SARKAR,4,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,SUDHIR SARKAR,4,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,1,SURESH BARMAN,6,627.0,0.0,9.0,636.0,34_Form20.pdf
34,,,2,TAPAN DEB SINGHA,311,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,PRAVASH SARKAR,20,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,SOUMEN ROY,362,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,GOPAL CHUNARY,6,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,NAMALA KANTA SARKAR,2,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,ALEN SARKAR,1,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,Dilip Chandra Ray,3,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,SHYAMA SARKAR,0,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,SUDHIR SARKAR,13,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,2,SURESH BARMAN,2,720.0,0.0,12.0,732.0,34_Form20.pdf
34,,,3,TAPAN DEB SINGHA,270,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,PRAVASH SARKAR,10,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,SOUMEN ROY,309,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,GOPAL CHUNARY,2,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,NAMALA KANTA SARKAR,0,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,ALEN SARKAR,0,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,Dilip Chandra Ray,3,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,SHYAMA SARKAR,3,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,SUDHIR SARKAR,2,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3,SURESH BARMAN,1,600.0,0.0,9.0,609.0,34_Form20.pdf
34,,,3(A),TAPAN DEB SINGHA,291,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),PRAVASH SARKAR,32,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),SOUMEN ROY,206,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),GOPAL CHUNARY,4,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),NAMALA KANTA SARKAR,1,547.0,0.0,11.0,558.0,34_Form20.pdf
34,,,3(A),ALEN SARKAR,1,547.0,0.0,11.0,558.0,34_Form20.pdf
