ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf,selected_source,district,region_scope,booths,total_valid_coverage_pct,placeholder_booth_pct,booths_low_candidate_count,booths_with_placeholders,is_placeholder_candidate,candidate_needs_party_review,ac_quality_flag,form20_model_ready
1,,22646.0,3,ADHIKARY,318,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,4,ADHIKARY,305,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,5,ADHIKARY,262,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,5(A),ADHIKARY,248,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,6,ADHIKARY,267,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,7(A),ADHIKARY,245,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,7,ADHIKARY,338,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,8,ADHIKARY,350,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,9,ADHIKARY,359,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,10,ADHIKARY,246,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,10(A),ADHIKARY,317,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,11,ADHIKARY,447,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
1,,22646.0,12,ADHIKARY,152,,,,,1_Form20.pdf,ocr_llamacloud,Cooch Behar,North Bengal,56,0.304,0.214,45,12,False,False,low_booth_count;,False
