ac_no,booths,booth_candidate_rows,avg_candidates_per_booth,booths_with_total_valid,booths_sum_gt_total,booths_sum_lt_total,booths_low_candidate_count,booths_high_candidate_count,booths_with_placeholders,total_valid_coverage_pct,placeholder_booth_pct,district,region_scope
1,56,68,1.2142857142857142,17,0,10,45,0,12,0.304,0.214,Cooch Behar,North Bengal
2,214,1753,7.098130841121495,84,8,2,0,0,33,0.393,0.154,Cooch Behar,North Bengal
3,73,250,3.356164383561644,26,18,4,1,0,17,0.356,0.233,Cooch Behar,North Bengal
4,191,1401,6.890052356020942,121,17,60,0,0,120,0.634,0.628,Cooch Behar,North Bengal
5,42,209,4.976190476190476,1,1,0,0,0,0,0.024,0.0,Cooch Behar,North Bengal
6,138,904,5.949275362318841,87,28,37,43,0,25,0.63,0.181,Cooch Behar,North Bengal
7,170,925,5.4411764705882355,30,1,0,0,0,0,0.176,0.0,Cooch Behar,North Bengal
8,222,1148,5.171171171171171,74,6,40,27,0,39,0.333,0.176,Cooch Behar,North Bengal
9,214,1633,7.630841121495327,128,67,16,0,0,70,0.598,0.327,Cooch Behar,North Bengal
10,226,1040,4.601769911504425,133,91,2,24,0,37,0.588,0.164,Alipurduar,North Bengal
11,51,497,9.27450980392157,1,0,0,0,0,1,0.02,0.02,Alipurduar,North Bengal
12,192,1176,5.4375,84,45,17,13,0,91,0.438,0.474,Alipurduar,North Bengal
13,338,2475,7.322485207100592,178,0,0,0,0,163,0.527,0.482,Alipurduar,North Bengal
14,145,647,4.462068965517242,65,27,5,14,0,76,0.448,0.524,Alipurduar,North Bengal
15,202,1451,7.183168316831683,27,12,8,0,0,0,0.134,0.0,Jalpaiguri,North Bengal
16,236,2020,8.233050847457626,116,30,12,0,0,0,0.492,0.0,Jalpaiguri,North Bengal
17,160,1131,7.06875,59,6,36,0,0,25,0.369,0.156,Jalpaiguri,North Bengal
18,51,323,6.235294117647059,19,3,16,0,0,26,0.373,0.51,Jalpaiguri,North Bengal
19,84,432,4.904761904761905,75,3,38,40,0,18,0.893,0.214,Jalpaiguri,North Bengal
20,153,732,4.235294117647059,85,27,48,16,0,27,0.556,0.176,Jalpaiguri,North Bengal
21,77,577,7.4935064935064934,1,1,0,0,0,0,0.013,0.0,Jalpaiguri,North Bengal
22,71,494,6.887323943661972,7,6,1,0,0,17,0.099,0.239,Kalimpong,North Bengal
23,285,2575,8.52280701754386,199,150,21,3,0,42,0.698,0.147,Darjeeling,North Bengal
24,221,973,4.380090497737557,59,13,40,58,0,62,0.267,0.281,Darjeeling,North Bengal
25,307,1350,4.381107491856677,133,2,56,22,0,0,0.433,0.0,Darjeeling,North Bengal
26,25,221,8.84,25,0,2,2,0,0,1.0,0.0,Darjeeling,North Bengal
27,25,48,1.92,1,0,1,2,0,0,0.04,0.0,Darjeeling,North Bengal
28,276,1403,4.797101449275362,135,71,2,0,0,0,0.489,0.0,Uttar Dinajpur,North Bengal
29,35,174,4.9714285714285715,33,1,1,0,0,0,0.943,0.0,Uttar Dinajpur,North Bengal
30,93,516,5.473118279569892,41,26,4,0,0,0,0.441,0.0,Uttar Dinajpur,North Bengal
31,65,366,5.446153846153846,32,0,9,0,0,0,0.492,0.0,Uttar Dinajpur,North Bengal
32,279,1842,6.494623655913978,33,6,11,19,0,22,0.118,0.079,Uttar Dinajpur,North Bengal
33,216,780,3.611111111111111,34,1,25,48,0,168,0.157,0.778,Uttar Dinajpur,North Bengal
34,22,168,7.0,16,1,14,0,0,22,0.727,1.0,Uttar Dinajpur,North Bengal
35,56,602,10.107142857142858,30,4,26,0,0,0,0.536,0.0,Uttar Dinajpur,North Bengal
36,91,576,6.329670329670329,0,0,0,0,0,0,0.0,0.0,Uttar Dinajpur,North Bengal
37,167,695,4.1017964071856285,138,37,58,2,0,0,0.826,0.0,Dakshin Dinajpur,North Bengal
38,120,438,3.65,108,41,63,2,0,52,0.9,0.433,Dakshin Dinajpur,North Bengal
39,162,1182,7.253086419753086,18,1,0,0,0,0,0.111,0.0,Dakshin Dinajpur,North Bengal
40,166,621,3.7409638554216866,74,4,63,1,0,0,0.446,0.0,Dakshin Dinajpur,North Bengal
41,167,603,3.1137724550898205,64,1,61,60,0,0,0.383,0.0,Dakshin Dinajpur,North Bengal
42,243,1523,6.176954732510288,91,35,29,37,0,0,0.374,0.0,Dakshin Dinajpur,North Bengal
43,103,390,2.9805825242718447,0,0,0,0,0,103,0.0,1.0,Malda,North Bengal
44,281,1329,4.302491103202847,95,33,47,29,0,0,0.338,0.0,Malda,North Bengal
45,221,851,3.8506787330316743,145,43,75,24,0,161,0.656,0.729,Malda,North Bengal
46,56,238,4.25,33,2,28,6,0,24,0.589,0.429,Malda,North Bengal
47,178,1228,6.898876404494382,130,29,0,0,0,0,0.73,0.0,Malda,North Bengal
48,306,2143,6.980392156862745,13,4,2,0,0,0,0.042,0.0,Malda,North Bengal
49,337,2435,7.198813056379822,191,15,20,17,0,18,0.567,0.053,Malda,North Bengal
50,76,493,6.4868421052631575,38,0,0,0,0,0,0.5,0.0,Malda,North Bengal
51,346,2283,6.583815028901734,5,1,0,0,0,0,0.014,0.0,Malda,North Bengal
52,193,2005,9.8860103626943,92,39,0,0,0,0,0.477,0.0,Malda,North Bengal
53,286,2566,8.342657342657343,51,10,0,0,0,0,0.178,0.0,Malda,North Bengal
54,255,1881,6.792156862745098,136,19,5,0,0,0,0.533,0.0,Malda,North Bengal
