ac_no,ac_name,bjp_win_probability_bjp_moderate,bjp_win_probability_bjp_surge,bjp_win_probability_neutral,bjp_win_probability_tmc_consolidation,bjp_win_probability_tmc_defence,expected_margin_bjp_moderate,expected_margin_bjp_surge,expected_margin_neutral,expected_margin_tmc_consolidation,expected_margin_tmc_defence,mean_bjp_votes_bjp_moderate,mean_bjp_votes_bjp_surge,mean_bjp_votes_neutral,mean_bjp_votes_tmc_consolidation,mean_bjp_votes_tmc_defence,mean_tmc_votes_bjp_moderate,mean_tmc_votes_bjp_surge,mean_tmc_votes_neutral,mean_tmc_votes_tmc_consolidation,mean_tmc_votes_tmc_defence,tmc_win_probability_bjp_moderate,tmc_win_probability_bjp_surge,tmc_win_probability_neutral,tmc_win_probability_tmc_consolidation,tmc_win_probability_tmc_defence,winner_party,winner_votes,runner_party,runner_votes,margin_2021,district,lean_neutral,lean_bjp_moderate,lean_bjp_surge,lean_tmc_consolidation,lean_tmc_defence,bjp_wins_across_scenarios
22,Kalimpong,1.0,1.0,1.0,1.0,1.0,73822.06658682,73750.89785832577,74087.6131777215,72576.68371573344,67931.47294502672,74510.4428441131,74064.20860522363,75422.29954660659,75434.40467476763,71960.4445006824,688.3762572931064,313.31074689784714,1334.686368885094,2857.720959034206,4028.971555655672,0.0,0.0,0.0,0.0,0.0,GJM (TAMANG),58206,BJP,54336,3870,Kalimpong,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
49,Manikchak,1.0,1.0,1.0,1.0,1.0,150255.49550222245,152880.7975804946,148055.1409908103,141335.39231334176,130212.4371929305,169850.042251112,170128.16379024793,170712.57049540523,169286.39615667064,160824.3685964653,19594.54674888957,17247.366209753312,22657.429504594933,27951.003843328883,30611.9314035348,0.0,0.0,0.0,0.0,0.0,TMC,110234,BJP,76356,33878,Malda,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
44,Gazole (SC),1.0,1.0,1.0,1.0,1.0,58603.01157706189,62306.34684544344,55063.47899761794,48478.46181673598,41918.09052344705,106080.104938531,107093.21892272156,105901.2394988084,104176.12090836791,98544.85026172368,47477.09336146911,44786.87207727812,50837.76050119048,55697.65909163195,56626.75973827663,0.0,0.0,0.0,0.0,0.0,BJP,100655,TMC,98857,1798,Malda,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
25,Matigara-Naxalbari (SC),1.0,1.0,1.0,0.9998,0.9985,71828.61779412258,78522.77270801415,65599.05068027346,55102.64280006896,45841.254609954216,130429.65693028586,132744.46509667826,129273.29081244917,125954.56218179376,118429.65512256672,58601.03913616328,54221.69238866412,63674.24013217568,70851.9193817248,72588.40051261251,0.0,0.0,0.0,0.0002,0.0015,BJP,139785,TMC,68454,71331,Darjeeling,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
24,Kurseong,1.0,1.0,1.0,1.0,1.0,150092.5845862557,149960.88541979255,150615.29797806175,147529.27511973988,138092.7202717155,151489.20455263305,150588.46759451946,153334.50645509217,153352.03217525536,146292.94902726103,1396.61996637736,627.5821747268935,2719.208477030428,5822.757055515464,8200.228755545533,0.0,0.0,0.0,0.0,0.0,BJP,73475,GJM (TAMANG),57960,15515,Darjeeling,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
23,Darjeeling,1.0,1.0,1.0,1.0,1.0,169684.2465570111,170542.74438828713,169235.1247014982,164133.0027627042,152520.1966092991,196850.73442850556,196056.6576941438,198947.0623507494,198682.5913813521,189446.3033046495,27166.487871494417,25513.913305856648,29711.93764925117,34549.5886186479,36926.106695350405,0.0,0.0,0.0,0.0,0.0,BJP,68907,GJM (TAMANG),47631,21276,Darjeeling,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
26,Siliguri,0.9998,0.99995,0.9989,0.991,0.97025,21148.42583986652,23820.863550495444,18590.33452063539,14377.802211047789,10988.588675428844,47267.65179493323,48203.115525247566,46748.91726031769,45391.726105523696,42573.50683771442,26119.2259550667,24382.25197475213,28158.582739682304,31013.923894475905,31584.91816228558,0.0002,5e-05,0.0011,0.009,0.02975,BJP,89370,TMC,53784,35586,Darjeeling,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
20,Mal (ST),0.9994,0.99985,0.99635,0.974,0.9253,39794.08119831128,45085.934392301024,34535.108985667226,25601.975436013152,18493.78284748833,110761.27649915556,112414.8101961507,110014.55449283344,107402.92771800655,101066.42142374437,70967.19530084427,67328.87580384969,75479.44550716622,81800.9522819934,82572.63857625602,0.0006,0.00015,0.00365,0.026,0.0747,TMC,99086,BJP,93621,5465,Jalpaiguri,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
14,Madarihat,0.99845,0.9998,0.99215,0.95415,0.8834,20932.147808445658,24217.580036205258,17739.407486208678,12545.70022903691,8586.506135484982,54876.70258180921,56034.378656033456,54200.54857069068,52510.31183865613,49170.78944705293,33944.554773363554,31816.7986198282,36461.141084482006,39964.61160961923,40584.28331156795,0.00155,0.0002,0.00785,0.04585,0.1166,BJP,90718,TMC,61033,29685,Alipurduar,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,5
11,Kalchini (ST),0.9942,0.99875,0.97845,0.89345,0.77505,18710.213950092097,22194.558325675014,15291.201739602231,9772.775374394509,5716.708192794621,55972.902047595046,57205.928162837576,55229.34596784053,53421.80768719723,49966.261743456,37262.68809750296,35011.36983716256,39938.1442282383,43649.03231280272,44249.55355066138,0.0058,0.00125,0.02155,0.10655,0.22495,BJP,103104,TMC,74528,28576,Alipurduar,SAFE_BJP,SAFE_BJP,SAFE_BJP,SAFE_BJP,LIKELY_BJP,5
