ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario
1,Mekliganj (SC),20000,45712.73506858044,53659.26493141952,0.15975,0.84025,-7946.529862839079,0.0,0.0,0.0,0.015,0.04,neutral
2,Mathabhanga (SC),20000,82506.74851419465,63539.7070932817,0.94705,0.05295,18967.041420912956,0.0,0.0,0.0,0.015,0.04,neutral
3,Cooch Behar Uttar (SC),20000,64937.261038118646,57020.73896188099,0.7886,0.2114,7916.522076237655,0.0,0.0,0.0,0.015,0.04,neutral
4,Cooch Behar Dakshin,20000,59575.33315121384,56403.29773883778,0.63415,0.36585,3172.035412376058,0.0,0.0,0.0,0.015,0.04,neutral
5,Sitalkuchi (SC),20000,14311.90203354608,11608.09796645397,0.8986,0.1014,2703.8040670921087,0.0,0.0,0.0,0.015,0.04,neutral
6,Sitai (SC),20000,66047.0095672055,72233.16434583829,0.28715,0.71285,-6186.154778632796,0.0,0.0,0.0,0.015,0.04,neutral
7,Dinhata,20000,57247.114719565536,55082.88528043443,0.58875,0.41125,2164.2294391311048,0.0,0.0,0.0,0.015,0.04,neutral
8,Natabari,20000,76759.3262239057,60766.04764996841,0.92585,0.07415,15993.278573937285,0.0,0.0,0.0,0.015,0.04,neutral
9,Tufanganj,20000,90813.04659670306,66040.08658086711,0.975,0.025,24772.960015835954,0.0,0.0,0.0,0.015,0.04,neutral
10,Kumargram (ST),20000,85343.15978840663,76959.9242823907,0.74005,0.25995,8383.235506015933,0.0,0.0,0.0,0.015,0.04,neutral
11,Kalchini (ST),20000,55229.34596784053,39938.1442282383,0.97845,0.02155,15291.201739602231,0.0,0.0,0.0,0.015,0.04,neutral
12,Alipurduars,20000,87114.05406015979,74287.08656483982,0.83995,0.16005,12826.967495319974,0.0,0.0,0.0,0.015,0.04,neutral
13,Falakata,20000,115120.00197707408,110815.99802292604,0.59555,0.40445,4304.00395414803,0.0,0.0,0.0,0.015,0.04,neutral
14,Madarihat,20000,54200.54857069068,36461.141084482006,0.99215,0.00785,17739.407486208678,0.0,0.0,0.0,0.015,0.04,neutral
15,Dhupguri (SC),20000,80392.945230309,77221.0250667206,0.60075,0.39925,3171.9201635884046,0.0,0.0,0.0,0.015,0.04,neutral
16,Maynaguri (SC),20000,90871.79805554084,81526.4032156452,0.75165,0.24835,9345.394839895655,0.0,0.0,0.0,0.015,0.04,neutral
17,Jalpaiguri (SC),20000,56663.14430872588,57273.38694127417,0.47225,0.52775,-610.2426325482845,0.0,0.0,0.0,0.015,0.04,neutral
18,Rajganj (SC),20000,46722.26357276282,55101.23642723733,0.15255,0.84745,-8378.972854474508,0.0,0.0,0.0,0.015,0.04,neutral
19,Dabgram-Phulbari,20000,67406.10761062322,53079.3923893768,0.931,0.069,14326.715221246415,0.0,0.0,0.0,0.015,0.04,neutral
20,Mal (ST),20000,110014.55449283344,75479.44550716622,0.99635,0.00365,34535.108985667226,0.0,0.0,0.0,0.015,0.04,neutral
21,Nagrakata (ST),20000,60138.48929348824,45187.80291430392,0.96175,0.03825,14950.686379184324,0.0,0.0,0.0,0.015,0.04,neutral
22,Kalimpong,20000,75422.29954660659,1334.686368885094,1.0,0.0,74087.6131777215,0.0,0.0,0.0,0.015,0.04,neutral
23,Darjeeling,20000,198947.0623507494,29711.93764925117,1.0,0.0,169235.1247014982,0.0,0.0,0.0,0.015,0.04,neutral
24,Kurseong,20000,153334.50645509217,2719.208477030428,1.0,0.0,150615.29797806175,0.0,0.0,0.0,0.015,0.04,neutral
25,Matigara-Naxalbari (SC),20000,129273.29081244915,63674.240132175684,1.0,0.0,65599.05068027346,0.0,0.0,0.0,0.015,0.04,neutral
26,Siliguri,20000,46748.91726031769,28158.582739682304,0.9989,0.0011,18590.33452063539,0.0,0.0,0.0,0.015,0.04,neutral
27,Phansidewa (ST),20000,56037.877291049444,41349.62270895033,0.96915,0.03085,14688.254582099116,0.0,0.0,0.0,0.015,0.04,neutral
28,Chopra,20000,61883.850302511324,128518.74933517003,5e-05,0.99995,-66634.89903265871,0.0,0.0,0.0,0.015,0.04,neutral
29,Islampur,20000,6400.3462554065145,12265.653744593468,0.0,1.0,-5865.307489186954,0.0,0.0,0.0,0.015,0.04,neutral
30,Goalpokhar,20000,17042.0360430305,21567.963956969455,0.0442,0.9558,-4525.927913938955,0.0,0.0,0.0,0.015,0.04,neutral
31,Chakulia,20000,33402.97583623723,54968.793394532404,0.0011,0.9989,-21565.817558295177,0.0,0.0,0.0,0.015,0.04,neutral
32,Karandighi,20000,55531.34602357251,89345.65397642739,0.0,1.0,-33814.307952854884,0.0,0.0,0.0,0.015,0.04,neutral
33,Hemtabad (SC),20000,49882.315132646254,65025.49968216821,0.0501,0.9499,-15143.184549521959,0.0,0.0,0.0,0.015,0.04,neutral
34,Kaliaganj (SC),20000,129941.38898370104,104495.6110163001,0.9164,0.0836,25445.777967400943,0.0,0.0,0.0,0.015,0.04,neutral
35,Raiganj,20000,41906.77003547899,30992.68532166422,0.96915,0.03085,10914.084713814771,0.0,0.0,0.0,0.015,0.04,neutral
36,Itahar,20000,37005.665894850856,59987.3341051486,0.00115,0.99885,-22981.668210297747,0.0,0.0,0.0,0.015,0.04,neutral
37,Kushmandi (SC),20000,51517.05011518033,59938.7163518851,0.1718,0.8282,-8421.666236704772,0.0,0.0,0.0,0.015,0.04,neutral
38,Kumarganj,20000,33504.47096844075,49888.15403155944,0.0078,0.9922,-16383.68306311869,0.0,0.0,0.0,0.015,0.04,neutral
39,Balurghat,20000,53283.5396847492,43368.15167327585,0.8997,0.1003,9915.388011473358,0.0,0.0,0.0,0.015,0.04,neutral
40,Tapan (ST),20000,55531.048173940886,54456.63556099911,0.54875,0.45125,1074.4126129417778,0.0,0.0,0.0,0.015,0.04,neutral
41,Gangarampur (SC),20000,60629.86118990903,57574.653780150904,0.62975,0.37025,3055.2074097581267,0.0,0.0,0.0,0.015,0.04,neutral
42,Harirampur,20000,102935.76855851087,135084.53596823761,0.0469,0.9531,-32148.767409726737,0.0,0.0,0.0,0.015,0.04,neutral
43,Habibpur (ST),20000,107885.52314242139,85441.0959051985,0.92875,0.07125,22444.427237222884,0.0,0.0,0.0,0.015,0.04,neutral
44,Gazole (SC),20000,105901.23949880841,50837.76050119048,1.0,0.0,55063.47899761794,0.0,0.0,0.0,0.015,0.04,neutral
45,Chanchal,20000,32724.417992774408,78115.6589303031,0.0,1.0,-45391.2409375287,0.0,0.0,0.0,0.015,0.04,neutral
46,Harishchandrapur,20000,23331.50756976034,63546.99243023958,0.0,1.0,-40215.48486047924,0.0,0.0,0.0,0.015,0.04,neutral
47,Malatipur,20000,19340.194508244487,101793.80549175615,0.0,1.0,-82453.61098351167,0.0,0.0,0.0,0.015,0.04,neutral
48,Ratua,20000,145354.73321051014,128185.26678949011,0.8687,0.1313,17169.46642102003,0.0,0.0,0.0,0.015,0.04,neutral
49,Manikchak,20000,170712.57049540523,22657.429504594933,1.0,0.0,148055.1409908103,0.0,0.0,0.0,0.015,0.04,neutral
50,Maldaha,20000,49013.14406390371,40949.855936096326,0.86995,0.13005,8063.288127807379,0.0,0.0,0.0,0.015,0.04,neutral
