ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,46731.86151468808,50622.88688531178,0.30945,0.69055,-3891.0253706237077,0.01,0.03,0.02,0.015,0.04
2,Mathabhanga (SC),20000,83693.49577052904,59388.21678811515,0.9837,0.0163,24305.2789824139,0.01,0.03,0.02,0.015,0.04
3,Cooch Behar Uttar (SC),20000,66008.67969104488,53473.572908954564,0.9061,0.0939,12535.106782090319,0.01,0.03,0.02,0.015,0.04
4,Cooch Behar Dakshin,20000,60638.43918190385,52985.82550108025,0.7997,0.2003,7652.613680823594,0.01,0.03,0.02,0.015,0.04
5,Sitalkuchi (SC),20000,14528.318177382935,10865.505822617186,0.9626,0.0374,3662.8123547657474,0.01,0.03,0.02,0.015,0.04
6,Sitai (SC),20000,67415.71700064317,68057.36938196552,0.4773,0.5227,-641.6523813223481,0.01,0.03,0.02,0.015,0.04
7,Dinhata,20000,58128.48176016128,51921.219239838465,0.7666,0.2334,6207.262520322817,0.01,0.03,0.02,0.015,0.04
8,Natabari,20000,77895.78407724491,56837.82470698894,0.97465,0.02535,21057.959370255972,0.01,0.03,0.02,0.015,0.04
9,Tufanganj,20000,92042.92204227061,61626.092531794515,0.99295,0.00705,30416.829510476102,0.01,0.03,0.02,0.015,0.04
10,Kumargram (ST),20000,86790.86027398489,72217.47119017421,0.8749,0.1251,14573.389083810674,0.01,0.03,0.02,0.015,0.04
11,Kalchini (ST),20000,55972.902047595046,37262.688097502956,0.9942,0.0058,18710.213950092097,0.01,0.03,0.02,0.015,0.04
12,Alipurduars,20000,88508.13271214484,69616.56475816808,0.9322,0.0678,18891.567953976763,0.01,0.03,0.02,0.015,0.04
13,Falakata,20000,117210.05592093887,104139.443279061,0.773,0.227,13070.612641877866,0.01,0.03,0.02,0.015,0.04
14,Madarihat,20000,54876.70258180921,33944.554773363554,0.99845,0.00155,20932.147808445658,0.01,0.03,0.02,0.015,0.04
15,Dhupguri (SC),20000,81849.25657613383,72565.15012386639,0.77265,0.22735,9284.106452267444,0.01,0.03,0.02,0.015,0.04
16,Maynaguri (SC),20000,92405.07091072106,76493.44687465996,0.8813,0.1187,15911.624036061108,0.01,0.03,0.02,0.015,0.04
17,Jalpaiguri (SC),20000,57745.35487257105,53878.26479305391,0.66965,0.33035,3867.090079517138,0.01,0.03,0.02,0.015,0.04
18,Rajganj (SC),20000,47768.93128123602,51987.55166876423,0.29825,0.70175,-4218.620387528211,0.01,0.03,0.02,0.015,0.04
19,Dabgram-Phulbari,20000,68398.55651312729,49641.08783687229,0.97655,0.02345,18757.468676255,0.01,0.03,0.02,0.015,0.04
20,Mal (ST),20000,110761.27649915555,70967.19530084427,0.9994,0.0006,39794.08119831128,0.01,0.03,0.02,0.015,0.04
21,Nagrakata (ST),20000,60981.44133034993,42206.72714562399,0.9883,0.0117,18774.714184725945,0.01,0.03,0.02,0.015,0.04
22,Kalimpong,20000,74510.4428441131,688.3762572931064,1.0,0.0,73822.06658682,0.01,0.03,0.02,0.015,0.04
23,Darjeeling,20000,196850.73442850553,27166.487871494417,1.0,0.0,169684.2465570111,0.01,0.03,0.02,0.015,0.04
24,Kurseong,20000,151489.20455263305,1396.61996637736,1.0,0.0,150092.5845862557,0.01,0.03,0.02,0.015,0.04
25,Matigara-Naxalbari (SC),20000,130429.65693028586,58601.03913616328,1.0,0.0,71828.61779412258,0.01,0.03,0.02,0.015,0.04
26,Siliguri,20000,47267.65179493323,26119.2259550667,0.9998,0.0002,21148.425839866522,0.01,0.03,0.02,0.015,0.04
27,Phansidewa (ST),20000,56808.519057041274,38602.01469295862,0.9907,0.0093,18206.50436408266,0.01,0.03,0.02,0.015,0.04
28,Chopra,20000,64358.356678671764,122179.07018636436,0.0001,0.9999,-57820.7135076926,0.01,0.03,0.02,0.015,0.04
29,Islampur,20000,6596.205425732849,11690.874774267177,0.0001,0.9999,-5094.669348534328,0.01,0.03,0.02,0.015,0.04
30,Goalpokhar,20000,17301.273629230236,20524.9433707698,0.1114,0.8886,-3223.6697415395647,0.01,0.03,0.02,0.015,0.04
