ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,48147.29900145435,48144.168998545596,0.5038,0.4962,3.1300029087483883,0.02,0.05,0.04,0.015,0.04
2,Mathabhanga (SC),20000,85609.79992960073,55909.21555404432,0.99585,0.00415,29700.58437555641,0.02,0.05,0.04,0.015,0.04
3,Cooch Behar Uttar (SC),20000,67651.2980259367,50526.00397406286,0.9648,0.0352,17125.294051873832,0.02,0.05,0.04,0.015,0.04
4,Cooch Behar Dakshin,20000,62223.8295568251,50159.46377563551,0.90775,0.09225,12064.36578118959,0.02,0.05,0.04,0.015,0.04
5,Sitalkuchi (SC),20000,14871.552274952901,10244.927725047042,0.989,0.011,4626.624549905859,0.02,0.05,0.04,0.015,0.04
6,Sitai (SC),20000,69359.29181149154,64634.19671024754,0.6701,0.3299,4725.095101243996,0.02,0.05,0.04,0.015,0.04
7,Dinhata,20000,59567.02651203833,49280.743487962165,0.8899,0.1101,10286.283024076163,0.02,0.05,0.04,0.015,0.04
8,Natabari,20000,79710.27060231636,53551.81668146782,0.99255,0.00745,26158.453920848537,0.02,0.05,0.04,0.015,0.04
9,Tufanganj,20000,94077.46959416816,57913.21645489793,0.9985,0.0015,36164.25313927022,0.02,0.05,0.04,0.015,0.04
10,Kumargram (ST),20000,88988.3893735506,68283.29909105174,0.9515,0.0485,20705.090282498848,0.02,0.05,0.04,0.015,0.04
11,Kalchini (ST),20000,57205.928162837576,35011.36983716256,0.99875,0.00125,22194.558325675018,0.02,0.05,0.04,0.015,0.04
12,Alipurduars,20000,90669.42659492041,65728.27867070535,0.975,0.025,24941.147924215067,0.02,0.05,0.04,0.015,0.04
13,Falakata,20000,120308.56127578416,98623.42272421576,0.89495,0.10505,21685.1385515684,0.02,0.05,0.04,0.015,0.04
14,Madarihat,20000,56034.378656033456,31816.7986198282,0.9998,0.0002,24217.580036205258,0.02,0.05,0.04,0.015,0.04
15,Dhupguri (SC),20000,84009.88141688245,68718.05580093959,0.89325,0.10675,15291.825615942847,0.02,0.05,0.04,0.015,0.04
16,Maynaguri (SC),20000,94736.92659709127,72316.93043468981,0.9529,0.0471,22419.99616240145,0.02,0.05,0.04,0.015,0.04
17,Jalpaiguri (SC),20000,59322.76678640522,51081.73199484489,0.82755,0.17245,8241.034791560329,0.02,0.05,0.04,0.015,0.04
18,Rajganj (SC),20000,49220.552262007135,49446.41923799281,0.48885,0.51115,-225.86697598567605,0.02,0.05,0.04,0.015,0.04
19,Dabgram-Phulbari,20000,69986.53625469368,46763.91324530603,0.9918,0.0082,23222.623009387644,0.02,0.05,0.04,0.015,0.04
20,Mal (ST),20000,112414.8101961507,67328.87580384969,0.99985,0.00015,45085.934392301024,0.02,0.05,0.04,0.015,0.04
21,Nagrakata (ST),20000,62356.64321136387,39704.53393798686,0.99725,0.00275,22652.10927337702,0.02,0.05,0.04,0.015,0.04
22,Kalimpong,20000,74064.20860522363,313.31074689784714,1.0,0.0,73750.89785832577,0.02,0.05,0.04,0.015,0.04
23,Darjeeling,20000,196056.6576941438,25513.913305856648,1.0,0.0,170542.74438828713,0.02,0.05,0.04,0.015,0.04
24,Kurseong,20000,150588.46759451946,627.5821747268935,1.0,0.0,149960.88541979255,0.02,0.05,0.04,0.015,0.04
25,Matigara-Naxalbari (SC),20000,132744.46509667826,54221.692388664116,1.0,0.0,78522.77270801415,0.02,0.05,0.04,0.015,0.04
26,Siliguri,20000,48203.115525247566,24382.251974752126,0.99995,5e-05,23820.863550495444,0.02,0.05,0.04,0.015,0.04
27,Phansidewa (ST),20000,58075.442595027016,36293.0449049726,0.9983,0.0017,21782.397690054415,0.02,0.05,0.04,0.015,0.04
28,Chopra,20000,67345.45570509034,117154.66334382365,0.0005,0.9995,-49809.2076387333,0.02,0.05,0.04,0.015,0.04
29,Islampur,20000,6860.003929578874,11227.350070421135,0.0005,0.9995,-4367.346140842261,0.02,0.05,0.04,0.015,0.04
30,Goalpokhar,20000,17748.99156471595,19664.09843528421,0.2373,0.7627,-1915.1068705682605,0.02,0.05,0.04,0.015,0.04
31,Chakulia,20000,35792.77336069778,49839.471023917795,0.0204,0.9796,-14046.697663220019,0.02,0.05,0.04,0.015,0.04
32,Karandighi,20000,57195.63917805927,83190.17382194023,0.00015,0.99985,-25994.534643880965,0.02,0.05,0.04,0.015,0.04
33,Hemtabad (SC),20000,52789.790265756325,58555.8822897992,0.2601,0.7399,-5766.092024042875,0.02,0.05,0.04,0.015,0.04
34,Kaliaganj (SC),20000,134893.90569831192,92275.54730168787,0.99185,0.00815,42618.35839662406,0.02,0.05,0.04,0.015,0.04
35,Raiganj,20000,43433.24305402158,27206.32918704961,0.9978,0.0022,16226.91386697197,0.02,0.05,0.04,0.015,0.04
36,Itahar,20000,39617.93893211076,54368.27806788932,0.02345,0.97655,-14750.339135778559,0.02,0.05,0.04,0.015,0.04
37,Kushmandi (SC),20000,54240.047069873486,53760.59063671337,0.52065,0.47935,479.4564331601143,0.02,0.05,0.04,0.015,0.04
38,Kumarganj,20000,35698.130513418975,45109.32311158108,0.0767,0.9233,-9411.192598162097,0.02,0.05,0.04,0.015,0.04
39,Balurghat,20000,55377.969511558746,38277.51941436707,0.98995,0.01005,17100.45009719168,0.02,0.05,0.04,0.015,0.04
40,Tapan (ST),20000,58072.70830211451,48505.35723704172,0.86655,0.13345,9567.351065072793,0.02,0.05,0.04,0.015,0.04
41,Gangarampur (SC),20000,63331.94249326129,51208.232512727,0.90685,0.09315,12123.709980534286,0.02,0.05,0.04,0.015,0.04
42,Harirampur,20000,108970.42673665356,121671.24834976516,0.24405,0.75595,-12700.821613111591,0.02,0.05,0.04,0.015,0.04
43,Habibpur (ST),20000,112034.41167929137,75299.0821778513,0.9927,0.0073,36735.32950144006,0.02,0.05,0.04,0.015,0.04
44,Gazole (SC),20000,107093.21892272156,44786.872077278116,1.0,0.0,62306.34684544344,0.02,0.05,0.04,0.015,0.04
45,Chanchal,20000,36006.122416536746,71397.9121219251,0.0,1.0,-35391.78970538834,0.02,0.05,0.04,0.015,0.04
46,Harishchandrapur,20000,25975.641495097767,58209.62500490224,0.0,1.0,-32233.983509804475,0.02,0.05,0.04,0.015,0.04
47,Malatipur,20000,22845.65214837939,94533.19385162111,0.0,1.0,-71687.5417032417,0.02,0.05,0.04,0.015,0.04
48,Ratua,20000,148123.79511920616,116936.46488079373,0.98295,0.01705,31187.33023841243,0.02,0.05,0.04,0.015,0.04
