ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,38043.187914931594,41181.31208506839,0.31005,0.68995,-3138.1241701367976,0.0,0.0,0.02,0.015,0.04
2,Mathabhanga (SC),20000,84695.0019363023,59967.38825061434,0.9835,0.0165,24727.61368568796,0.0,0.0,0.02,0.015,0.04
3,Cooch Behar Uttar (SC),20000,50079.60265201874,40584.753512365285,0.90665,0.09335,9494.84913965345,0.0,0.0,0.02,0.015,0.04
4,Cooch Behar Dakshin,20000,68274.30014333916,59641.84121791705,0.79955,0.20045,8632.458925422108,0.0,0.0,0.02,0.015,0.04
5,Sitalkuchi (SC),20000,17552.59545353426,11946.404546465725,0.9924,0.0076,5606.190907068536,0.0,0.0,0.02,0.015,0.04
6,Sitai (SC),20000,57559.60284220013,58136.223244756424,0.4705,0.5295,-576.6204025562882,0.0,0.0,0.02,0.015,0.04
7,Dinhata,20000,69531.19138121953,64751.808618780604,0.66775,0.33225,4779.382762438929,0.0,0.0,0.02,0.015,0.04
8,Natabari,20000,90746.06126522209,65956.68197802108,0.97485,0.02515,24789.379287200998,0.0,0.0,0.02,0.015,0.04
9,Tufanganj,20000,95204.340152438,63743.8304083089,0.99375,0.00625,31460.50974412911,0.0,0.0,0.02,0.015,0.04
10,Kumargram (ST),20000,91430.45461846031,75965.23122224801,0.87605,0.12395,15465.223396212303,0.0,0.0,0.02,0.015,0.04
11,Kalchini (ST),20000,33333.8369276558,22215.349346854007,0.99415,0.00585,11118.487580801791,0.0,0.0,0.02,0.015,0.04
12,Alipurduars,20000,72571.81893838952,57010.65762411054,0.9329,0.0671,15561.161314278985,0.0,0.0,0.02,0.015,0.04
13,Falakata,20000,123578.29664323127,109693.7033567683,0.76825,0.23175,13884.593286462974,0.0,0.0,0.02,0.015,0.04
14,Madarihat,20000,61298.981483598924,37834.94955088353,0.9984,0.0016,23464.031932715392,0.0,0.0,0.02,0.015,0.04
15,Dhupguri (SC),20000,89292.92869520785,79164.52675033647,0.77315,0.22685,10128.40194487139,0.0,0.0,0.02,0.015,0.04
16,Maynaguri (SC),20000,94675.6604454422,78219.99421557464,0.88305,0.11695,16455.666229867566,0.0,0.0,0.02,0.015,0.04
17,Jalpaiguri (SC),20000,61042.647937226466,56992.16456277349,0.6667,0.3333,4050.4833744529724,0.0,0.0,0.02,0.015,0.04
18,Rajganj (SC),20000,40131.07083036586,43584.41936571243,0.3,0.7,-3453.3485353465676,0.0,0.0,0.02,0.015,0.04
19,Dabgram-Phulbari,20000,51596.51504195103,37408.83019614393,0.97775,0.02225,14187.684845807105,0.0,0.0,0.02,0.015,0.04
20,Mal (ST),20000,52178.20497610402,47635.79502389605,0.77885,0.22115,4542.409952207977,0.0,0.0,0.02,0.015,0.04
21,Nagrakata (ST),20000,37295.58881954038,25807.32027136866,0.9879,0.0121,11488.268548171724,0.0,0.0,0.02,0.015,0.04
