ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,39631.9729173651,39592.52708263489,0.5069,0.4931,39.44583473020196,0.0,0.0,0.04,0.015,0.04
2,Mathabhanga (SC),20000,87556.03789447309,57106.352292443014,0.99465,0.00535,30449.685602030073,0.0,0.0,0.04,0.015,0.04
3,Cooch Behar Uttar (SC),20000,51894.14748554254,38770.20867884062,0.96405,0.03595,13123.938806701917,0.0,0.0,0.04,0.015,0.04
4,Cooch Behar Dakshin,20000,70889.72724215889,57026.41411909822,0.909,0.091,13863.313123060667,0.0,0.0,0.04,0.015,0.04
5,Sitalkuchi (SC),20000,18135.63366045865,11363.366339541391,0.998,0.002,6772.267320917259,0.0,0.0,0.04,0.015,0.04
6,Sitai (SC),20000,59838.77368192098,55857.05240503523,0.66605,0.33395,3981.721276885748,0.0,0.0,0.04,0.015,0.04
7,Dinhata,20000,72080.56884745554,62202.43115254437,0.82155,0.17845,9878.137694911171,0.0,0.0,0.04,0.015,0.04
8,Natabari,20000,93787.53780476359,62915.20543848023,0.99295,0.00705,30872.332366283357,0.0,0.0,0.04,0.015,0.04
9,Tufanganj,20000,98415.88129455976,60532.28926618804,0.9985,0.0015,37883.59202837171,0.0,0.0,0.04,0.015,0.04
10,Kumargram (ST),20000,94752.58477720886,72643.10106349942,0.94795,0.05205,22109.483713709436,0.0,0.0,0.04,0.015,0.04
11,Kalchini (ST),20000,34461.07128868324,21088.11498582641,0.9987,0.0013,13372.95630285683,0.0,0.0,0.04,0.015,0.04
12,Alipurduars,20000,75194.38164291324,54388.09491958675,0.978,0.022,20806.28672332649,0.0,0.0,0.04,0.015,0.04
13,Falakata,20000,128287.29268553147,104984.70731446888,0.8934,0.1066,23302.5853710626,0.0,0.0,0.04,0.015,0.04
14,Madarihat,20000,63222.59563871615,35911.33539576668,0.9999,0.0001,27311.260242949473,0.0,0.0,0.04,0.015,0.04
15,Dhupguri (SC),20000,92711.18175281095,75746.27369273346,0.8951,0.1049,16964.908060077487,0.0,0.0,0.04,0.015,0.04
16,Maynaguri (SC),20000,98127.62214566443,74768.03251535201,0.9534,0.0466,23359.589630312417,0.0,0.0,0.04,0.015,0.04
17,Jalpaiguri (SC),20000,63508.476232748355,54526.33626725157,0.8274,0.1726,8982.139965496779,0.0,0.0,0.04,0.015,0.04
18,Rajganj (SC),20000,41815.045144473195,41900.44505160526,0.49575,0.50425,-85.3999071320653,0.0,0.0,0.04,0.015,0.04
19,Dabgram-Phulbari,20000,53387.77357534929,35617.57166274575,0.9943,0.0057,17770.201912603537,0.0,0.0,0.04,0.015,0.04
20,Mal (ST),20000,53695.37731330893,46118.6226866912,0.8989,0.1011,7576.754626617736,0.0,0.0,0.04,0.015,0.04
21,Nagrakata (ST),20000,38560.90118073323,24542.007910175933,0.9964,0.0036,14018.893270557293,0.0,0.0,0.04,0.015,0.04
22,Kalimpong,20000,47837.278364931204,184.73571956639245,1.0,0.0,47652.54264536481,0.0,0.0,0.04,0.015,0.04
23,Darjeeling,20000,195660.18274336835,31481.81725663262,1.0,0.0,164178.3654867357,0.0,0.0,0.04,0.015,0.04
24,Kurseong,20000,188603.52712600838,765.3869011593524,1.0,0.0,187838.14022484902,0.0,0.0,0.04,0.015,0.04
25,Matigara-Naxalbari (SC),20000,136923.56031759508,55904.42991041779,1.0,0.0,81019.13040717728,0.0,0.0,0.04,0.015,0.04
26,Siliguri,20000,16725.367107900078,8459.532892099924,1.0,0.0,8265.834215800154,0.0,0.0,0.04,0.015,0.04
27,Phansidewa (ST),20000,27490.04374414211,17143.956255857807,0.99775,0.00225,10346.087488284302,0.0,0.0,0.04,0.015,0.04
28,Chopra,20000,67823.46208003582,118325.61763010945,0.0003,0.9997,-50502.155550073636,0.0,0.0,0.04,0.015,0.04
29,Islampur,20000,7433.7625569773645,13944.237443022674,5e-05,0.99995,-6510.47488604531,0.0,0.0,0.04,0.015,0.04
30,Goalpokhar,20000,24261.720025730676,37125.27997426917,0.00175,0.99825,-12863.559948538494,0.0,0.0,0.04,0.015,0.04
31,Chakulia,20000,24261.452697543253,33734.316533225865,0.0194,0.9806,-9472.86383568261,0.0,0.0,0.04,0.015,0.04
32,Karandighi,20000,68254.85514658598,96972.14485341383,0.00025,0.99975,-28717.289706827854,0.0,0.0,0.04,0.015,0.04
33,Hemtabad (SC),20000,64739.43778503122,71957.93258533959,0.2548,0.7452,-7218.494800308359,0.0,0.0,0.04,0.015,0.04
34,Kaliaganj (SC),20000,156372.74204598158,109001.25795401816,0.9885,0.0115,47371.48409196341,0.0,0.0,0.04,0.015,0.04
35,Raiganj,20000,28872.309227046753,18099.2264872387,0.99775,0.00225,10773.082739808053,0.0,0.0,0.04,0.015,0.04
36,Itahar,20000,31486.213930220878,43271.357498350146,0.0242,0.9758,-11785.143568129266,0.0,0.0,0.04,0.015,0.04
37,Kushmandi (SC),20000,58274.82155803134,57654.59760364496,0.52495,0.47505,620.2239543863892,0.0,0.0,0.04,0.015,0.04
38,Kumarganj,20000,32965.42101857314,41622.578981427025,0.0704,0.9296,-8657.157962853884,0.0,0.0,0.04,0.015,0.04
39,Balurghat,20000,62443.97703253553,43185.479757587746,0.98895,0.01105,19258.497274947782,0.0,0.0,0.04,0.015,0.04
40,Tapan (ST),20000,63339.04508596785,52907.50913089928,0.87,0.13,10431.535955068577,0.0,0.0,0.04,0.015,0.04
41,Gangarampur (SC),20000,59646.89641780219,48154.681426508956,0.9103,0.0897,11492.214991293233,0.0,0.0,0.04,0.015,0.04
42,Harirampur,20000,89256.80121986456,99383.56503527943,0.25035,0.74965,-10126.76381541487,0.0,0.0,0.04,0.015,0.04
43,Habibpur (ST),20000,122304.33575615873,82295.47376765168,0.9938,0.0062,40008.86198850706,0.0,0.0,0.04,0.015,0.04
44,Gazole (SC),20000,107213.06045801229,58179.93954198776,1.0,0.0,49033.12091602452,0.0,0.0,0.04,0.015,0.04
45,Chanchal,20000,46411.86412173171,91876.83271084713,5e-05,0.99995,-45464.968589115415,0.0,0.0,0.04,0.015,0.04
46,Harishchandrapur,20000,17279.382668464976,38653.64411724911,0.0,1.0,-21374.26144878414,0.0,0.0,0.04,0.015,0.04
47,Malatipur,20000,24063.06422073776,100088.93577926238,0.0,1.0,-76025.87155852461,0.0,0.0,0.04,0.015,0.04
48,Ratua,20000,149876.5513889964,70765.44861100396,1.0,0.0,79111.10277799243,0.0,0.0,0.04,0.015,0.04
49,Manikchak,20000,200851.76592654458,19562.23407345481,1.0,0.0,181289.53185308978,0.0,0.0,0.04,0.015,0.04
50,Maldaha,20000,36929.30455072369,26188.34018611815,0.9827,0.0173,10740.964364605543,0.0,0.0,0.04,0.015,0.04
51,English Bazar,20000,175606.4330674307,121164.81837765515,0.98855,0.01145,54441.61468977556,0.0,0.0,0.04,0.015,0.04
52,Mothabari,20000,45052.04348794145,89485.95651205807,0.0,1.0,-44433.91302411661,0.0,0.0,0.04,0.015,0.04
53,Sujapur,20000,33053.592043156605,152128.407956844,0.0,1.0,-119074.8159136874,0.0,0.0,0.04,0.015,0.04
54,Baisnabnagar,20000,60308.49650876166,105430.50349123852,5e-05,0.99995,-45122.00698247686,0.0,0.0,0.04,0.015,0.04
