ac_no,ac_name,predicted_winner,confidence_pct,bjp_win_probability,tmc_win_probability,expected_margin,competitiveness
22,Kalimpong,BJP,100.0,1.0,0.0,46368.86971753663,very_strong
23,Darjeeling,BJP,100.0,1.0,0.0,157330.5175673928,very_strong
24,Kurseong,BJP,100.0,1.0,0.0,183027.3997728065,very_strong
25,Matigara-Naxalbari (SC),BJP,100.0,1.0,0.0,65389.10781551087,very_strong
44,Gazole (SC),BJP,100.0,0.99995,5e-05,39275.68269774654,very_strong
48,Ratua,BJP,100.0,1.0,0.0,67456.5364305635,very_strong
49,Manikchak,BJP,100.0,1.0,0.0,170376.3303318332,very_strong
26,Siliguri,BJP,99.93,0.9993,0.0007,6285.314762798369,very_strong
14,Madarihat,BJP,99.26,0.9926,0.0074,19403.83897363906,very_strong
11,Kalchini (ST),BJP,97.8,0.97805,0.02195,8878.760026616219,very_strong
9,Tufanganj,BJP,97.68,0.97675,0.02325,25145.747383229194,very_strong
27,Phansidewa (ST),BJP,97.15,0.9715,0.0285,6784.198679025009,very_strong
5,Sitalkuchi (SC),BJP,96.96,0.9696,0.0304,4441.199805654162,very_strong
35,Raiganj,BJP,96.78,0.96785,0.03215,7017.987506254119,very_strong
21,Nagrakata (ST),BJP,96.02,0.96015,0.03985,8911.05304936828,very_strong
2,Mathabhanga (SC),BJP,94.91,0.9491,0.0509,18737.762864973487,strong
19,Dabgram-Phulbari,BJP,93.29,0.93295,0.06705,10719.495079004117,strong
8,Natabari,BJP,93.0,0.92995,0.07005,18338.12172550488,strong
43,Habibpur (ST),BJP,92.78,0.9278,0.0722,23827.39634124524,strong
39,Balurghat,BJP,89.99,0.8999,0.1001,10802.7383175367,strong
51,English Bazar,BJP,89.98,0.89975,0.10025,30752.207227265837,strong
34,Kaliaganj (SC),BJP,89.83,0.8983,0.1017,26331.92931078563,strong
50,Maldaha,BJP,87.03,0.8703,0.1297,5690.275984038532,strong
12,Alipurduars,BJP,84.34,0.84345,0.15655,10529.71373602296,strong
3,Cooch Behar Uttar (SC),BJP,79.25,0.7925,0.2075,5893.490898006719,likely
16,Maynaguri (SC),BJP,75.11,0.75115,0.24885,9379.813160309028,likely
10,Kumargram (ST),BJP,73.59,0.7359,0.2641,8575.96272171532,likely
4,Cooch Behar Dakshin,BJP,63.76,0.63755,0.36245,3595.634289868617,lean
41,Gangarampur (SC),BJP,63.03,0.6303,0.3697,2872.377338688189,lean
20,Mal (ST),BJP,61.14,0.61135,0.38865,1559.263116864872,lean
13,Falakata,BJP,60.36,0.6036,0.3964,4814.882624422741,lean
15,Dhupguri (SC),BJP,60.2,0.602,0.398,3506.497456221652,lean
40,Tapan (ST),BJP,54.88,0.5488,0.4512,1155.5423863277078,toss_up
28,Chopra,TMC,100.0,0.0,1.0,-65329.16388672997,very_strong
29,Islampur,TMC,100.0,0.0,1.0,-8065.203170908046,very_strong
30,Goalpokhar,TMC,100.0,0.0,1.0,-16637.251899748288,very_strong
32,Karandighi,TMC,100.0,0.0,1.0,-36669.5209210848,very_strong
45,Chanchal,TMC,100.0,0.0,1.0,-56577.51006761074,very_strong
46,Harishchandrapur,TMC,100.0,0.0,1.0,-25847.979435284007,very_strong
47,Malatipur,TMC,100.0,0.0,1.0,-84669.18042557263,very_strong
52,Mothabari,TMC,100.0,0.0,1.0,-55067.32861810584,very_strong
53,Sujapur,TMC,100.0,0.0,1.0,-128410.69299101723,very_strong
54,Baisnabnagar,TMC,100.0,0.0,1.0,-57252.73762049074,very_strong
31,Chakulia,TMC,99.91,0.0009,0.9991,-14160.740632735444,very_strong
36,Itahar,TMC,99.85,0.0015,0.9985,-17718.92648565386,very_strong
38,Kumarganj,TMC,99.23,0.0077,0.9923,-14555.014537284673,very_strong
42,Harirampur,TMC,95.44,0.0456,0.9544,-25327.00154386872,very_strong
33,Hemtabad (SC),TMC,94.9,0.051,0.949,-18006.709781051813,strong
18,Rajganj (SC),TMC,84.31,0.1569,0.8431,-6827.189926350665,strong
1,Mekliganj (SC),TMC,83.94,0.1606,0.8394,-6367.930078931689,strong
37,Kushmandi (SC),TMC,82.56,0.17445,0.82555,-8777.087162268443,strong
6,Sitai (SC),TMC,70.74,0.2926,0.7074,-5197.8575932277445,likely
7,Dinhata,TMC,52.77,0.4723,0.5277,-186.8693579902172,toss_up
17,Jalpaiguri (SC),TMC,51.88,0.48125,0.51875,-463.78294657921793,toss_up
