ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,margin_probability_gap,confidence_bucket
1,Mekliganj (SC),20000,30940.94053233397,36350.059467665866,0.1603,0.8397,-5409.118935331899,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.8397,83.97,0.6794,likely
2,Mathabhanga (SC),20000,72196.91829777749,55638.05600128849,0.94925,0.05075,16558.862296489013,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.94925,94.92,0.8985000000000001,high_confidence
3,Cooch Behar Uttar (SC),20000,42941.47774131509,37698.9332175891,0.7921,0.2079,5242.54452372598,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.7921,79.21,0.5842,likely
4,Cooch Behar Dakshin,20000,62194.5608538818,58793.64857020211,0.6375,0.3625,3400.912283679688,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.6375,63.75,0.27499999999999997,lean
5,Sitalkuchi (SC),20000,15663.892640675756,11736.107359324187,0.9634,0.0366,3927.785281351569,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9634,96.34,0.9268000000000001,high_confidence
6,Sitai (SC),20000,44614.95096851574,48811.50555322359,0.29255,0.70745,-4196.554584707845,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.70745,70.74,0.41490000000000005,lean
7,Dinhata,20000,64345.61669529158,64056.38330470843,0.49165,0.50835,289.2333905831456,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.50835,50.83,0.016699999999999993,competitive
8,Natabari,20000,82198.00524649471,64975.4902490008,0.9299,0.0701,17222.514997493912,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9299,92.99,0.8597999999999999,high_confidence
9,Tufanganj,20000,90762.24538931037,65967.45320882043,0.9766,0.0234,24794.79218048993,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9766,97.66,0.9532,high_confidence
10,Kumargram (ST),20000,87262.47525014385,78757.14200649325,0.73585,0.26415,8505.333243650603,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.73585,73.58,0.4717,lean
11,Kalchini (ST),20000,26080.22953555322,18890.897915427056,0.97775,0.02225,7189.331620126161,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.97775,97.78,0.9555,high_confidence
12,Alipurduars,20000,63655.18681382877,54087.46162367136,0.84315,0.15685,9567.725190157413,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.84315,84.32,0.6862999999999999,likely
13,Falakata,20000,103586.76835971004,99397.23164029,0.6033,0.3967,4189.536719420052,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.6033,60.33,0.20659999999999995,lean
14,Madarihat,20000,56891.74005532465,38266.25994467511,0.9926,0.0074,18625.480110649543,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9926,99.26,0.9852000000000001,high_confidence
15,Dhupguri (SC),20000,82229.44550550214,78875.9406331125,0.60215,0.39785,3353.5048723896384,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.60215,60.22,0.20429999999999998,lean
16,Maynaguri (SC),20000,78988.77925746191,70859.14658999573,0.75095,0.24905,8129.632667466176,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.75095,75.1,0.5019,likely
17,Jalpaiguri (SC),20000,54893.95809931502,55326.5887756849,0.4815,0.5185,-432.63067636988166,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.5185,51.85,0.03699999999999998,competitive
18,Rajganj (SC),20000,36610.05062006205,43112.361144643895,0.15715,0.84285,-6502.31052458185,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.84285,84.28,0.6857,likely
19,Dabgram-Phulbari,20000,38113.39234818151,29919.685032770914,0.933,0.067,8193.707315410596,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.933,93.3,0.8660000000000001,high_confidence
20,Mal (ST),20000,46126.43764516311,40989.562354836926,0.83875,0.16125,5136.87529032619,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.83875,83.88,0.6775,likely
21,Nagrakata (ST),20000,25853.312072478453,19454.252862586454,0.96045,0.03955,6399.059209891992,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.96045,96.04,0.9209,high_confidence
22,Kalimpong,20000,46135.33381694339,808.1732253117553,1.0,0.0,45327.16059163164,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
23,Darjeeling,20000,191082.09003499505,34638.90996500479,1.0,0.0,156443.18006999025,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
24,Kurseong,20000,185813.33261018075,3164.1787020256093,1.0,0.0,182649.15390815516,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
25,Matigara-Naxalbari (SC),20000,106170.90004525066,52398.384971036445,1.0,0.0,53772.51507421421,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
26,Siliguri,20000,10119.476143723756,6076.523856276241,0.99915,0.00085,4042.952287447516,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.99915,99.92,0.9983,high_confidence
27,Phansidewa (ST),20000,8831.26581738354,6500.734182616472,0.97185,0.02815,2330.531634767069,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.97185,97.18,0.9437,high_confidence
28,Chopra,20000,57243.246949305954,119148.2729782312,0.0,1.0,-61905.02602892526,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
29,Islampur,20000,6656.3984145460245,14721.601585454073,0.0,1.0,-8065.203170908046,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
30,Goalpokhar,20000,22361.05040647059,38211.94959352964,0.0,1.0,-15850.89918705905,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
31,Chakulia,20000,17268.131112666415,28424.868887333792,0.0009,0.9991,-11156.737774667376,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9991,99.91,0.9982,high_confidence
32,Karandighi,20000,51612.68755005503,79849.31244994534,0.0,1.0,-28236.62489989031,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
33,Hemtabad (SC),20000,59345.330294659325,77352.04007571115,0.051,0.949,-18006.709781051813,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.949,94.9,0.8979999999999999,high_confidence
34,Kaliaganj (SC),20000,119760.21953563511,95831.78046436518,0.9244,0.0756,23928.439071269942,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9244,92.44,0.8488,high_confidence
35,Raiganj,20000,22262.9481799088,16475.275034376897,0.9679,0.0321,5787.673145531905,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9679,96.79,0.9358,high_confidence
36,Itahar,20000,24452.862924707497,39646.137075292536,0.0015,0.9985,-15193.274150585035,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9985,99.85,0.9970000000000001,high_confidence
37,Kushmandi (SC),20000,42428.44703040489,49379.65776001421,0.17455,0.82545,-6951.210729609323,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.82545,82.54,0.6509,likely
38,Kumarganj,20000,26363.80417015397,39148.195829846016,0.00775,0.99225,-12784.391659692046,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.99225,99.22,0.9844999999999999,high_confidence
39,Balurghat,20000,49413.632418541536,40243.78733454495,0.8997,0.1003,9169.845083996584,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.8997,89.97,0.7994000000000001,likely
40,Tapan (ST),20000,50068.99655192241,49084.578749282366,0.5485,0.4515,984.4178026400448,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.5485,54.85,0.09699999999999998,competitive
41,Gangarampur (SC),20000,48616.18518780331,46092.36870441227,0.6299,0.3701,2523.8164833910405,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.6299,62.99,0.25980000000000003,lean
42,Harirampur,20000,67573.05926267755,88531.30699246703,0.0454,0.9546,-20958.247729789477,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,0.9546,95.46,0.9092,high_confidence
43,Habibpur (ST),20000,107672.3885094618,85209.04006196628,0.9278,0.0722,22463.348447495508,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.9278,92.78,0.8555999999999999,high_confidence
44,Gazole (SC),20000,88559.71748267695,51018.28251732322,1.0,0.0,37541.43496535373,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
45,Chanchal,20000,40855.59338248395,97433.10345009468,0.0,1.0,-56577.51006761074,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
46,Harishchandrapur,20000,10086.948391663342,27418.45339405114,0.0,1.0,-17331.5050023878,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
47,Malatipur,20000,18346.53596182756,92149.46403817186,0.0,1.0,-73802.9280763443,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,TMC,1.0,100.0,1.0,high_confidence
48,Ratua,20000,141488.73688425668,70787.26311574313,1.0,0.0,70701.47376851355,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
49,Manikchak,20000,158938.94989517238,20225.05010482813,1.0,0.0,138713.8997903443,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,1.0,100.0,1.0,high_confidence
50,Maldaha,20000,19956.043778962,16654.956221038014,0.8703,0.1297,3301.087557923988,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.8703,87.03,0.7405999999999999,likely
51,English Bazar,20000,147824.36099271564,120061.32108820904,0.89945,0.10055,27763.03990450659,0.0,0.0,0.0,0.015,0.04,neutral,Neutral,BJP,0.89945,89.94,0.7988999999999999,likely
