ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,32313.070739215793,34977.92926078433,0.31035,0.68965,-2664.8585215685366,0.0,0.0,0.02,0.015,0.04
2,Mathabhanga (SC),20000,74842.92492462244,52992.04937444266,0.98345,0.01655,21850.875550179786,0.0,0.0,0.02,0.015,0.04
3,Cooch Behar Uttar (SC),20000,44542.692607765835,36097.718351138035,0.90645,0.09355,8444.974256627798,0.0,0.0,0.02,0.015,0.04
4,Cooch Behar Dakshin,20000,64576.378834942676,56411.83058914115,0.7993,0.2007,8164.54824580152,0.0,0.0,0.02,0.015,0.04
5,Sitalkuchi (SC),20000,16204.830577315932,11195.169422684106,0.99035,0.00965,5009.661154631826,0.0,0.0,0.02,0.015,0.04
6,Sitai (SC),20000,46480.357818739336,46946.0987030002,0.4707,0.5293,-465.7408842608631,0.0,0.0,0.02,0.015,0.04
7,Dinhata,20000,66725.92744940854,61676.0725505916,0.68505,0.31495,5049.854898816943,0.0,0.0,0.02,0.015,0.04
8,Natabari,20000,85227.56412077212,61945.93137472366,0.97485,0.02515,23281.63274604846,0.0,0.0,0.02,0.015,0.04
9,Tufanganj,20000,93875.51933936555,62854.17925876499,0.99375,0.00625,31021.34008060056,0.0,0.0,0.02,0.015,0.04
10,Kumargram (ST),20000,90678.8693932787,75340.74786335875,0.8761,0.1239,15338.121529919958,0.0,0.0,0.02,0.015,0.04
11,Kalchini (ST),20000,26986.363597904485,17984.763853076012,0.9941,0.0059,9001.599744828474,0.0,0.0,0.02,0.015,0.04
12,Alipurduars,20000,65940.9694005904,51801.67903690957,0.9331,0.0669,14139.290363680828,0.0,0.0,0.02,0.015,0.04
13,Falakata,20000,107533.06656589918,95450.93343410084,0.7684,0.2316,12082.133131798351,0.0,0.0,0.02,0.015,0.04
14,Madarihat,20000,58840.37209021597,36317.627909784074,0.99835,0.00165,22522.744180431895,0.0,0.0,0.02,0.015,0.04
15,Dhupguri (SC),20000,85395.67692587468,75709.70921273928,0.7732,0.2268,9685.967713135398,0.0,0.0,0.02,0.015,0.04
16,Maynaguri (SC),20000,82054.59509853965,67793.33074891802,0.883,0.117,14261.264349621642,0.0,0.0,0.02,0.015,0.04
17,Jalpaiguri (SC),20000,57001.23549403651,53219.31138096372,0.667,0.333,3781.9241130727887,0.0,0.0,0.02,0.015,0.04
18,Rajganj (SC),20000,38216.78883693719,41505.622927768694,0.30035,0.69965,-3288.8340908315063,0.0,0.0,0.02,0.015,0.04
19,Dabgram-Phulbari,20000,39438.907616748875,28594.169764203132,0.9781,0.0219,10844.737852545744,0.0,0.0,0.02,0.015,0.04
20,Mal (ST),20000,47370.01800717863,39745.98199282134,0.9313,0.0687,7624.0360143572925,0.0,0.0,0.02,0.015,0.04
21,Nagrakata (ST),20000,26778.005253379637,18529.559681685176,0.9881,0.0119,8248.445571694461,0.0,0.0,0.02,0.015,0.04
22,Kalimpong,20000,46526.740840795406,416.76620146119797,1.0,0.0,46109.97463933421,0.0,0.0,0.02,0.015,0.04
23,Darjeeling,20000,193060.85027303817,32660.149726961656,1.0,0.0,160400.70054607652,0.0,0.0,0.02,0.015,0.04
24,Kurseong,20000,187277.01950888586,1700.491803308922,1.0,0.0,185576.52770557694,0.0,0.0,0.02,0.015,0.04
25,Matigara-Naxalbari (SC),20000,109347.86779026642,49221.41722602031,1.0,0.0,60126.45056424611,0.0,0.0,0.02,0.015,0.04
26,Siliguri,20000,10436.058512377202,5759.94148762286,0.99965,0.00035,4676.117024754341,0.0,0.0,0.02,0.015,0.04
27,Phansidewa (ST),20000,9126.475630408926,6205.5243695910785,0.99115,0.00885,2920.951260817848,0.0,0.0,0.02,0.015,0.04
28,Chopra,20000,60712.38940431284,115679.13052322344,0.0,1.0,-54966.74111891061,0.0,0.0,0.02,0.015,0.04
29,Islampur,20000,7034.277868223878,14343.72213177607,0.0,1.0,-7309.444263552194,0.0,0.0,0.02,0.015,0.04
30,Goalpokhar,20000,23263.28183958592,37309.718160414355,0.00045,0.99955,-14046.436320828434,0.0,0.0,0.02,0.015,0.04
31,Chakulia,20000,18204.054341946623,27488.945658053355,0.00475,0.99525,-9284.891316106734,0.0,0.0,0.02,0.015,0.04
32,Karandighi,20000,53183.80398618682,78278.19601381356,0.0,1.0,-25094.392027626753,0.0,0.0,0.02,0.015,0.04
33,Hemtabad (SC),20000,62019.28704284449,74678.08332752512,0.1238,0.8762,-12658.79628468063,0.0,0.0,0.02,0.015,0.04
34,Kaliaganj (SC),20000,123918.57979478782,91673.42020521178,0.97315,0.02685,32245.15958957603,0.0,0.0,0.02,0.015,0.04
35,Raiganj,20000,23046.830779894328,15691.392434391475,0.9916,0.0084,7355.438345502854,0.0,0.0,0.02,0.015,0.04
36,Itahar,20000,25757.507612302175,38341.49238769763,0.0085,0.9915,-12583.984775395456,0.0,0.0,0.02,0.015,0.04
37,Kushmandi (SC),20000,44258.595010411824,47549.50978000767,0.3268,0.6732,-3290.9147695958495,0.0,0.0,0.02,0.015,0.04
38,Kumarganj,20000,27637.915064104254,37874.08493589588,0.0263,0.9737,-10236.169871791624,0.0,0.0,0.02,0.015,0.04
39,Balurghat,20000,51220.52748905503,38436.892264031456,0.9631,0.0369,12783.635225023574,0.0,0.0,0.02,0.015,0.04
40,Tapan (ST),20000,52004.01927655106,47149.556024653924,0.7292,0.2708,4854.463251897138,0.0,0.0,0.02,0.015,0.04
41,Gangarampur (SC),20000,50492.490303193415,44216.063589021694,0.7943,0.2057,6276.426714171719,0.0,0.0,0.02,0.015,0.04
42,Harirampur,20000,70693.04314987616,85411.323105268,0.11945,0.88055,-14718.279955391836,0.0,0.0,0.02,0.015,0.04
43,Habibpur (ST),20000,111526.87799064434,81354.55058078363,0.97435,0.02565,30172.327409860707,0.0,0.0,0.02,0.015,0.04
44,Gazole (SC),20000,90596.56572111536,48981.43427888476,1.0,0.0,41615.13144223061,0.0,0.0,0.02,0.015,0.04
45,Chanchal,20000,43616.95109317084,94671.74573940874,0.0,1.0,-51054.794646237904,0.0,0.0,0.02,0.015,0.04
46,Harishchandrapur,20000,10819.726626711827,26685.67515900244,0.0,1.0,-15865.948532290613,0.0,0.0,0.02,0.015,0.04
47,Malatipur,20000,20204.00470129843,90291.99529870167,0.0,1.0,-70087.99059740324,0.0,0.0,0.02,0.015,0.04
48,Ratua,20000,144389.31239092228,67886.68760907774,1.0,0.0,76502.62478184454,0.0,0.0,0.02,0.015,0.04
49,Manikchak,20000,161387.8579140598,17776.142085939435,1.0,0.0,143611.7158281204,0.0,0.0,0.02,0.015,0.04
50,Maldaha,20000,20722.005488611874,15888.994511388066,0.9515,0.0485,4833.0109772238075,0.0,0.0,0.02,0.015,0.04
51,English Bazar,20000,153181.61708432576,114704.06499659855,0.95935,0.04065,38477.55208772719,0.0,0.0,0.02,0.015,0.04
52,Mothabari,20000,37822.37768168952,82109.62231831047,0.0,1.0,-44287.244636620955,0.0,0.0,0.02,0.015,0.04
53,Sujapur,20000,24551.93079208005,125569.06920792027,0.0,1.0,-101017.13841584022,0.0,0.0,0.02,0.015,0.04
54,Baisnabnagar,20000,40929.66884177716,88664.3311582235,0.0,1.0,-47734.66231644634,0.0,0.0,0.02,0.015,0.04
