ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,33662.18563303327,33628.81436696673,0.50695,0.49305,33.371266066539285,0.0,0.0,0.04,0.015,0.04
2,Mathabhanga (SC),20000,77371.04086306904,50463.9334359968,0.9946,0.0054,26907.10742707224,0.0,0.0,0.04,0.015,0.04
3,Cooch Behar Uttar (SC),20000,46156.41559293708,34483.99536596702,0.9639,0.0361,11672.420226970058,0.0,0.0,0.04,0.015,0.04
4,Cooch Behar Dakshin,20000,67050.26429913274,53937.945124951446,0.909,0.091,13112.319174181295,0.0,0.0,0.04,0.015,0.04
5,Sitalkuchi (SC),20000,16746.434913965964,10653.565086034014,0.9974,0.0026,6092.869827931951,0.0,0.0,0.04,0.015,0.04
6,Sitai (SC),20000,48321.21082599494,45105.245695744205,0.6664,0.3336,3215.965130250734,0.0,0.0,0.04,0.015,0.04
7,Dinhata,20000,69166.61990978708,59235.3800902131,0.8342,0.1658,9931.239819573986,0.0,0.0,0.04,0.015,0.04
8,Natabari,20000,88084.07093882051,59089.42455667506,0.99285,0.00715,28994.646382145453,0.0,0.0,0.04,0.015,0.04
9,Tufanganj,20000,97042.46972928074,59687.22886884948,0.9985,0.0015,37355.24086043125,0.0,0.0,0.04,0.015,0.04
10,Kumargram (ST),20000,93973.74896723627,72045.8682894007,0.948,0.052,21927.88067783556,0.0,0.0,0.04,0.015,0.04
11,Kalchini (ST),20000,27898.734106735395,17072.39334424503,0.9987,0.0013,10826.340762490368,0.0,0.0,0.04,0.015,0.04
12,Alipurduars,20000,68323.79350353849,49418.85493396141,0.9779,0.0221,18904.93856957708,0.0,0.0,0.04,0.015,0.04
13,Falakata,20000,111630.68206250967,91353.3179374904,0.89365,0.10635,20277.364125019278,0.0,0.0,0.04,0.015,0.04
14,Madarihat,20000,60686.84618055901,34471.15381944034,0.9999,0.0001,26215.692361118676,0.0,0.0,0.04,0.015,0.04
15,Dhupguri (SC),20000,88665.14613981264,72440.239998801,0.8951,0.1049,16224.906141011643,0.0,0.0,0.04,0.015,0.04
16,Maynaguri (SC),20000,85046.98895656824,64800.936890888894,0.9534,0.0466,20246.05206567935,0.0,0.0,0.04,0.015,0.04
17,Jalpaiguri (SC),20000,59303.696467268324,50916.85040773143,0.82705,0.17295,8386.846059536898,0.0,0.0,0.04,0.015,0.04
18,Rajganj (SC),20000,39820.8774843902,39901.53428031519,0.4964,0.5036,-80.6567959249854,0.0,0.0,0.04,0.015,0.04
19,Dabgram-Phulbari,20000,40807.721289616675,27225.35609133567,0.99425,0.00575,13582.365198281002,0.0,0.0,0.04,0.015,0.04
20,Mal (ST),20000,48628.33034869902,38487.66965130085,0.9756,0.0244,10140.660697398174,0.0,0.0,0.04,0.015,0.04
21,Nagrakata (ST),20000,27686.314405150126,17621.25052991474,0.9965,0.0035,10065.063875235384,0.0,0.0,0.04,0.015,0.04
22,Kalimpong,20000,46762.92287443639,180.58416782226845,1.0,0.0,46582.33870661413,0.0,0.0,0.04,0.015,0.04
23,Darjeeling,20000,194483.877557842,31237.12244215699,1.0,0.0,163246.75511568502,0.0,0.0,0.04,0.015,0.04
24,Kurseong,20000,188213.73436222126,763.7769499603937,1.0,0.0,187449.95741226088,0.0,0.0,0.04,0.015,0.04
25,Matigara-Naxalbari (SC),20000,112597.40445553965,45971.88056074734,1.0,0.0,66625.52389479232,0.0,0.0,0.04,0.015,0.04
26,Siliguri,20000,10756.561722405579,5439.438277594347,1.0,0.0,5317.123444811232,0.0,0.0,0.04,0.015,0.04
27,Phansidewa (ST),20000,9443.250997979321,5888.749002020612,0.9978,0.0022,3554.50199595871,0.0,0.0,0.04,0.015,0.04
28,Chopra,20000,64268.372019904244,112123.14790763201,0.0003,0.9997,-47854.775887727774,0.0,0.0,0.04,0.015,0.04
29,Islampur,20000,7433.7625569773645,13944.237443022674,5e-05,0.99995,-6510.47488604531,0.0,0.0,0.04,0.015,0.04
30,Goalpokhar,20000,24225.68456609905,36347.31543390088,0.0025,0.9975,-12121.630867801836,0.0,0.0,0.04,0.015,0.04
31,Chakulia,20000,19115.24853410235,26577.751465897698,0.01955,0.98045,-7462.502931795347,0.0,0.0,0.04,0.015,0.04
32,Karandighi,20000,54809.01334654403,76652.98665345587,0.00025,0.99975,-21843.973306911837,0.0,0.0,0.04,0.015,0.04
33,Hemtabad (SC),20000,64739.43778503122,71957.93258533959,0.2548,0.7452,-7218.494800308359,0.0,0.0,0.04,0.015,0.04
34,Kaliaganj (SC),20000,128311.5092417625,87280.49075823765,0.99235,0.00765,41031.018483524844,0.0,0.0,0.04,0.015,0.04
35,Raiganj,20000,23811.45118923097,14926.772025054675,0.99775,0.00225,8884.679164176297,0.0,0.0,0.04,0.015,0.04
36,Itahar,20000,26997.22374184978,37101.77625815001,0.0242,0.9758,-10104.552516300226,0.0,0.0,0.04,0.015,0.04
37,Kushmandi (SC),20000,46149.5338061216,45658.5709842978,0.5247,0.4753,490.96282182379963,0.0,0.0,0.04,0.015,0.04
38,Kumarganj,20000,28954.16435824706,36557.835641752754,0.0701,0.9299,-7603.671283505696,0.0,0.0,0.04,0.015,0.04
39,Balurghat,20000,53002.13093388913,36655.28881919731,0.98885,0.01115,16346.842114691824,0.0,0.0,0.04,0.015,0.04
40,Tapan (ST),20000,54025.43529487015,45128.14000633463,0.86995,0.13005,8897.295288535523,0.0,0.0,0.04,0.015,0.04
41,Gangarampur (SC),20000,52402.386194670966,42306.16769754446,0.9099,0.0901,10096.218497126507,0.0,0.0,0.04,0.015,0.04
42,Harirampur,20000,73862.18941417706,82242.17684096706,0.25065,0.74935,-8379.98742679,0.0,0.0,0.04,0.015,0.04
43,Habibpur (ST),20000,115299.30362369034,77582.12494773856,0.9938,0.0062,37717.17867595178,0.0,0.0,0.04,0.015,0.04
44,Gazole (SC),20000,92620.51048015257,46957.48951984756,1.0,0.0,45663.02096030502,0.0,0.0,0.04,0.015,0.04
45,Chanchal,20000,46411.86412173171,91876.83271084713,5e-05,0.99995,-45464.968589115415,0.0,0.0,0.04,0.015,0.04
46,Harishchandrapur,20000,11586.548547829596,25918.853237884632,0.0,1.0,-14332.304690055036,0.0,0.0,0.04,0.015,0.04
47,Malatipur,20000,22198.568715468573,88297.43128453204,0.0,1.0,-66098.86256906347,0.0,0.0,0.04,0.015,0.04
