ac_no,ac_name,bjp_moderate,bjp_surge,neutral,tmc_consolidation,tmc_defence,winner_set,robust_winner,is_swing_sensitive
1,Mekliganj (SC),TMC,BJP,TMC,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
2,Mathabhanga (SC),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
3,Cooch Behar Uttar (SC),BJP,BJP,BJP,BJP,TMC,BJP|TMC,SWING_SENSITIVE,True
4,Cooch Behar Dakshin,BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
5,Sitalkuchi (SC),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
6,Sitai (SC),TMC,BJP,TMC,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
7,Dinhata,BJP,BJP,TMC,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
8,Natabari,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
9,Tufanganj,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
10,Kumargram (ST),BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
11,Kalchini (ST),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
12,Alipurduars,BJP,BJP,BJP,BJP,TMC,BJP|TMC,SWING_SENSITIVE,True
13,Falakata,BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
14,Madarihat,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
15,Dhupguri (SC),BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
16,Maynaguri (SC),BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
17,Jalpaiguri (SC),BJP,BJP,TMC,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
18,Rajganj (SC),TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
19,Dabgram-Phulbari,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
20,Mal (ST),BJP,BJP,BJP,BJP,TMC,BJP|TMC,SWING_SENSITIVE,True
21,Nagrakata (ST),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
22,Kalimpong,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
23,Darjeeling,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
24,Kurseong,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
25,Matigara-Naxalbari (SC),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
26,Siliguri,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
27,Phansidewa (ST),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
28,Chopra,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
29,Islampur,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
30,Goalpokhar,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
31,Chakulia,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
32,Karandighi,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
33,Hemtabad (SC),TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
34,Kaliaganj (SC),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
35,Raiganj,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
36,Itahar,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
37,Kushmandi (SC),TMC,BJP,TMC,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
38,Kumarganj,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
39,Balurghat,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
40,Tapan (ST),BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
41,Gangarampur (SC),BJP,BJP,BJP,TMC,TMC,BJP|TMC,SWING_SENSITIVE,True
42,Harirampur,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
43,Habibpur (ST),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
44,Gazole (SC),BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
45,Chanchal,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
46,Harishchandrapur,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
47,Malatipur,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
48,Ratua,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
49,Manikchak,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
50,Maldaha,BJP,BJP,BJP,BJP,TMC,BJP|TMC,SWING_SENSITIVE,True
51,English Bazar,BJP,BJP,BJP,BJP,BJP,BJP,BJP,False
52,Mothabari,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
53,Sujapur,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
54,Baisnabnagar,TMC,TMC,TMC,TMC,TMC,TMC,TMC,False
