ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,28936.667593563598,38354.33240643655,0.03975,0.96025,-9417.664812872952,0.0,0.0,-0.03,0.015,0.04
2,Mathabhanga (SC),20000,68420.60544772702,59414.36885133784,0.80735,0.19265,9006.236596389186,0.0,0.0,-0.03,0.015,0.04
3,Cooch Behar Uttar (SC),20000,40486.114687240646,40154.29627166367,0.5218,0.4782,331.8184155769765,0.0,0.0,-0.03,0.015,0.04
4,Cooch Behar Dakshin,20000,58492.559190439344,62495.650233644796,0.33875,0.66125,-4003.091043205452,0.0,0.0,-0.03,0.015,0.04
5,Sitalkuchi (SC),20000,14835.238300632218,12564.76169936774,0.8473,0.1527,2270.476601264477,0.0,0.0,-0.03,0.015,0.04
6,Sitai (SC),20000,41822.34839384408,51604.1081278951,0.09495,0.90505,-9781.759734051018,0.0,0.0,-0.03,0.015,0.04
7,Dinhata,20000,60869.69918550711,67532.30081449277,0.21985,0.78015,-6662.601628985667,0.0,0.0,-0.03,0.015,0.04
8,Natabari,20000,77760.75668712781,69412.73880836704,0.7581,0.2419,8348.017878760767,0.0,0.0,-0.03,0.015,0.04
9,Tufanganj,20000,86031.6998852355,70697.99871289547,0.888,0.112,15333.701172340036,0.0,0.0,-0.03,0.015,0.04
10,Kumargram (ST),20000,82341.71403311806,83677.90322351927,0.46075,0.53925,-1336.1891904012084,0.0,0.0,-0.03,0.015,0.04
11,Kalchini (ST),20000,24750.09562731571,20221.031823664744,0.8962,0.1038,4529.063803650966,0.0,0.0,-0.03,0.015,0.04
12,Alipurduars,20000,60077.44497646265,57665.203461037316,0.6039,0.3961,2412.2415154253363,0.0,0.0,-0.03,0.015,0.04
13,Falakata,20000,97445.93320437479,105538.06679562536,0.30825,0.69175,-8092.1335912505865,0.0,0.0,-0.03,0.015,0.04
14,Madarihat,20000,54088.713067806006,41069.28693219361,0.957,0.043,13019.426135612399,0.0,0.0,-0.03,0.015,0.04
15,Dhupguri (SC),20000,77452.85073739586,83652.53540121808,0.31355,0.68645,-6199.684663822221,0.0,0.0,-0.03,0.015,0.04
16,Maynaguri (SC),20000,74509.83499481164,75338.09085264572,0.47445,0.52555,-828.2558578340769,0.0,0.0,-0.03,0.015,0.04
17,Jalpaiguri (SC),20000,51558.437737076056,58662.10913792393,0.2125,0.7875,-7103.671400847876,0.0,0.0,-0.03,0.015,0.04
18,Rajganj (SC),20000,34232.351345862044,45490.06041884405,0.04,0.96,-11257.709072982007,0.0,0.0,-0.03,0.015,0.04
19,Dabgram-Phulbari,20000,36030.32065112755,32002.75672982509,0.76955,0.23045,4027.5639213024556,0.0,0.0,-0.03,0.015,0.04
20,Mal (ST),20000,44162.782474001906,42953.217525998065,0.58925,0.41075,1209.5649480038344,0.0,0.0,-0.03,0.015,0.04
21,Nagrakata (ST),20000,24503.06808473215,20804.496850332598,0.8462,0.1538,3698.571234399551,0.0,0.0,-0.03,0.015,0.04
22,Kalimpong,20000,45230.86667709648,1712.640365157218,1.0,0.0,43518.22631193926,0.0,0.0,-0.03,0.015,0.04
23,Darjeeling,20000,187115.35736019784,38605.64263980218,1.0,0.0,148509.71472039566,0.0,0.0,-0.03,0.015,0.04
24,Kurseong,20000,182155.56377438898,6821.947537825676,1.0,0.0,175333.6162365633,0.0,0.0,-0.03,0.015,0.04
25,Matigara-Naxalbari (SC),20000,101459.25306361889,57110.03195266739,0.99985,0.00015,44349.2211109515,0.0,0.0,-0.03,0.015,0.04
26,Siliguri,20000,9629.18918933501,6566.810810664962,0.99195,0.00805,3062.3783786700474,0.0,0.0,-0.03,0.015,0.04
27,Phansidewa (ST),20000,8366.222430785714,6965.777569214281,0.8711,0.1289,1400.4448615714327,0.0,0.0,-0.03,0.015,0.04
