ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,27613.14641946699,39677.853580533156,0.0134,0.9866,-12064.707161066168,0.0,0.0,-0.05,0.015,0.04
2,Mathabhanga (SC),20000,65923.64810152444,61911.326197540424,0.6524,0.3476,4012.32190398401,0.0,0.0,-0.05,0.015,0.04
3,Cooch Behar Uttar (SC),20000,38908.596412039275,41731.81454686484,0.33085,0.66915,-2823.2181348255695,0.0,0.0,-0.05,0.015,0.04
4,Cooch Behar Dakshin,20000,56111.192235318755,64877.01718876466,0.1812,0.8188,-8765.8249534459,0.0,0.0,-0.05,0.015,0.04
5,Sitalkuchi (SC),20000,14302.756345240172,13097.243654759826,0.70855,0.29145,1205.512690480347,0.0,0.0,-0.05,0.015,0.04
6,Sitai (SC),20000,39913.77341401994,53512.683107719145,0.03465,0.96535,-13598.909693699205,0.0,0.0,-0.05,0.015,0.04
7,Dinhata,20000,58673.348831031166,69728.65116896894,0.09975,0.90025,-11055.302337937772,0.0,0.0,-0.05,0.015,0.04
8,Natabari,20000,74837.3585766041,72336.13691889135,0.5834,0.4166,2501.2216577127574,0.0,0.0,-0.05,0.015,0.04
9,Tufanganj,20000,82948.22150188983,73781.47709624156,0.7667,0.2333,9166.744405648255,0.0,0.0,-0.05,0.015,0.04
10,Kumargram (ST),20000,78940.99214939552,87078.62510724188,0.27155,0.72845,-8137.632957846367,0.0,0.0,-0.05,0.015,0.04
11,Kalchini (ST),20000,23839.10997390766,21132.017477072695,0.7759,0.2241,2707.0924968349664,0.0,0.0,-0.05,0.015,0.04
12,Alipurduars,20000,57722.470416209246,60020.17802129068,0.401,0.599,-2297.707605081439,0.0,0.0,-0.05,0.015,0.04
13,Falakata,20000,93351.92237858592,109632.07762141371,0.1573,0.8427,-16280.155242827785,0.0,0.0,-0.05,0.015,0.04
14,Madarihat,20000,52126.27348118112,43031.72651881894,0.88145,0.11855,9094.546962362176,0.0,0.0,-0.05,0.015,0.04
15,Dhupguri (SC),20000,74183.50595508634,86921.88018352748,0.1632,0.8368,-12738.374228441144,0.0,0.0,-0.05,0.015,0.04
16,Maynaguri (SC),20000,71464.63467215619,78383.29117530168,0.28425,0.71575,-6918.656503145492,0.0,0.0,-0.05,0.015,0.04
17,Jalpaiguri (SC),20000,49335.187441228685,60885.35943377092,0.0977,0.9023,-11550.171992542231,0.0,0.0,-0.05,0.015,0.04
18,Rajganj (SC),20000,32648.903047104453,47073.50871760126,0.01205,0.98795,-14424.605670496803,0.0,0.0,-0.05,0.015,0.04
19,Dabgram-Phulbari,20000,34692.244713824955,33340.83266712721,0.5981,0.4019,1351.4120466977477,0.0,0.0,-0.05,0.015,0.04
20,Mal (ST),20000,42856.876100228845,44259.12389977115,0.3918,0.6082,-1402.247799542302,0.0,0.0,-0.05,0.015,0.04
21,Nagrakata (ST),20000,23590.796505866983,21716.768429197724,0.69795,0.30205,1874.0280766692579,0.0,0.0,-0.05,0.015,0.04
22,Kalimpong,20000,44475.26855176789,2468.2384904855526,1.0,0.0,42007.030061282334,0.0,0.0,-0.05,0.015,0.04
23,Darjeeling,20000,183704.19468931487,42016.80531068439,1.0,0.0,141687.38937863047,0.0,0.0,-0.05,0.015,0.04
24,Kurseong,20000,179172.58248063675,9804.928831579222,1.0,0.0,169367.6536490575,0.0,0.0,-0.05,0.015,0.04
25,Matigara-Naxalbari (SC),20000,98345.03666317643,60224.24835310973,0.99895,0.00105,38120.7883100667,0.0,0.0,-0.05,0.015,0.04
26,Siliguri,20000,9296.449382937813,6899.550617062179,0.96605,0.03395,2396.8987658756346,0.0,0.0,-0.05,0.015,0.04
27,Phansidewa (ST),20000,8056.453535595391,7275.546464404621,0.7355,0.2645,780.9070711907715,0.0,0.0,-0.05,0.015,0.04
28,Chopra,20000,48354.99488130471,128036.52504623139,0.0,1.0,-79681.53016492668,0.0,0.0,-0.05,0.015,0.04
29,Islampur,20000,5854.486279057688,15523.513720942196,0.0,1.0,-9669.02744188451,0.0,0.0,-0.05,0.015,0.04
30,Goalpokhar,20000,20536.605736560938,40036.394263438815,0.0,1.0,-19499.788526877877,0.0,0.0,-0.05,0.015,0.04
31,Chakulia,20000,14991.30772901862,30701.69227098145,0.0,1.0,-15710.384541962829,0.0,0.0,-0.05,0.015,0.04
32,Karandighi,20000,48318.106685945255,83143.89331405461,0.0,1.0,-34825.78662810935,0.0,0.0,-0.05,0.015,0.04
33,Hemtabad (SC),20000,52514.65469888551,84182.71567148475,0.0024,0.9976,-31668.060972599233,0.0,0.0,-0.05,0.015,0.04
34,Kaliaganj (SC),20000,109347.16920479284,106244.83079520709,0.57135,0.42865,3102.338409585738,0.0,0.0,-0.05,0.015,0.04
35,Raiganj,20000,20333.310178908567,18404.913035377045,0.73155,0.26845,1928.3971435315223,0.0,0.0,-0.05,0.015,0.04
36,Itahar,20000,21259.67703799792,42839.32296200183,5e-05,0.99995,-21579.645924003908,0.0,0.0,-0.05,0.015,0.04
37,Kushmandi (SC),20000,37875.73668887657,53932.36810154272,0.0147,0.9853,-16056.631412666155,0.0,0.0,-0.05,0.015,0.04
38,Kumarganj,20000,23064.598797887968,42447.40120211197,5e-05,0.99995,-19382.802404224007,0.0,0.0,-0.05,0.015,0.04
39,Balurghat,20000,44979.74240418526,44677.67734890144,0.51625,0.48375,302.06505528382064,0.0,0.0,-0.05,0.015,0.04
40,Tapan (ST),20000,45100.83347454487,54052.74182666002,0.1292,0.8708,-8951.90835211516,0.0,0.0,-0.05,0.015,0.04
41,Gangarampur (SC),20000,43851.72088586609,50856.83300634933,0.17485,0.82515,-7005.112120483238,0.0,0.0,-0.05,0.015,0.04
42,Harirampur,20000,59840.476760510086,96263.88949463399,0.0023,0.9977,-36423.4127341239,0.0,0.0,-0.05,0.015,0.04
43,Habibpur (ST),20000,97903.79315833529,94977.63541309306,0.57515,0.42485,2926.157745242238,0.0,0.0,-0.05,0.015,0.04
44,Gazole (SC),20000,83232.09636369329,56345.90363630663,0.9989,0.0011,26886.192727386653,0.0,0.0,-0.05,0.015,0.04
45,Chanchal,20000,34010.41359542611,104278.28323715238,0.0,1.0,-70267.86964172628,0.0,0.0,-0.05,0.015,0.04
46,Harishchandrapur,20000,8193.511836226182,29311.889949488104,0.0,1.0,-21118.37811326192,0.0,0.0,-0.05,0.015,0.04
47,Malatipur,20000,14671.028162804221,95824.97183719596,0.0,1.0,-81153.94367439173,0.0,0.0,-0.05,0.015,0.04
48,Ratua,20000,133632.05642613495,78643.94357386406,1.0,0.0,54988.11285227089,0.0,0.0,-0.05,0.015,0.04
49,Manikchak,20000,151449.79521336363,27714.204786635102,1.0,0.0,123735.59042672854,0.0,0.0,-0.05,0.015,0.04
50,Maldaha,20000,18111.633741569094,18499.366258430902,0.44975,0.55025,-387.7325168618053,0.0,0.0,-0.05,0.015,0.04
51,English Bazar,20000,134422.97163181857,133462.71044910545,0.51165,0.48835,960.2611827131271,0.0,0.0,-0.05,0.015,0.04
