ac_no,ac_name,bjp_scenario_wins,tmc_scenario_wins,robust_call,min_bjp_probability,max_bjp_probability,min_tmc_probability,max_tmc_probability,neutral_winner,neutral_confidence_pct,bjp_win_probability,tmc_win_probability
22,Kalimpong,5,0,BJP,1.0,1.0,0.0,0.0,BJP,100.0,1.0,0.0
23,Darjeeling,5,0,BJP,1.0,1.0,0.0,0.0,BJP,100.0,1.0,0.0
24,Kurseong,5,0,BJP,1.0,1.0,0.0,0.0,BJP,100.0,1.0,0.0
25,Matigara-Naxalbari (SC),5,0,BJP,0.999,1.0,0.0,0.001,BJP,100.0,1.0,0.0
44,Gazole (SC),5,0,BJP,0.9957,1.0,0.0,0.0043,BJP,100.0,0.99995,5e-05
48,Ratua,5,0,BJP,1.0,1.0,0.0,0.0,BJP,100.0,1.0,0.0
49,Manikchak,5,0,BJP,1.0,1.0,0.0,0.0,BJP,100.0,1.0,0.0
26,Siliguri,5,0,BJP,0.9662,1.0,0.0,0.0338,BJP,99.93,0.9993,0.0007
14,Madarihat,5,0,BJP,0.8814,0.9999,0.0001,0.1186,BJP,99.26,0.9926,0.0074
11,Kalchini (ST),5,0,BJP,0.7748,0.9987,0.0013,0.2252,BJP,97.8,0.97805,0.02195
9,Tufanganj,5,0,BJP,0.7668,0.9985,0.0015,0.2332,BJP,97.68,0.97675,0.02325
27,Phansidewa (ST),5,0,BJP,0.7347,0.9978,0.0022,0.2653,BJP,97.15,0.9715,0.0285
5,Sitalkuchi (SC),5,0,BJP,0.7388,0.998,0.002,0.2612,BJP,96.96,0.9696,0.0304
35,Raiganj,5,0,BJP,0.7316,0.9978,0.0022,0.2684,BJP,96.78,0.96785,0.03215
21,Nagrakata (ST),5,0,BJP,0.6972,0.9964,0.0036,0.3028,BJP,96.02,0.96015,0.03985
2,Mathabhanga (SC),5,0,BJP,0.6522,0.9946,0.0054,0.3478,BJP,94.91,0.9491,0.0509
19,Dabgram-Phulbari,5,0,BJP,0.5975,0.9943,0.0057,0.4025,BJP,93.29,0.93295,0.06705
8,Natabari,5,0,BJP,0.5834,0.993,0.007,0.4166,BJP,93.0,0.92995,0.07005
43,Habibpur (ST),5,0,BJP,0.5752,0.9938,0.0062,0.4248,BJP,92.78,0.9278,0.0722
39,Balurghat,5,0,BJP,0.5164,0.989,0.0111,0.4836,BJP,89.99,0.8999,0.1001
51,English Bazar,5,0,BJP,0.5115,0.9886,0.0114,0.4884,BJP,89.98,0.89975,0.10025
34,Kaliaganj (SC),5,0,BJP,0.5122,0.9885,0.0115,0.4878,BJP,89.83,0.8983,0.1017
28,Chopra,0,5,TMC,0.0,0.0003,0.9997,1.0,TMC,100.0,0.0,1.0
29,Islampur,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
30,Goalpokhar,0,5,TMC,0.0,0.0018,0.9982,1.0,TMC,100.0,0.0,1.0
32,Karandighi,0,5,TMC,0.0,0.0002,0.9998,1.0,TMC,100.0,0.0,1.0
45,Chanchal,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
46,Harishchandrapur,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
47,Malatipur,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
52,Mothabari,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
53,Sujapur,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
54,Baisnabnagar,0,5,TMC,0.0,0.0,1.0,1.0,TMC,100.0,0.0,1.0
31,Chakulia,0,5,TMC,0.0,0.0194,0.9806,1.0,TMC,99.91,0.0009,0.9991
36,Itahar,0,5,TMC,0.0,0.0242,0.9758,1.0,TMC,99.85,0.0015,0.9985
38,Kumarganj,0,5,TMC,0.0,0.0704,0.9296,1.0,TMC,99.23,0.0077,0.9923
42,Harirampur,0,5,TMC,0.0024,0.2504,0.7496,0.9976,TMC,95.44,0.0456,0.9544
33,Hemtabad (SC),0,5,TMC,0.0024,0.2548,0.7452,0.9976,TMC,94.9,0.051,0.949
18,Rajganj (SC),0,5,TMC,0.012,0.4958,0.5042,0.988,TMC,84.31,0.1569,0.8431
50,Maldaha,4,1,swing_sensitive,0.4484,0.9827,0.0173,0.5516,BJP,87.03,0.8703,0.1297
12,Alipurduars,4,1,swing_sensitive,0.4007,0.978,0.022,0.5993,BJP,84.34,0.84345,0.15655
3,Cooch Behar Uttar (SC),4,1,swing_sensitive,0.3316,0.964,0.036,0.6684,BJP,79.25,0.7925,0.2075
16,Maynaguri (SC),3,2,swing_sensitive,0.2846,0.9534,0.0466,0.7154,BJP,75.11,0.75115,0.24885
10,Kumargram (ST),3,2,swing_sensitive,0.2715,0.948,0.052,0.7286,BJP,73.59,0.7359,0.2641
4,Cooch Behar Dakshin,3,2,swing_sensitive,0.1809,0.909,0.091,0.8191,BJP,63.76,0.63755,0.36245
41,Gangarampur (SC),3,2,swing_sensitive,0.1746,0.9103,0.0897,0.8254,BJP,63.03,0.6303,0.3697
20,Mal (ST),3,2,swing_sensitive,0.1645,0.8989,0.1011,0.8355,BJP,61.14,0.61135,0.38865
13,Falakata,3,2,swing_sensitive,0.1578,0.8934,0.1066,0.8422,BJP,60.36,0.6036,0.3964
15,Dhupguri (SC),3,2,swing_sensitive,0.1634,0.8951,0.1049,0.8366,BJP,60.2,0.602,0.398
40,Tapan (ST),3,2,swing_sensitive,0.129,0.87,0.13,0.871,BJP,54.88,0.5488,0.4512
1,Mekliganj (SC),1,4,swing_sensitive,0.0136,0.5069,0.4931,0.9864,TMC,83.94,0.1606,0.8394
37,Kushmandi (SC),1,4,swing_sensitive,0.0148,0.525,0.475,0.9852,TMC,82.56,0.17445,0.82555
6,Sitai (SC),1,4,swing_sensitive,0.0347,0.666,0.334,0.9653,TMC,70.74,0.2926,0.7074
7,Dinhata,2,3,swing_sensitive,0.0906,0.8216,0.1784,0.9094,TMC,52.77,0.4723,0.5277
17,Jalpaiguri (SC),2,3,swing_sensitive,0.0976,0.8274,0.1726,0.9024,TMC,51.88,0.48125,0.51875
