ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,34068.56544293885,45155.934557061395,0.0395,0.9605,-11087.369114122539,0.0,0.0,-0.03,0.015,0.04
2,Mathabhanga (SC),20000,77426.79133566776,67235.59885124872,0.8075,0.1925,10191.192484419047,0.0,0.0,-0.03,0.015,0.04
3,Cooch Behar Uttar (SC),20000,45518.866040724904,45145.49012365843,0.5222,0.4778,373.37591706647873,0.0,0.0,-0.03,0.015,0.04
4,Cooch Behar Dakshin,20000,61841.49940425025,66074.64195700607,0.33845,0.66155,-4233.1425527558085,0.0,0.0,-0.03,0.015,0.04
5,Sitalkuchi (SC),20000,16078.096433194176,13420.903566805891,0.8672,0.1328,2657.1928663882836,0.0,0.0,-0.03,0.015,0.04
6,Sitai (SC),20000,51791.473577856836,63904.352509099816,0.0945,0.9055,-12112.878931242985,0.0,0.0,-0.03,0.015,0.04
7,Dinhata,20000,63429.23514127667,70853.76485872315,0.20465,0.79535,-7424.529717446482,0.0,0.0,-0.03,0.015,0.04
8,Natabari,20000,82796.00180651208,73906.7414367312,0.7585,0.2415,8889.260369780874,0.0,0.0,-0.03,0.015,0.04
9,Tufanganj,20000,87249.4831827895,71698.687377959,0.88805,0.11195,15550.795804830492,0.0,0.0,-0.03,0.015,0.04
10,Kumargram (ST),20000,83024.22612299342,84371.45971771445,0.4605,0.5395,-1347.2335947210192,0.0,0.0,-0.03,0.015,0.04
11,Kalchini (ST),20000,30571.85860828158,24977.32766622829,0.89595,0.10405,5594.530942053285,0.0,0.0,-0.03,0.015,0.04
12,Alipurduars,20000,66118.73403117894,63463.74253132101,0.60405,0.39595,2654.9914998579266,0.0,0.0,-0.03,0.015,0.04
13,Falakata,20000,111986.33130661037,121285.66869338937,0.30855,0.69145,-9299.337386778998,0.0,0.0,-0.03,0.015,0.04
14,Madarihat,20000,56348.627977951255,42785.303056531644,0.95695,0.04305,13563.32492141961,0.0,0.0,-0.03,0.015,0.04
15,Dhupguri (SC),20000,80987.59437722387,87469.8610683215,0.3132,0.6868,-6482.266691097617,0.0,0.0,-0.03,0.015,0.04
16,Maynaguri (SC),20000,85969.9010487659,86925.75361225006,0.4745,0.5255,-955.8525634841561,0.0,0.0,-0.03,0.015,0.04
17,Jalpaiguri (SC),20000,55213.90069351857,62820.91180648087,0.2123,0.7877,-7607.011112962306,0.0,0.0,-0.03,0.015,0.04
18,Rajganj (SC),20000,35947.318716738526,47768.171479339915,0.04005,0.95995,-11820.852762601387,0.0,0.0,-0.03,0.015,0.04
19,Dabgram-Phulbari,20000,47137.38272313282,41867.96251496239,0.7697,0.2303,5269.420208170426,0.0,0.0,-0.03,0.015,0.04
20,Mal (ST),20000,48339.35655783984,51474.64344216021,0.31575,0.68425,-3135.2868843203723,0.0,0.0,-0.03,0.015,0.04
21,Nagrakata (ST),20000,34127.00876788209,28975.900323026966,0.84655,0.15345,5151.108444855124,0.0,0.0,-0.03,0.015,0.04
22,Kalimpong,20000,46270.05346078835,1751.960623718052,1.0,0.0,44518.0928370703,0.0,0.0,-0.03,0.015,0.04
23,Darjeeling,20000,188244.99925308884,38897.00074691141,1.0,0.0,149347.99850617745,0.0,0.0,-0.03,0.015,0.04
24,Kurseong,20000,182532.83658772556,6836.077439424246,1.0,0.0,175696.7591483013,0.0,0.0,-0.03,0.015,0.04
25,Matigara-Naxalbari (SC),20000,123379.95995084314,69448.03027716954,0.99985,0.00015,53931.92967367359,0.0,0.0,-0.03,0.015,0.04
26,Siliguri,20000,14973.911025681768,10210.988974318268,0.9914,0.0086,4762.922051363498,0.0,0.0,-0.03,0.015,0.04
27,Phansidewa (ST),20000,24355.889723597116,20278.11027640283,0.8712,0.1288,4077.779447194287,0.0,0.0,-0.03,0.015,0.04
28,Chopra,20000,54751.00812815447,131398.07158198996,0.0,1.0,-76647.0634538355,0.0,0.0,-0.03,0.015,0.04
29,Islampur,20000,6149.693457911906,15228.30654208808,0.0,1.0,-9078.613084176173,0.0,0.0,-0.03,0.015,0.04
30,Goalpokhar,20000,21215.0780017001,40171.92199829987,0.0,1.0,-18956.84399659977,0.0,0.0,-0.03,0.015,0.04
31,Chakulia,20000,20193.153333246166,37802.61589752303,5e-05,0.99995,-17609.462564276862,0.0,0.0,-0.03,0.015,0.04
32,Karandighi,20000,61739.73341848538,103487.26658151382,0.0,1.0,-41747.533163028435,0.0,0.0,-0.03,0.015,0.04
33,Hemtabad (SC),20000,55202.59627767275,81494.77409269751,0.0076,0.9924,-26292.17781502477,0.0,0.0,-0.03,0.015,0.04
34,Kaliaganj (SC),20000,138137.1780482391,127236.82195176068,0.70215,0.29785,10900.356096478414,0.0,0.0,-0.03,0.015,0.04
35,Raiganj,20000,25596.418017182816,21375.117697103207,0.8659,0.1341,4221.3003200796065,0.0,0.0,-0.03,0.015,0.04
36,Itahar,20000,26261.83521026702,48495.736218304264,5e-05,0.99995,-22233.901008037243,0.0,0.0,-0.03,0.015,0.04
37,Kushmandi (SC),20000,50146.22055086954,65783.19861080732,0.04655,0.95345,-15636.978059937781,0.0,0.0,-0.03,0.015,0.04
38,Kumarganj,20000,27757.08844396698,46830.911556032894,0.0008,0.9992,-19073.82311206591,0.0,0.0,-0.03,0.015,0.04
39,Balurghat,20000,55038.983268578995,50590.47352154475,0.70045,0.29955,4448.509747034246,0.0,0.0,-0.03,0.015,0.04
40,Tapan (ST),20000,55203.78177312349,61042.77244374404,0.26965,0.73035,-5838.990670620548,0.0,0.0,-0.03,0.015,0.04
41,Gangarampur (SC),20000,52140.228247139,55661.3495971727,0.34025,0.65975,-3521.1213500337003,0.0,0.0,-0.03,0.015,0.04
42,Harirampur,20000,75984.08669415281,112656.2795609902,0.008,0.992,-36672.19286683738,0.0,0.0,-0.03,0.015,0.04
43,Habibpur (ST),20000,108012.9294890802,96586.88003472901,0.75395,0.24605,11426.049454351174,0.0,0.0,-0.03,0.015,0.04
44,Gazole (SC),20000,98642.56817558622,66750.43182441372,0.999,0.001,31892.136351172496,0.0,0.0,-0.03,0.015,0.04
45,Chanchal,20000,36663.47420898962,101625.22262358978,0.0,1.0,-64961.74841460018,0.0,0.0,-0.03,0.015,0.04
46,Harishchandrapur,20000,13361.085794633564,42571.94099108056,0.0,1.0,-29210.855196447003,0.0,0.0,-0.03,0.015,0.04
