ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,32511.312812005825,46713.18718799424,0.01365,0.98635,-14201.874375988418,0.0,0.0,-0.05,0.015,0.04
2,Mathabhanga (SC),20000,74601.36362893938,70061.02655797599,0.6522,0.3478,4540.337070963395,0.0,0.0,-0.05,0.015,0.04
3,Cooch Behar Uttar (SC),20000,43745.73794646654,46918.618217916795,0.33165,0.66835,-3172.8802714502513,0.0,0.0,-0.05,0.015,0.04
4,Cooch Behar Dakshin,20000,59324.43287736327,68591.70848389342,0.1809,0.8191,-9267.275606530155,0.0,0.0,-0.05,0.015,0.04
5,Sitalkuchi (SC),20000,15504.832820247771,13994.167179752161,0.7388,0.2612,1510.6656404956102,0.0,0.0,-0.05,0.015,0.04
6,Sitai (SC),20000,49427.20137038087,66268.6247165758,0.0347,0.9653,-16841.423346194933,0.0,0.0,-0.05,0.015,0.04
7,Dinhata,20000,61145.857360473696,73137.14263952652,0.09065,0.90935,-11991.28527905283,0.0,0.0,-0.05,0.015,0.04
8,Natabari,20000,79683.16474367044,77019.5784995731,0.58345,0.41655,2663.58624409734,0.0,0.0,-0.05,0.015,0.04
9,Tufanganj,20000,84122.4358200058,74825.73474074097,0.7668,0.2332,9296.70107926483,0.0,0.0,-0.05,0.015,0.04
10,Kumargram (ST),20000,79595.28961465236,87800.39622605655,0.27145,0.72855,-8205.10661140418,0.0,0.0,-0.05,0.015,0.04
11,Kalchini (ST),20000,29446.22876227539,26102.95751223431,0.77485,0.22515,3343.2712500410826,0.0,0.0,-0.05,0.015,0.04
12,Alipurduars,20000,63526.926953843555,66055.54960865651,0.4007,0.5993,-2528.6226548129557,0.0,0.0,-0.05,0.015,0.04
13,Falakata,20000,107281.73695247612,125990.26304752452,0.1578,0.8422,-18708.526095048404,0.0,0.0,-0.05,0.015,0.04
14,Madarihat,20000,54304.09546699195,44829.8355674909,0.8814,0.1186,9474.259899501043,0.0,0.0,-0.05,0.015,0.04
15,Dhupguri (SC),20000,77568.88753208223,90888.5679134624,0.1634,0.8366,-13319.680381380165,0.0,0.0,-0.05,0.015,0.04
16,Maynaguri (SC),20000,82456.29526685891,90439.35939415767,0.28455,0.71545,-7983.0641272987605,0.0,0.0,-0.05,0.015,0.04
17,Jalpaiguri (SC),20000,52832.863016307725,65201.949483692384,0.09765,0.90235,-12369.08646738466,0.0,0.0,-0.05,0.015,0.04
18,Rajganj (SC),20000,34284.551422458375,49430.93877361978,0.01205,0.98795,-15146.38735116141,0.0,0.0,-0.05,0.015,0.04
19,Dabgram-Phulbari,20000,45385.57116098839,43619.774077106784,0.5975,0.4025,1765.7970838815986,0.0,0.0,-0.05,0.015,0.04
20,Mal (ST),20000,46779.94811205908,53034.05188794106,0.1645,0.8355,-6254.103775881982,0.0,0.0,-0.05,0.015,0.04
21,Nagrakata (ST),20000,32856.42516208148,30246.4839288276,0.69715,0.30285,2609.941233253884,0.0,0.0,-0.05,0.015,0.04
22,Kalimpong,20000,45497.093316107916,2524.9207683986197,1.0,0.0,42972.1725477093,0.0,0.0,-0.05,0.015,0.04
23,Darjeeling,20000,184812.96670208205,42329.033297918475,1.0,0.0,142483.9334041636,0.0,0.0,-0.05,0.015,0.04
24,Kurseong,20000,179543.6727310563,9825.241296094144,1.0,0.0,169718.43143496214,0.0,0.0,-0.05,0.015,0.04
25,Matigara-Naxalbari (SC),20000,119592.59419484239,73235.3960331701,0.99895,0.00105,46357.19816167229,0.0,0.0,-0.05,0.015,0.04
26,Siliguri,20000,14455.766313423432,10729.133686576559,0.9662,0.0338,3726.6326268468724,0.0,0.0,-0.05,0.015,0.04
27,Phansidewa (ST),20000,23453.462872286425,21180.537127713593,0.7347,0.2653,2272.9257445728304,0.0,0.0,-0.05,0.015,0.04
28,Chopra,20000,51029.91885053225,135119.16085961252,0.0,1.0,-84089.24200908026,0.0,0.0,-0.05,0.015,0.04
29,Islampur,20000,5854.486279057688,15523.513720942196,0.0,1.0,-9669.02744188451,0.0,0.0,-0.05,0.015,0.04
30,Goalpokhar,20000,20538.788529900794,40848.211470099035,0.0,1.0,-20309.422940198237,0.0,0.0,-0.05,0.015,0.04
31,Chakulia,20000,19027.345386734814,38968.42384403453,0.0,1.0,-19941.078457299715,0.0,0.0,-0.05,0.015,0.04
32,Karandighi,20000,60207.923701163694,105019.07629883605,0.0,1.0,-44811.15259767236,0.0,0.0,-0.05,0.015,0.04
33,Hemtabad (SC),20000,52514.65469888551,84182.71567148475,0.0024,0.9976,-31668.060972599233,0.0,0.0,-0.05,0.015,0.04
34,Kaliaganj (SC),20000,133053.01781600574,132320.9821839942,0.51225,0.48775,732.0356320115566,0.0,0.0,-0.05,0.015,0.04
35,Raiganj,20000,24654.658004775338,22316.877709510336,0.73165,0.26835,2337.780295265001,0.0,0.0,-0.05,0.015,0.04
36,Itahar,20000,24794.83441558679,49962.737012984486,5e-05,0.99995,-25167.902597397697,0.0,0.0,-0.05,0.015,0.04
37,Kushmandi (SC),20000,47826.91398636646,68102.50517530974,0.01475,0.98525,-20275.59118894327,0.0,0.0,-0.05,0.015,0.04
38,Kumarganj,20000,26259.79859772405,48328.201402276005,5e-05,0.99995,-22068.40280455195,0.0,0.0,-0.05,0.015,0.04
39,Balurghat,20000,52992.53677606616,52636.920014057556,0.51635,0.48365,355.6167620086074,0.0,0.0,-0.05,0.015,0.04
40,Tapan (ST),20000,52875.51127504145,63371.042941826345,0.129,0.871,-10495.531666784895,0.0,0.0,-0.05,0.015,0.04
41,Gangarampur (SC),20000,49914.4090536773,57887.16879063408,0.1746,0.8254,-7972.759736956781,0.0,0.0,-0.05,0.015,0.04
42,Harirampur,20000,72312.374965868,116327.99128927622,0.00235,0.99765,-44015.61632340821,0.0,0.0,-0.05,0.015,0.04
43,Habibpur (ST),20000,103852.03853262433,100747.77099118536,0.57525,0.42475,3104.267541438961,0.0,0.0,-0.05,0.015,0.04
44,Gazole (SC),20000,96054.25790555983,69338.74209444044,0.9957,0.0043,26715.51581111939,0.0,0.0,-0.05,0.015,0.04
45,Chanchal,20000,34010.41359542611,104278.28323715238,0.0,1.0,-70267.86964172628,0.0,0.0,-0.05,0.015,0.04
46,Harishchandrapur,20000,12219.830182810443,43713.196602903816,0.0,1.0,-31493.366420093374,0.0,0.0,-0.05,0.015,0.04
47,Malatipur,20000,15643.338468972033,108508.66153102744,0.0,1.0,-92865.3230620554,0.0,0.0,-0.05,0.015,0.04
48,Ratua,20000,135857.2710227152,84784.72897728554,1.0,0.0,51072.54204542967,0.0,0.0,-0.05,0.015,0.04
49,Manikchak,20000,186215.8614120261,34198.13858797497,1.0,0.0,152017.72282405113,0.0,0.0,-0.05,0.015,0.04
50,Maldaha,20000,31224.658468536836,31892.986268305285,0.4484,0.5516,-668.3277997684479,0.0,0.0,-0.05,0.015,0.04
