ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,43586.20656995191,57773.23343004788,0.0405,0.9595,-14187.026860095972,0.02,0.0,-0.03,0.015,0.04
2,Mathabhanga (SC),20000,79687.86194288971,69279.52277673632,0.80725,0.19275,10408.339166153395,0.02,0.0,-0.03,0.015,0.04
3,Cooch Behar Uttar (SC),20000,62504.0914588807,61893.068541118744,0.52695,0.47305,611.0229177619576,0.02,0.0,-0.03,0.015,0.04
4,Cooch Behar Dakshin,20000,57217.89370900333,61080.30979885051,0.34245,0.65755,-3862.4160898471832,0.02,0.0,-0.03,0.015,0.04
5,Sitalkuchi (SC),20000,13809.200931090241,12629.199068909775,0.71025,0.28975,1180.001862180467,0.02,0.0,-0.03,0.015,0.04
6,Sitai (SC),20000,63136.57643681017,77909.20095449343,0.09305,0.90695,-14772.624517683256,0.02,0.0,-0.03,0.015,0.04
7,Dinhata,20000,55315.38211564359,59261.21788435632,0.3013,0.6987,-3945.835768712735,0.02,0.0,-0.03,0.015,0.04
8,Natabari,20000,74086.23630784354,66189.64504350771,0.76105,0.23895,7896.591264335823,0.02,0.0,-0.03,0.015,0.04
9,Tufanganj,20000,87829.60165340347,72160.59418771791,0.8889,0.1111,15669.007465685558,0.02,0.0,-0.03,0.015,0.04
10,Kumargram (ST),20000,82083.54861160906,83465.59714060376,0.45815,0.54185,-1382.0485289946914,0.02,0.0,-0.03,0.015,0.04
11,Kalchini (ST),20000,53421.80768719723,43649.03231280272,0.89345,0.10655,9772.775374394507,0.02,0.0,-0.03,0.015,0.04
12,Alipurduars,20000,83917.46023823805,80711.70319926248,0.5994,0.4006,3205.7570389755606,0.02,0.0,-0.03,0.015,0.04
13,Falakata,20000,110508.76041661536,119945.95958338554,0.3046,0.6954,-9437.199166770171,0.02,0.0,-0.03,0.015,0.04
14,Madarihat,20000,52510.31183865613,39964.61160961923,0.95415,0.04585,12545.70022903691,0.02,0.0,-0.03,0.015,0.04
15,Dhupguri (SC),20000,77177.81664382629,83588.43305914408,0.3132,0.6868,-6410.616415317798,0.02,0.0,-0.03,0.015,0.04
16,Maynaguri (SC),20000,87413.84905775417,88432.3162388563,0.47155,0.52845,-1018.4671811021328,0.02,0.0,-0.03,0.015,0.04
17,Jalpaiguri (SC),20000,54309.9493386505,61905.3125363498,0.205,0.795,-7595.3631976992965,0.02,0.0,-0.03,0.015,0.04
18,Rajganj (SC),20000,44540.90974421812,59319.06025578173,0.03775,0.96225,-14778.150511563612,0.02,0.0,-0.03,0.015,0.04
19,Dabgram-Phulbari,20000,65067.37346283578,57827.83653716385,0.76875,0.23125,7239.536925671923,0.02,0.0,-0.03,0.015,0.04
20,Mal (ST),20000,107402.92771800657,81800.9522819934,0.974,0.026,25601.975436013152,0.02,0.0,-0.03,0.015,0.04
21,Nagrakata (ST),20000,58118.274537799225,49314.54351414826,0.84595,0.15405,8803.731023650967,0.02,0.0,-0.03,0.015,0.04
22,Kalimpong,20000,75434.40467476763,2857.720959034206,1.0,0.0,72576.68371573344,0.02,0.0,-0.03,0.015,0.04
23,Darjeeling,20000,198682.5913813521,34549.5886186479,1.0,0.0,164133.00276270419,0.02,0.0,-0.03,0.015,0.04
24,Kurseong,20000,153352.03217525536,5822.757055515464,1.0,0.0,147529.27511973988,0.02,0.0,-0.03,0.015,0.04
25,Matigara-Naxalbari (SC),20000,125954.56218179376,70851.9193817248,0.9998,0.0002,55102.64280006896,0.02,0.0,-0.03,0.015,0.04
26,Siliguri,20000,45391.726105523696,31013.923894475905,0.991,0.009,14377.802211047787,0.02,0.0,-0.03,0.015,0.04
