ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd
1,Mekliganj (SC),20000,40336.69371789441,58041.586282105556,0.0112,0.9888,-17704.892564211135,-0.01,0.0,-0.05,0.015,0.04
2,Mathabhanga (SC),20000,74452.38147648261,70133.60957491925,0.6447,0.3553,4318.771901563358,-0.01,0.0,-0.05,0.015,0.04
3,Cooch Behar Uttar (SC),20000,58250.96742773753,62487.45257226215,0.3302,0.6698,-4236.48514452461,-0.01,0.0,-0.05,0.015,0.04
4,Cooch Behar Dakshin,20000,53238.63759064478,61580.2069905069,0.1861,0.8139,-8341.569399862117,-0.01,0.0,-0.05,0.015,0.04
5,Sitalkuchi (SC),20000,12895.858273356427,12764.94172664354,0.52165,0.47835,130.9165467128888,-0.01,0.0,-0.05,0.015,0.04
6,Sitai (SC),20000,58541.67086283734,78355.70131107533,0.03575,0.96425,-19814.03044823799,-0.01,0.0,-0.05,0.015,0.04
7,Dinhata,20000,51761.242598852936,59445.457401147614,0.1523,0.8477,-7684.214802294678,-0.01,0.0,-0.05,0.015,0.04
8,Natabari,20000,69184.22695491002,66965.89318022471,0.5804,0.4196,2218.3337746852994,-0.01,0.0,-0.05,0.015,0.04
9,Tufanganj,20000,82140.68603844612,73143.91580734808,0.76485,0.23515,8996.770231098031,-0.01,0.0,-0.05,0.015,0.04
10,Kumargram (ST),20000,76455.72552901792,84224.3277010705,0.27225,0.72775,-7768.602172052586,-0.01,0.0,-0.05,0.015,0.04
11,Kalchini (ST),20000,49966.261743456,44249.55355066138,0.77505,0.22495,5716.708192794621,-0.01,0.0,-0.05,0.015,0.04
12,Alipurduars,20000,78253.55705862054,81533.57216012935,0.4005,0.5995,-3280.015101508808,-0.01,0.0,-0.05,0.015,0.04
13,Falakata,20000,102784.96995730349,120891.67004269731,0.15305,0.84695,-18106.700085393823,-0.01,0.0,-0.05,0.015,0.04
14,Madarihat,20000,49170.78944705293,40584.28331156795,0.8834,0.1166,8586.506135484982,-0.01,0.0,-0.05,0.015,0.04
15,Dhupguri (SC),20000,71787.12424830283,84250.70634575632,0.15625,0.84375,-12463.582097453487,-0.01,0.0,-0.05,0.015,0.04
16,Maynaguri (SC),20000,81429.36911206263,89244.85014641169,0.28515,0.71485,-7815.481034349048,-0.01,0.0,-0.05,0.015,0.04
17,Jalpaiguri (SC),20000,50456.65456876378,62340.51136873595,0.0939,0.9061,-11883.856799972165,-0.01,0.0,-0.05,0.015,0.04
18,Rajganj (SC),20000,41214.77768703522,59590.48731296457,0.01145,0.98855,-18375.70962592935,-0.01,0.0,-0.05,0.015,0.04
19,Dabgram-Phulbari,20000,60768.01428451688,58512.63071548304,0.5931,0.4069,2255.3835690338374,-0.01,0.0,-0.05,0.015,0.04
20,Mal (ST),20000,101066.42142374435,82572.63857625602,0.9253,0.0747,18493.78284748833,-0.01,0.0,-0.05,0.015,0.04
21,Nagrakata (ST),20000,54323.45293626747,49949.57634944663,0.6994,0.3006,4373.876586820841,-0.01,0.0,-0.05,0.015,0.04
22,Kalimpong,20000,71960.4445006824,4028.9715556556716,1.0,0.0,67931.47294502672,-0.01,0.0,-0.05,0.015,0.04
23,Darjeeling,20000,189446.3033046495,36926.106695350405,1.0,0.0,152520.1966092991,-0.01,0.0,-0.05,0.015,0.04
24,Kurseong,20000,146292.94902726103,8200.228755545533,1.0,0.0,138092.7202717155,-0.01,0.0,-0.05,0.015,0.04
25,Matigara-Naxalbari (SC),20000,118429.65512256672,72588.40051261251,0.9985,0.0015,45841.254609954216,-0.01,0.0,-0.05,0.015,0.04
26,Siliguri,20000,42573.50683771442,31584.91816228558,0.97025,0.02975,10988.588675428844,-0.01,0.0,-0.05,0.015,0.04
27,Phansidewa (ST),20000,50656.817268139384,45756.80773186065,0.7344,0.2656,4900.009536278731,-0.01,0.0,-0.05,0.015,0.04
28,Chopra,20000,51840.08311742085,136658.49052388364,0.0,1.0,-84818.40740646278,-0.01,0.0,-0.05,0.015,0.04
29,Islampur,20000,5632.141303369689,12847.198696630392,0.0,1.0,-7215.057393260702,-0.01,0.0,-0.05,0.015,0.04
30,Goalpokhar,20000,15524.017829367122,22699.88217063281,0.0016,0.9984,-7175.8643412656875,-0.01,0.0,-0.05,0.015,0.04
31,Chakulia,20000,28694.54350095131,58793.50803751031,0.0,1.0,-30098.964536559004,-0.01,0.0,-0.05,0.015,0.04
32,Karandighi,20000,51337.65519248116,92090.57480751984,0.0,1.0,-40752.91961503868,-0.01,0.0,-0.05,0.015,0.04
33,Hemtabad (SC),20000,43695.55514798595,70063.18151868033,0.00205,0.99795,-26367.626370694386,-0.01,0.0,-0.05,0.015,0.04
34,Kaliaganj (SC),20000,117412.82839079332,114679.80160920696,0.5564,0.4436,2733.026781586361,-0.01,0.0,-0.05,0.015,0.04
35,Raiganj,20000,37879.17929494567,34291.28150862619,0.73325,0.26675,3587.8977863194823,-0.01,0.0,-0.05,0.015,0.04
36,Itahar,20000,31834.455735902236,64188.614264097836,0.0,1.0,-32354.158528195596,-0.01,0.0,-0.05,0.015,0.04
37,Kushmandi (SC),20000,45484.81917390884,64856.3896284863,0.01345,0.98655,-19371.570454577457,-0.01,0.0,-0.05,0.015,0.04
38,Kumarganj,20000,29041.491321256268,53517.20742874373,5e-05,0.99995,-24475.716107487457,-0.01,0.0,-0.05,0.015,0.04
39,Balurghat,20000,47966.44556567965,47718.728878764814,0.5134,0.4866,247.71668691483737,-0.01,0.0,-0.05,0.015,0.04
40,Tapan (ST),20000,49531.347347322284,59356.459550268424,0.13245,0.86755,-9825.112202946138,-0.01,0.0,-0.05,0.015,0.04
41,Gangarampur (SC),20000,54172.43908699145,62850.03073336739,0.17545,0.82455,-8677.591646375942,-0.01,0.0,-0.05,0.015,0.04
42,Harirampur,20000,90124.40579885259,145515.6956826296,0.0017,0.9983,-55391.289883777,-0.01,0.0,-0.05,0.015,0.04
43,Habibpur (ST),20000,97237.00026813996,94156.35258900357,0.58,0.42,3080.6476791364075,-0.01,0.0,-0.05,0.015,0.04
44,Gazole (SC),20000,98544.85026172367,56626.759738276625,1.0,0.0,41918.09052344705,-0.01,0.0,-0.05,0.015,0.04
45,Chanchal,20000,26910.590005154234,82821.08614869202,0.0,1.0,-55910.496143537785,-0.01,0.0,-0.05,0.015,0.04
46,Harishchandrapur,20000,18797.7067440627,67212.0082559372,0.0,1.0,-48414.301511874495,-0.01,0.0,-0.05,0.015,0.04
47,Malatipur,20000,15171.887672801486,104750.77232719853,0.0,1.0,-89578.88465439704,-0.01,0.0,-0.05,0.015,0.04
48,Ratua,20000,134738.6969577312,136065.90304226865,0.4493,0.5507,-1327.2060845374347,-0.01,0.0,-0.05,0.015,0.04
49,Manikchak,20000,160824.3685964653,30611.9314035348,1.0,0.0,130212.4371929305,-0.01,0.0,-0.05,0.015,0.04
50,Maldaha,20000,44069.8441232648,44993.525876735264,0.44845,0.55155,-923.6817534704685,-0.01,0.0,-0.05,0.015,0.04
51,English Bazar,20000,141393.91011297368,140423.1151182391,0.5164,0.4836,970.7949947345973,-0.01,0.0,-0.05,0.015,0.04
52,Mothabari,20000,47532.080135639306,146243.45136695055,0.0,1.0,-98711.37123131125,-0.01,0.0,-0.05,0.015,0.04
53,Sujapur,20000,29660.707239212687,169112.4827607881,0.0,1.0,-139451.77552157542,-0.01,0.0,-0.05,0.015,0.04
54,Baisnabnagar,20000,84837.79047111345,134235.34952888696,0.0005,0.9995,-49397.55905777352,-0.01,0.0,-0.05,0.015,0.04
