ac_no,ac_name,total_electors,polling_station,candidate,votes,source_pdf
129,Kultali (C),265561,1,candidate_col_1,175,129_Form20.pdf
129,Kultali (C),265561,1,candidate_col_2,151,129_Form20.pdf
129,Kultali (C),265561,1,Mintu Halder,68,129_Form20.pdf
129,Kultali (C),265561,1,candidate_col_4,6,129_Form20.pdf
129,Kultali (C),265561,1,Ram Sankar Halder,166,129_Form20.pdf
129,Kultali (C),265561,1,candidate_col_6,9,129_Form20.pdf
129,Kultali (C),265561,1,candidate_col_7,4,129_Form20.pdf
129,Kultali (C),265561,1,candidate_col_8,9,129_Form20.pdf
129,Kultali (C),265561,2,candidate_col_1,120,129_Form20.pdf
129,Kultali (C),265561,2,candidate_col_2,242,129_Form20.pdf
129,Kultali (C),265561,2,Mintu Halder,153,129_Form20.pdf
129,Kultali (C),265561,2,candidate_col_4,5,129_Form20.pdf
129,Kultali (C),265561,2,Ram Sankar Halder,279,129_Form20.pdf
129,Kultali (C),265561,2,candidate_col_6,3,129_Form20.pdf
129,Kultali (C),265561,2,candidate_col_7,1,129_Form20.pdf
129,Kultali (C),265561,2,candidate_col_8,11,129_Form20.pdf
129,Kultali (C),265561,3,candidate_col_1,522,129_Form20.pdf
129,Kultali (C),265561,3,candidate_col_2,115,129_Form20.pdf
129,Kultali (C),265561,3,Mintu Halder,80,129_Form20.pdf
129,Kultali (C),265561,3,candidate_col_4,5,129_Form20.pdf
129,Kultali (C),265561,3,Ram Sankar Halder,72,129_Form20.pdf
129,Kultali (C),265561,3,candidate_col_6,2,129_Form20.pdf
129,Kultali (C),265561,3,candidate_col_7,1,129_Form20.pdf
129,Kultali (C),265561,3,candidate_col_8,7,129_Form20.pdf
129,Kultali (C),265561,4,candidate_col_1,607,129_Form20.pdf
129,Kultali (C),265561,4,candidate_col_2,14,129_Form20.pdf
129,Kultali (C),265561,4,Mintu Halder,118,129_Form20.pdf
129,Kultali (C),265561,4,candidate_col_4,1,129_Form20.pdf
129,Kultali (C),265561,4,Ram Sankar Halder,60,129_Form20.pdf
129,Kultali (C),265561,4,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,4,candidate_col_7,1,129_Form20.pdf
129,Kultali (C),265561,4,candidate_col_8,4,129_Form20.pdf
129,Kultali (C),265561,5,candidate_col_1,262,129_Form20.pdf
129,Kultali (C),265561,5,candidate_col_2,5,129_Form20.pdf
129,Kultali (C),265561,5,Mintu Halder,109,129_Form20.pdf
129,Kultali (C),265561,5,candidate_col_4,4,129_Form20.pdf
129,Kultali (C),265561,5,Ram Sankar Halder,252,129_Form20.pdf
129,Kultali (C),265561,5,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,5,candidate_col_7,4,129_Form20.pdf
129,Kultali (C),265561,5,candidate_col_8,1,129_Form20.pdf
129,Kultali (C),265561,6,candidate_col_1,218,129_Form20.pdf
129,Kultali (C),265561,6,candidate_col_2,3,129_Form20.pdf
129,Kultali (C),265561,6,Mintu Halder,145,129_Form20.pdf
129,Kultali (C),265561,6,candidate_col_4,1,129_Form20.pdf
129,Kultali (C),265561,6,Ram Sankar Halder,65,129_Form20.pdf
129,Kultali (C),265561,6,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,6,candidate_col_7,1,129_Form20.pdf
129,Kultali (C),265561,6,candidate_col_8,4,129_Form20.pdf
129,Kultali (C),265561,6A,candidate_col_1,202,129_Form20.pdf
129,Kultali (C),265561,6A,candidate_col_2,7,129_Form20.pdf
129,Kultali (C),265561,6A,Mintu Halder,135,129_Form20.pdf
129,Kultali (C),265561,6A,candidate_col_4,0,129_Form20.pdf
129,Kultali (C),265561,6A,Ram Sankar Halder,115,129_Form20.pdf
129,Kultali (C),265561,6A,candidate_col_6,2,129_Form20.pdf
129,Kultali (C),265561,6A,candidate_col_7,2,129_Form20.pdf
129,Kultali (C),265561,6A,candidate_col_8,5,129_Form20.pdf
129,Kultali (C),265561,7,candidate_col_1,421,129_Form20.pdf
129,Kultali (C),265561,7,candidate_col_2,18,129_Form20.pdf
129,Kultali (C),265561,7,Mintu Halder,279,129_Form20.pdf
129,Kultali (C),265561,7,candidate_col_4,8,129_Form20.pdf
129,Kultali (C),265561,7,Ram Sankar Halder,143,129_Form20.pdf
129,Kultali (C),265561,7,candidate_col_6,4,129_Form20.pdf
129,Kultali (C),265561,7,candidate_col_7,3,129_Form20.pdf
129,Kultali (C),265561,7,candidate_col_8,8,129_Form20.pdf
129,Kultali (C),265561,8,candidate_col_1,349,129_Form20.pdf
129,Kultali (C),265561,8,candidate_col_2,30,129_Form20.pdf
129,Kultali (C),265561,8,Mintu Halder,307,129_Form20.pdf
129,Kultali (C),265561,8,candidate_col_4,1,129_Form20.pdf
129,Kultali (C),265561,8,Ram Sankar Halder,43,129_Form20.pdf
129,Kultali (C),265561,8,candidate_col_6,2,129_Form20.pdf
129,Kultali (C),265561,8,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,8,candidate_col_8,7,129_Form20.pdf
129,Kultali (C),265561,9,candidate_col_1,0,129_Form20.pdf
129,Kultali (C),265561,9,candidate_col_2,0,129_Form20.pdf
129,Kultali (C),265561,9,Mintu Halder,0,129_Form20.pdf
129,Kultali (C),265561,9,candidate_col_4,0,129_Form20.pdf
129,Kultali (C),265561,9,Ram Sankar Halder,0,129_Form20.pdf
129,Kultali (C),265561,9,candidate_col_6,0,129_Form20.pdf
129,Kultali (C),265561,9,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,9,candidate_col_8,0,129_Form20.pdf
129,Kultali (C),265561,10,candidate_col_1,631,129_Form20.pdf
129,Kultali (C),265561,10,candidate_col_2,11,129_Form20.pdf
129,Kultali (C),265561,10,Mintu Halder,214,129_Form20.pdf
129,Kultali (C),265561,10,candidate_col_4,2,129_Form20.pdf
129,Kultali (C),265561,10,Ram Sankar Halder,8,129_Form20.pdf
129,Kultali (C),265561,10,candidate_col_6,2,129_Form20.pdf
129,Kultali (C),265561,10,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,10,candidate_col_8,6,129_Form20.pdf
129,Kultali (C),265561,11,candidate_col_1,678,129_Form20.pdf
129,Kultali (C),265561,11,candidate_col_2,4,129_Form20.pdf
129,Kultali (C),265561,11,Mintu Halder,206,129_Form20.pdf
129,Kultali (C),265561,11,candidate_col_4,1,129_Form20.pdf
129,Kultali (C),265561,11,Ram Sankar Halder,33,129_Form20.pdf
129,Kultali (C),265561,11,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,11,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,11,candidate_col_8,2,129_Form20.pdf
129,Kultali (C),265561,12,candidate_col_1,652,129_Form20.pdf
129,Kultali (C),265561,12,candidate_col_2,118,129_Form20.pdf
129,Kultali (C),265561,12,Mintu Halder,75,129_Form20.pdf
129,Kultali (C),265561,12,candidate_col_4,3,129_Form20.pdf
129,Kultali (C),265561,12,Ram Sankar Halder,15,129_Form20.pdf
129,Kultali (C),265561,12,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,12,candidate_col_7,2,129_Form20.pdf
129,Kultali (C),265561,12,candidate_col_8,5,129_Form20.pdf
129,Kultali (C),265561,13,candidate_col_1,425,129_Form20.pdf
129,Kultali (C),265561,13,candidate_col_2,306,129_Form20.pdf
129,Kultali (C),265561,13,Mintu Halder,26,129_Form20.pdf
129,Kultali (C),265561,13,candidate_col_4,3,129_Form20.pdf
129,Kultali (C),265561,13,Ram Sankar Halder,15,129_Form20.pdf
129,Kultali (C),265561,13,candidate_col_6,3,129_Form20.pdf
129,Kultali (C),265561,13,candidate_col_7,1,129_Form20.pdf
129,Kultali (C),265561,13,candidate_col_8,3,129_Form20.pdf
129,Kultali (C),265561,14,candidate_col_1,683,129_Form20.pdf
129,Kultali (C),265561,14,candidate_col_2,101,129_Form20.pdf
129,Kultali (C),265561,14,Mintu Halder,74,129_Form20.pdf
129,Kultali (C),265561,14,candidate_col_4,3,129_Form20.pdf
129,Kultali (C),265561,14,Ram Sankar Halder,7,129_Form20.pdf
129,Kultali (C),265561,14,candidate_col_6,0,129_Form20.pdf
129,Kultali (C),265561,14,candidate_col_7,1,129_Form20.pdf
129,Kultali (C),265561,14,candidate_col_8,17,129_Form20.pdf
129,Kultali (C),265561,15,candidate_col_1,329,129_Form20.pdf
129,Kultali (C),265561,15,candidate_col_2,5,129_Form20.pdf
129,Kultali (C),265561,15,Mintu Halder,115,129_Form20.pdf
129,Kultali (C),265561,15,candidate_col_4,3,129_Form20.pdf
129,Kultali (C),265561,15,Ram Sankar Halder,5,129_Form20.pdf
129,Kultali (C),265561,15,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,15,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,15,candidate_col_8,4,129_Form20.pdf
129,Kultali (C),265561,15A,candidate_col_1,349,129_Form20.pdf
129,Kultali (C),265561,15A,candidate_col_2,2,129_Form20.pdf
129,Kultali (C),265561,15A,Mintu Halder,130,129_Form20.pdf
129,Kultali (C),265561,15A,candidate_col_4,0,129_Form20.pdf
129,Kultali (C),265561,15A,Ram Sankar Halder,6,129_Form20.pdf
129,Kultali (C),265561,15A,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,15A,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,15A,candidate_col_8,2,129_Form20.pdf
129,Kultali (C),265561,16,candidate_col_1,638,129_Form20.pdf
129,Kultali (C),265561,16,candidate_col_2,14,129_Form20.pdf
129,Kultali (C),265561,16,Mintu Halder,133,129_Form20.pdf
129,Kultali (C),265561,16,candidate_col_4,2,129_Form20.pdf
129,Kultali (C),265561,16,Ram Sankar Halder,5,129_Form20.pdf
129,Kultali (C),265561,16,candidate_col_6,3,129_Form20.pdf
129,Kultali (C),265561,16,candidate_col_7,2,129_Form20.pdf
129,Kultali (C),265561,16,candidate_col_8,14,129_Form20.pdf
129,Kultali (C),265561,17,candidate_col_1,260,129_Form20.pdf
129,Kultali (C),265561,17,candidate_col_2,172,129_Form20.pdf
129,Kultali (C),265561,17,Mintu Halder,6,129_Form20.pdf
129,Kultali (C),265561,17,candidate_col_4,1,129_Form20.pdf
129,Kultali (C),265561,17,Ram Sankar Halder,1,129_Form20.pdf
129,Kultali (C),265561,17,candidate_col_6,0,129_Form20.pdf
129,Kultali (C),265561,17,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,17,candidate_col_8,3,129_Form20.pdf
129,Kultali (C),265561,18,candidate_col_1,331,129_Form20.pdf
129,Kultali (C),265561,18,candidate_col_2,388,129_Form20.pdf
129,Kultali (C),265561,18,Mintu Halder,11,129_Form20.pdf
129,Kultali (C),265561,18,candidate_col_4,2,129_Form20.pdf
129,Kultali (C),265561,18,Ram Sankar Halder,5,129_Form20.pdf
129,Kultali (C),265561,18,candidate_col_6,5,129_Form20.pdf
129,Kultali (C),265561,18,candidate_col_7,3,129_Form20.pdf
129,Kultali (C),265561,18,candidate_col_8,6,129_Form20.pdf
129,Kultali (C),265561,19,candidate_col_1,274,129_Form20.pdf
129,Kultali (C),265561,19,candidate_col_2,3,129_Form20.pdf
129,Kultali (C),265561,19,Mintu Halder,198,129_Form20.pdf
129,Kultali (C),265561,19,candidate_col_4,3,129_Form20.pdf
129,Kultali (C),265561,19,Ram Sankar Halder,9,129_Form20.pdf
129,Kultali (C),265561,19,candidate_col_6,0,129_Form20.pdf
129,Kultali (C),265561,19,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,19,candidate_col_8,2,129_Form20.pdf
129,Kultali (C),265561,19A,candidate_col_1,283,129_Form20.pdf
129,Kultali (C),265561,19A,candidate_col_2,5,129_Form20.pdf
129,Kultali (C),265561,19A,Mintu Halder,169,129_Form20.pdf
129,Kultali (C),265561,19A,candidate_col_4,0,129_Form20.pdf
129,Kultali (C),265561,19A,Ram Sankar Halder,3,129_Form20.pdf
129,Kultali (C),265561,19A,candidate_col_6,0,129_Form20.pdf
129,Kultali (C),265561,19A,candidate_col_7,0,129_Form20.pdf
129,Kultali (C),265561,19A,candidate_col_8,2,129_Form20.pdf
129,Kultali (C),265561,20,candidate_col_1,555,129_Form20.pdf
129,Kultali (C),265561,20,candidate_col_2,7,129_Form20.pdf
129,Kultali (C),265561,20,Mintu Halder,231,129_Form20.pdf
129,Kultali (C),265561,20,candidate_col_4,0,129_Form20.pdf
129,Kultali (C),265561,20,Ram Sankar Halder,7,129_Form20.pdf
129,Kultali (C),265561,20,candidate_col_6,1,129_Form20.pdf
129,Kultali (C),265561,20,candidate_col_7,2,129_Form20.pdf
129,Kultali (C),265561,20,candidate_col_8,7,129_Form20.pdf
129,Kultali (C),265561,21,candidate_col_1,307,129_Form20.pdf
129,Kultali (C),265561,21,candidate_col_2,118,129_Form20.pdf
129,Kultali (C),265561,21,Mintu Halder,60,129_Form20.pdf
129,Kultali (C),265561,21,candidate_col_4,2,129_Form20.pdf
129,Kultali (C),265561,21,Ram Sankar Halder,0,129_Form20.pdf
129,Kultali (C),265561,21,candidate_col_6,0,129_Form20.pdf
129,Kultali (C),265561,21,candidate_col_7,2,129_Form20.pdf
129,Kultali (C),265561,21,candidate_col_8,3,129_Form20.pdf
129,Kultali (C),265561,21A,candidate_col_1,287,129_Form20.pdf
129,Kultali (C),265561,21A,candidate_col_2,69,129_Form20.pdf
