ac_no,has_pdf,has_ocr_markdown,native_rows,native_booths,ocr_rows,ocr_booths,combined_rows,combined_booths,candidate_count,total_candidate_votes_sum,total_electors_ac_level,ac_name,status
1,True,True,0,0,35,34,35,34,2,9452,22646.0,,parsed
2,True,True,0,0,1513,204,1513,204,33,160273,,Mathabhanga (SC),parsed
3,True,True,0,0,191,46,191,46,11,30598,,,parsed
4,True,True,0,0,313,52,313,52,9,28501,233839.0,,parsed
5,True,True,0,0,219,44,219,44,10,26818,,,parsed
6,True,True,0,0,980,142,980,142,25,81450,290568.0,,parsed
7,True,True,0,0,989,244,989,244,16,117312,299251.0,,parsed
8,True,True,0,0,975,175,975,175,30,110998,245040.0,of 13,parsed
9,True,True,0,0,2102,278,2102,278,48,205149,234311.0,,parsed
10,True,True,0,0,1320,299,1320,299,42,193939,272924.0,,parsed
11,True,True,0,0,275,25,275,25,11,14051,247425.0,,parsed
12,True,True,0,0,869,141,869,141,29,90871,260652.0,,parsed
13,True,True,0,0,2514,338,2514,338,58,214898,254022.0,Falakata(SC),parsed
14,True,True,0,0,944,178,944,178,15,403526,12651.0,,parsed
15,True,True,0,0,1320,184,1320,184,23,142803,263118.0,,parsed
16,True,True,0,0,2016,236,2016,236,41,172445,,,parsed
17,True,True,0,0,1272,181,1272,181,56,113049,262500.0,,parsed
18,True,True,0,0,188,27,188,27,7,15255,,,parsed
19,True,True,0,0,482,125,482,125,13,42560,,,parsed
20,True,True,0,0,658,132,658,132,16,98532,,,parsed
21,True,True,0,0,618,99,618,99,12,96838,,,parsed
22,True,True,0,0,730,112,730,112,25,41838,209760.0,Kalimpong (in the case of election from a Parliamentary Constituency),parsed
23,True,True,0,0,2490,284,2490,284,47,168609,242639.0,,parsed
24,True,True,0,0,1093,247,1093,247,47,149843,236477.0,,parsed
25,True,True,0,0,578,169,578,169,11,94602,,,parsed
26,True,True,0,0,2,2,2,2,1,332,,,parsed
27,True,True,0,0,48,25,48,25,2,5734,240496.0,,parsed
28,True,True,0,0,1369,282,1369,282,15,188119,,Chopra,parsed
29,True,True,0,0,174,35,174,35,5,18666,,Islampur,parsed
30,True,True,0,0,789,142,789,142,27,68734,,Goalpokhar,parsed
31,True,True,0,0,373,70,373,70,7,36816,,Chakulia,parsed
32,True,True,0,0,1608,261,1608,261,49,139115,262583.0,,parsed
33,True,True,1848,231,1216,341,3064,438,138,259671,265318.0,,parsed
34,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
35,True,True,0,0,566,55,566,55,14,27352,198780.0,,parsed
36,True,True,0,0,1086,203,1086,203,33,299803,229362.0,ITAHAR,parsed
37,True,True,0,0,650,170,650,170,15,76701,219921.0,Kushmandi (SC) AC,parsed
38,True,True,0,0,438,120,438,120,8,46028,203996.0,Kumarganj AC,parsed
39,True,True,0,0,1169,170,1169,170,20,98994,180390.0,BALURGHAT,parsed
40,True,True,0,0,555,165,555,165,11,72028,220236.0,Tapan (ST),parsed
41,True,True,0,0,301,115,301,115,8,42573,221040.0,Gangarampur (SC),parsed
42,True,True,0,0,1351,248,1351,248,21,151168,225186.0,Harihampur Assembly,parsed
43,True,True,0,0,0,0,0,0,0,0,,,ocr_done_parse_failed
44,True,True,0,0,1494,284,1494,284,14,179551,,,parsed
45,True,True,0,0,1023,225,1023,225,29,111606,249402.0,,parsed
46,True,True,0,0,81,28,81,28,8,239700,252487.0,,parsed
47,True,True,0,0,1173,179,1173,179,15,121433,231907.0,MALATIPUR,parsed
48,True,True,0,0,2491,351,2491,351,28,307946,282451.0,,parsed
49,True,True,0,0,2468,343,2468,343,26,203785,253353.0,MANIKCHAK,parsed
50,True,True,0,0,727,110,727,110,19,268442,245961.0,MALDAHA (SC),parsed
51,True,True,0,0,2348,353,2348,353,19,713897,,ENGLISH BAZAR,parsed
