ac_no,ac_name,has_pdf,has_ocr_markdown,selected_source,rows,booths,candidate_count,candidate_votes_sum_raw,ac_level_total_electors,total_rows_with_valid_total,total_field_coverage,status,qa_flags
1,,True,True,ocr_llamacloud,68,56,5,14510,22646.0,17,0.25,parsed,low_booth_count
2,Mathabhanga (SC),True,True,ocr_llamacloud,1753,214,35,144195,,878,0.501,parsed,
3,,True,True,ocr_llamacloud,250,73,15,48807,,105,0.42,parsed,low_booth_count
4,,True,True,ocr_llamacloud,1401,191,29,94950,233839.0,791,0.565,parsed,
5,,True,True,ocr_llamacloud,209,42,10,25920,,5,0.024,parsed,low_booth_count;low_total_field_coverage
6,,True,True,ocr_llamacloud,904,138,28,89827,290568.0,412,0.456,parsed,low_booth_count
7,,True,True,ocr_llamacloud,925,170,16,112330,299251.0,173,0.187,parsed,low_total_field_coverage
8,of 13,True,True,ocr_llamacloud,1148,222,26,122220,245040.0,276,0.24,parsed,low_total_field_coverage
9,,True,True,ocr_llamacloud,1633,214,47,156069,234311.0,960,0.588,parsed,
10,,True,True,ocr_llamacloud,1040,226,37,156027,272924.0,710,0.683,parsed,
11,,True,True,ocr_llamacloud,497,51,20,32798,247425.0,11,0.022,parsed,low_booth_count;low_total_field_coverage
12,,True,True,ocr_llamacloud,1176,192,36,147109,260652.0,493,0.419,parsed,
13,Falakata(SC),True,True,ocr_llamacloud,2475,338,55,225936,254022.0,1275,0.515,parsed,
14,,True,True,ocr_llamacloud,647,145,13,67981,12651.0,427,0.66,parsed,low_booth_count
15,,True,True,ocr_llamacloud,1451,202,22,153231,263118.0,142,0.098,parsed,low_total_field_coverage
16,,True,True,ocr_llamacloud,2020,236,40,166068,,884,0.438,parsed,
17,,True,True,ocr_llamacloud,1131,160,41,95318,262500.0,349,0.309,parsed,
18,,True,True,ocr_llamacloud,323,51,12,23206,,101,0.313,parsed,low_booth_count
19,,True,True,ocr_llamacloud,432,84,17,24479,,409,0.947,parsed,low_booth_count
20,,True,True,ocr_llamacloud,732,153,18,105733,,365,0.499,parsed,
21,,True,True,ocr_llamacloud,577,77,11,87463,,8,0.014,parsed,low_booth_count;low_total_field_coverage
22,Kalimpong (in the case of election from a Parliamentary Constituency),True,True,ocr_llamacloud,494,71,26,30113,209760.0,46,0.093,parsed,low_booth_count;low_total_field_coverage
23,,True,True,ocr_llamacloud,2575,285,50,171522,242639.0,1845,0.717,parsed,
24,,True,True,ocr_llamacloud,973,221,43,137708,236477.0,185,0.19,parsed,low_total_field_coverage
25,,True,True,ocr_llamacloud,1350,307,29,184849,,561,0.416,parsed,
26,,True,True,ocr_llamacloud,221,25,11,13621,,221,1.0,parsed,low_booth_count
27,,True,True,ocr_llamacloud,48,25,2,5734,240496.0,1,0.021,parsed,low_booth_count;low_total_field_coverage
28,Chopra,True,True,ocr_llamacloud,1403,276,15,189917,,713,0.508,parsed,
29,Islampur,True,True,ocr_llamacloud,174,35,5,18666,,164,0.943,parsed,low_booth_count
30,Goalpokhar,True,True,ocr_llamacloud,516,93,20,38610,,252,0.488,parsed,low_booth_count
31,Chakulia,True,True,ocr_llamacloud,366,65,7,47845,,162,0.443,parsed,low_booth_count
32,,True,True,ocr_llamacloud,1842,279,56,144877,262583.0,218,0.118,parsed,low_total_field_coverage
33,,True,True,ocr_llamacloud,780,216,8,78655,265318.0,170,0.218,parsed,low_total_field_coverage
34,,True,True,ocr_llamacloud,168,22,7,4849,282575.0,119,0.708,parsed,low_booth_count
35,,True,True,ocr_llamacloud,602,56,14,36620,198780.0,246,0.409,parsed,low_booth_count
36,ITAHAR,True,True,ocr_llamacloud,576,91,15,51355,229362.0,0,0.0,parsed,low_booth_count;low_total_field_coverage
37,Kushmandi (SC) AC,True,True,ocr_llamacloud,695,167,16,76561,219921.0,547,0.787,parsed,
38,Kumarganj AC,True,True,ocr_llamacloud,438,120,8,46028,203996.0,387,0.884,parsed,low_booth_count
39,BALURGHAT,True,True,ocr_llamacloud,1182,162,21,95156,180390.0,134,0.113,parsed,low_total_field_coverage
40,Tapan (ST),True,True,ocr_llamacloud,621,166,12,87923,220236.0,178,0.287,parsed,
41,Gangarampur (SC),True,True,ocr_llamacloud,603,167,17,88688,221040.0,74,0.123,parsed,low_total_field_coverage
42,Harihampur Assembly,True,True,ocr_llamacloud,1523,243,24,177986,225186.0,436,0.286,parsed,
43,,True,True,ocr_llamacloud,390,103,3,44429,249552.0,0,0.0,parsed,low_booth_count;low_total_field_coverage
44,,True,True,ocr_llamacloud,1329,281,13,156739,,406,0.305,parsed,
45,,True,True,ocr_llamacloud,851,221,23,85484,249402.0,522,0.613,parsed,
46,,True,True,ocr_llamacloud,238,56,10,17353,252487.0,146,0.613,parsed,low_booth_count
47,MALATIPUR,True,True,ocr_llamacloud,1228,178,15,121134,231907.0,780,0.635,parsed,
48,,True,True,ocr_llamacloud,2143,306,20,273540,282451.0,104,0.049,parsed,low_total_field_coverage
49,MANIKCHAK,True,True,ocr_llamacloud,2435,337,25,193370,253353.0,1375,0.565,parsed,
50,MALDAHA (SC),True,True,ocr_llamacloud,493,76,8,45048,245961.0,265,0.538,parsed,low_booth_count
51,ENGLISH BAZAR,True,True,ocr_llamacloud,2283,346,17,281490,,25,0.011,parsed,low_total_field_coverage
52,MOTHABARI,True,True,ocr_llamacloud,2005,193,36,195565,196324.0,843,0.42,parsed,
53,SUJAPUR,True,True,ocr_llamacloud,2566,286,39,200781,251186.0,481,0.187,parsed,low_total_field_coverage
54,BAISNABNAGAR,True,True,ocr_llamacloud,1881,255,17,221286,246956.0,885,0.47,parsed,
55,FARAKKA,True,True,ocr_llamacloud,1746,286,15,198865,,700,0.401,parsed,
56,,False,False,none,0,0,0,0,,0,0.0,missing_pdf,
57,SUTI,True,True,ocr_llamacloud,2064,270,16,148101,,889,0.431,parsed,
58,,False,False,none,0,0,0,0,,0,0.0,missing_pdf,
59,RAGHUNATHGANJ,True,True,ocr_llamacloud,1948,349,15,167506,,0,0.0,parsed,low_total_field_coverage
60,SAGARDIGHI,True,True,ocr_llamacloud,1839,299,28,132346,,22,0.012,parsed,low_total_field_coverage
61,LALGOLA,True,True,ocr_llamacloud,987,125,33,100918,,397,0.402,parsed,low_booth_count
62,BHAGAWANGOLA,True,True,ocr_llamacloud,1071,140,37,84947,,557,0.52,parsed,low_booth_count
63,Raninagar,True,True,ocr_llamacloud,1914,213,47,148465,256101.0,820,0.428,parsed,
64,MURSHIDABAD,True,True,ocr_llamacloud,1825,207,48,135676,,1006,0.551,parsed,
65,NABAGRAM (SC),True,True,ocr_llamacloud,525,155,8,86216,,298,0.568,parsed,
66,KHARGRAM (SC),True,True,ocr_llamacloud,1221,231,11,152547,,990,0.811,parsed,
67,BURWAN(SC),True,True,ocr_llamacloud,832,209,6,118609,,308,0.37,parsed,
68,KANDI,True,True,ocr_llamacloud,2495,326,27,181594,,2451,0.982,parsed,
