ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf,selected_source
1,,22646.0,3,ADHIKARY,318,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,4,ADHIKARY,305,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,5,ADHIKARY,262,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,5(A),ADHIKARY,248,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,6,ADHIKARY,267,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,7(A),ADHIKARY,245,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,7,ADHIKARY,338,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,8,ADHIKARY,350,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,9,ADHIKARY,359,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,10,ADHIKARY,246,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,10(A),ADHIKARY,317,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,11,ADHIKARY,447,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,12,ADHIKARY,152,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,12(A),ADHIKARY,275,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,13,ADHIKARY,225,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,13(A),ADHIKARY,219,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,14,ADHIKARY,459,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,15,ADHIKARY,482,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,16,ADHIKARY,337,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,17,ADHIKARY,182,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,17(A),ADHIKARY,215,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,18,ADHIKARY,396,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,19,ADHIKARY,304,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,470,candidate_col_1,5,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,470,candidate_col_2,1,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,470,candidate_col_3,0,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,82(A),Serial No,320,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,93,Serial No,304,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,252,Serial No,189,431.0,8.0,3.0,685.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,253,Serial No,190,467.0,28.0,7.0,945.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,254,Serial No,191,355.0,26.0,6.0,754.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,255,Serial No,192,422.0,16.0,3.0,857.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,256,Serial No,193,203.0,16.0,6.0,561.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,257,Serial No,194,406.0,7.0,4.0,499.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,258,Serial No,195,237.0,4.0,1.0,402.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,259,Serial No,196,237.0,11.0,3.0,572.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,260,Serial No,197,374.0,63.0,6.0,686.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,261,Serial No,198,266.0,35.0,5.0,610.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,262,Serial No,199,264.0,22.0,4.0,611.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,263,Serial No,200,237.0,1.0,3.0,560.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,264,Serial No,201,278.0,34.0,3.0,800.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,265,Serial No,202,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,266,Serial No,203,221.0,16.0,2.0,590.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,267,Serial No,204,209.0,24.0,6.0,555.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,268,Serial No,205,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,269,Serial No,206,324.0,15.0,1.0,550.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,270,Serial No,207,252.0,10.0,7.0,415.0,1_Form20.pdf,ocr_llamacloud
1,,22646.0,227,candidate_col_1,337,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,227,candidate_col_2,26,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,188,candidate_col_1,12,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,188,candidate_col_2,3,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,228,candidate_col_1,346,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,229,candidate_col_1,379,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,229,candidate_col_2,26,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,230,candidate_col_1,384,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,230,candidate_col_2,22,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,231,candidate_col_1,248,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,231,candidate_col_2,18,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,232,candidate_col_1,259,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,232,candidate_col_2,77,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,232(A),candidate_col_1,207,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,232(A),candidate_col_2,11,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,233,candidate_col_1,382,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,233,candidate_col_2,1,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,234,candidate_col_1,199,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,234,candidate_col_2,7,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,235,candidate_col_1,201,,,,,1_Form20.pdf,ocr_llamacloud
1,,22646.0,235,candidate_col_2,25,,,,,1_Form20.pdf,ocr_llamacloud
2,Mathabhanga (SC),,16,Ashok Barman,152,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud
2,Mathabhanga (SC),,16,Girindra Nath Barman,554,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud
2,Mathabhanga (SC),,16,Sushil Raj Barman,4,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud
2,Mathabhanga (SC),,16,Kangsa Barman,2,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud
2,Mathabhanga (SC),,16,Bikash Mohanta,1,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud
2,Mathabhanga (SC),,16,Ratan Roy,8,739.0,0.0,6.0,745.0,2_Form20.pdf,ocr_llamacloud
