ac_no,booths,booth_candidate_rows,avg_candidates_per_booth,booths_with_total_valid,booths_sum_gt_total,booths_sum_lt_total,booths_low_candidate_count,booths_high_candidate_count,booths_with_placeholders,total_valid_coverage_pct,placeholder_booth_pct
1,56,68,1.2142857142857142,17,0,10,45,0,12,0.304,0.214
2,214,1753,7.098130841121495,84,8,2,0,0,33,0.393,0.154
3,73,250,3.356164383561644,26,18,4,1,0,17,0.356,0.233
4,191,1401,6.890052356020942,121,17,60,0,0,120,0.634,0.628
5,42,209,4.976190476190476,1,1,0,0,0,0,0.024,0.0
6,138,904,5.949275362318841,87,28,37,43,0,25,0.63,0.181
7,170,925,5.4411764705882355,30,1,0,0,0,0,0.176,0.0
8,222,1148,5.171171171171171,74,6,40,27,0,39,0.333,0.176
9,214,1633,7.630841121495327,128,67,16,0,0,70,0.598,0.327
10,226,1040,4.601769911504425,133,91,2,24,0,37,0.588,0.164
11,51,497,9.27450980392157,1,0,0,0,0,1,0.02,0.02
12,192,1176,5.4375,84,45,17,13,0,91,0.438,0.474
13,338,2475,7.322485207100592,178,0,0,0,0,163,0.527,0.482
14,145,647,4.462068965517242,65,27,5,14,0,76,0.448,0.524
15,202,1451,7.183168316831683,27,12,8,0,0,0,0.134,0.0
16,236,2020,8.233050847457626,116,30,12,0,0,0,0.492,0.0
17,160,1131,7.06875,59,6,36,0,0,25,0.369,0.156
18,51,323,6.235294117647059,19,3,16,0,0,26,0.373,0.51
19,84,432,4.904761904761905,75,3,38,40,0,18,0.893,0.214
20,153,732,4.235294117647059,85,27,48,16,0,27,0.556,0.176
21,77,577,7.4935064935064934,1,1,0,0,0,0,0.013,0.0
22,71,494,6.887323943661972,7,6,1,0,0,17,0.099,0.239
23,285,2575,8.52280701754386,199,150,21,3,0,42,0.698,0.147
24,221,973,4.380090497737557,59,13,40,58,0,62,0.267,0.281
25,307,1350,4.381107491856677,133,2,56,22,0,0,0.433,0.0
26,25,221,8.84,25,0,2,2,0,0,1.0,0.0
27,25,48,1.92,1,0,1,2,0,0,0.04,0.0
28,276,1403,4.797101449275362,135,71,2,0,0,0,0.489,0.0
29,35,174,4.9714285714285715,33,1,1,0,0,0,0.943,0.0
30,93,516,5.473118279569892,41,26,4,0,0,0,0.441,0.0
31,65,366,5.446153846153846,32,0,9,0,0,0,0.492,0.0
32,279,1842,6.494623655913978,33,6,11,19,0,22,0.118,0.079
33,216,780,3.611111111111111,34,1,25,48,0,168,0.157,0.778
34,22,168,7.0,16,1,14,0,0,22,0.727,1.0
35,56,602,10.107142857142858,30,4,26,0,0,0,0.536,0.0
36,91,576,6.329670329670329,0,0,0,0,0,0,0.0,0.0
37,167,695,4.1017964071856285,138,37,58,2,0,0,0.826,0.0
38,120,438,3.65,108,41,63,2,0,52,0.9,0.433
39,162,1182,7.253086419753086,18,1,0,0,0,0,0.111,0.0
40,166,621,3.7409638554216866,74,4,63,1,0,0,0.446,0.0
