ac_no,ac_name,total_electors,polling_station,candidate,votes,total_valid_votes,rejected_votes,nota_votes,total_votes_cast,source_pdf
100,HABRA,242425,239,YOTI PRIYA MALLI,191,,,,,100_Form20.pdf
100,HABRA,242425,239,SANTOSH BISWAJIT SINHA,215,,,,,100_Form20.pdf
100,HABRA,242425,239,KISHOR BISWAS,2,,,,,100_Form20.pdf
100,HABRA,242425,239,PROBODH BISWASKUMAR SARKAR,1,,,,,100_Form20.pdf
100,HABRA,242425,239,AMAR KRISHNA MANDAL,0,,,,,100_Form20.pdf
100,HABRA,242425,448,YOTI PRIYA MALLI,448,,,,,100_Form20.pdf
100,HABRA,242425,448,SANTOSH BISWAJIT SINHA,8,,,,,100_Form20.pdf
100,HABRA,242425,448,KISHOR BISWAS,4,,,,,100_Form20.pdf
100,HABRA,242425,448,PROBODH BISWASKUMAR SARKAR,1,,,,,100_Form20.pdf
100,HABRA,242425,448,AMAR KRISHNA MANDAL,0,,,,,100_Form20.pdf
100,HABRA,242425,34,YOTI PRIYA MALLI,289,,,,,100_Form20.pdf
100,HABRA,242425,34,SANTOSH BISWAJIT SINHA,254,,,,,100_Form20.pdf
100,HABRA,242425,34,KISHOR BISWAS,2,,,,,100_Form20.pdf
100,HABRA,242425,34,PROBODH BISWASKUMAR SARKAR,0,,,,,100_Form20.pdf
100,HABRA,242425,34,AMAR KRISHNA MANDAL,2,,,,,100_Form20.pdf
100,HABRA,242425,32,YOTI PRIYA MALLI,316,,,,,100_Form20.pdf
100,HABRA,242425,32,SANTOSH BISWAJIT SINHA,339,,,,,100_Form20.pdf
100,HABRA,242425,32,KISHOR BISWAS,8,,,,,100_Form20.pdf
100,HABRA,242425,32,PROBODH BISWASKUMAR SARKAR,2,,,,,100_Form20.pdf
100,HABRA,242425,32,AMAR KRISHNA MANDAL,7,,,,,100_Form20.pdf
100,HABRA,242425,306,YOTI PRIYA MALLI,263,,,,,100_Form20.pdf
100,HABRA,242425,306,SANTOSH BISWAJIT SINHA,27,,,,,100_Form20.pdf
100,HABRA,242425,306,KISHOR BISWAS,7,,,,,100_Form20.pdf
100,HABRA,242425,306,PROBODH BISWASKUMAR SARKAR,2,,,,,100_Form20.pdf
100,HABRA,242425,306,AMAR KRISHNA MANDAL,0,,,,,100_Form20.pdf
100,HABRA,242425,215,YOTI PRIYA MALLI,156,,,,,100_Form20.pdf
100,HABRA,242425,215,SANTOSH BISWAJIT SINHA,107,,,,,100_Form20.pdf
100,HABRA,242425,215,KISHOR BISWAS,1,,,,,100_Form20.pdf
100,HABRA,242425,215,PROBODH BISWASKUMAR SARKAR,1,,,,,100_Form20.pdf
100,HABRA,242425,215,AMAR KRISHNA MANDAL,1,,,,,100_Form20.pdf
100,HABRA,242425,123,YOTI PRIYA MALLI,296,,,,,100_Form20.pdf
100,HABRA,242425,123,SANTOSH BISWAJIT SINHA,283,,,,,100_Form20.pdf
100,HABRA,242425,123,KISHOR BISWAS,5,,,,,100_Form20.pdf
100,HABRA,242425,123,PROBODH BISWASKUMAR SARKAR,4,,,,,100_Form20.pdf
100,HABRA,242425,123,AMAR KRISHNA MANDAL,5,,,,,100_Form20.pdf
100,HABRA,242425,33,YOTI PRIYA MALLI,221,,,,,100_Form20.pdf
100,HABRA,242425,33,SANTOSH BISWAJIT SINHA,414,,,,,100_Form20.pdf
100,HABRA,242425,33,KISHOR BISWAS,4,,,,,100_Form20.pdf
