ac_no,ac_name,total_electors,polling_station,candidate,votes,source_pdf
33,,,1,1 1(A) 2 2(A) 3 3(A),1,33_Form20.pdf
33,,,1,BINAY KUMAR ROY 2 2 1 1 6 2,2,33_Form20.pdf
33,,,1,BHUPEN BARMAN 20 34 8 4 51 29,20,33_Form20.pdf
33,,,1,SATYAJIT BARMAN 459 394 241 305 396 402,459,33_Form20.pdf
33,,,1,JYOTIRMAY BARMAN 3 1 2 6 2 2,3,33_Form20.pdf
33,,,1,MANINDRA BARMAN 3 9 9 14 0 4,3,33_Form20.pdf
33,,,1,DIPU BARMAN 5 2 0 1 4 4,5,33_Form20.pdf
33,,,1,SANKAR BARMAN 2 3 1 5 2 0,2,33_Form20.pdf
33,,,3,1 1(A) 2 2(A) 3 3(A),2,33_Form20.pdf
33,,,3,BINAY KUMAR ROY 2 2 1 1 6 2,1,33_Form20.pdf
33,,,3,BHUPEN BARMAN 20 34 8 4 51 29,8,33_Form20.pdf
33,,,3,SATYAJIT BARMAN 459 394 241 305 396 402,241,33_Form20.pdf
33,,,3,JYOTIRMAY BARMAN 3 1 2 6 2 2,2,33_Form20.pdf
33,,,3,MANINDRA BARMAN 3 9 9 14 0 4,9,33_Form20.pdf
33,,,3,DIPU BARMAN 5 2 0 1 4 4,0,33_Form20.pdf
33,,,3,SANKAR BARMAN 2 3 1 5 2 0,1,33_Form20.pdf
33,,,5,1 1(A) 2 2(A) 3 3(A),3,33_Form20.pdf
33,,,5,BINAY KUMAR ROY 2 2 1 1 6 2,6,33_Form20.pdf
33,,,5,BHUPEN BARMAN 20 34 8 4 51 29,51,33_Form20.pdf
33,,,5,SATYAJIT BARMAN 459 394 241 305 396 402,396,33_Form20.pdf
33,,,5,JYOTIRMAY BARMAN 3 1 2 6 2 2,2,33_Form20.pdf
33,,,5,MANINDRA BARMAN 3 9 9 14 0 4,0,33_Form20.pdf
33,,,5,DIPU BARMAN 5 2 0 1 4 4,4,33_Form20.pdf
33,,,5,SANKAR BARMAN 2 3 1 5 2 0,2,33_Form20.pdf
33,,,7,1 1(A) 2 2(A) 3 3(A),4,33_Form20.pdf
33,,,7,BINAY KUMAR ROY 2 2 1 1 6 2,0,33_Form20.pdf
33,,,7,BHUPEN BARMAN 20 34 8 4 51 29,58,33_Form20.pdf
33,,,7,SATYAJIT BARMAN 459 394 241 305 396 402,451,33_Form20.pdf
33,,,7,JYOTIRMAY BARMAN 3 1 2 6 2 2,9,33_Form20.pdf
33,,,7,MANINDRA BARMAN 3 9 9 14 0 4,15,33_Form20.pdf
33,,,7,DIPU BARMAN 5 2 0 1 4 4,2,33_Form20.pdf
