source_pdf,error
2_Form20.pdf,2_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
4_Form20.pdf,4_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
6_Form20.pdf,6_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
8_Form20.pdf,8_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
9_Form20.pdf,9_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
10_Form20.pdf,10_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
11_Form20.pdf,11_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
12_Form20.pdf,12_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
13_Form20.pdf,13_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
14_Form20.pdf,14_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
15_Form20.pdf,15_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
17_Form20.pdf,17_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
18_Form20.pdf,18_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
19_Form20.pdf,19_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
20_Form20.pdf,20_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
21_Form20.pdf,21_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
23_Form20.pdf,23_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
32_Form20.pdf,32_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
34_Form20.pdf,34_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
35_Form20.pdf,35_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
36_Form20.pdf,36_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
43_Form20.pdf,43_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
44_Form20.pdf,44_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
45_Form20.pdf,45_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
46_Form20.pdf,46_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
47_Form20.pdf,47_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
48_Form20.pdf,48_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
49_Form20.pdf,49_Form20.pdf appears to be scanned/image-only. Run OCR first or use a manual candidate-column extraction workflow for this PDF.
