ac_no,ac_name,candidate,party,total_votes,source
1,Mekliganj,ADHIKARY PARESH CHANDRA,TMC,99338.0,ECI
1,Mekliganj,DADHIRAM RAY,BJP,84653.0,ECI
1,Mekliganj,GOBINDA CHANDRA ROY,OTHER,6853.0,ECI
1,Mekliganj,NOTA,OTHER,2447.0,ECI
1,Mekliganj,RANJIT KUMAR ROY,OTHER,1768.0,ECI
1,Mekliganj,JYOTISH ROY,OTHER,1025.0,ECI
1,Mekliganj,SUBHASH BARMAN,OTHER,955.0,ECI
1,Mekliganj,KUKIL ADHIKARY,OTHER,794.0,ECI
1,Mekliganj,GOLAPI ROY,OTHER,511.0,ECI
1,Mekliganj,CHINU ROY BARMAN,OTHER,400.0,ECI
2,Mathabhanga,Sushil Barman,BJP,113249.0,ECI
2,Mathabhanga,Girindra Nath Barman,TMC,87115.0,ECI
2,Mathabhanga,Ashok Barman,CPM,7718.0,ECI
2,Mathabhanga,NOTA,OTHER,1443.0,ECI
2,Mathabhanga,Kangsa Raj Barman,OTHER,1289.0,ECI
2,Mathabhanga,Haradhan Roy,OTHER,1167.0,ECI
2,Mathabhanga,Animesh Mohanta,OTHER,1147.0,ECI
2,Mathabhanga,Bikash Barman,OTHER,589.0,ECI
2,Mathabhanga,Ratan Barman,OTHER,486.0,ECI
3,COOCHBEHAR UTTAR,SUKUMAR ROY,BJP,120483.0,ECI
3,COOCHBEHAR UTTAR,BINAY KRISHNA BARMAN,TMC,105868.0,ECI
3,COOCHBEHAR UTTAR,NAGENDRA NATH ROY,OTHER,11475.0,ECI
3,COOCHBEHAR UTTAR,NOTA,OTHER,1570.0,ECI
3,COOCHBEHAR UTTAR,ANIL CHANDRA ROY,OTHER,1386.0,ECI
3,COOCHBEHAR UTTAR,NARESH CHANDRA ROY,OTHER,1379.0,ECI
3,COOCHBEHAR UTTAR,SAMARESH RAY,OTHER,1127.0,ECI
3,COOCHBEHAR UTTAR,GOPAL ROY,OTHER,628.0,ECI
4,Coochbehar Dakshin,Nikhil Ranjan Dey,BJP,91560.0,ECI
4,Coochbehar Dakshin,Avijit De Bhowmik,TMC,86629.0,ECI
4,Coochbehar Dakshin,Akshay Thakur,OTHER,10246.0,ECI
4,Coochbehar Dakshin,Rati Ranjan Paul,OTHER,1485.0,ECI
4,Coochbehar Dakshin,NOTA,OTHER,1464.0,ECI
4,Coochbehar Dakshin,Khokan Majumdar,OTHER,1419.0,ECI
4,Coochbehar Dakshin,Nazma Khandakar,OTHER,1138.0,ECI
4,Coochbehar Dakshin,Anamika Paul,OTHER,739.0,ECI
4,Coochbehar Dakshin,Bidhan Barma,OTHER,496.0,ECI
4,Coochbehar Dakshin,Babla Deb,OTHER,329.0,ECI
5,Sitalkuchi,Baren Chandra Barman,BJP,124955.0,ECI
5,Sitalkuchi,Partha Pratim Ray,TMC,107140.0,ECI
5,Sitalkuchi,Sudhangshu Pramanik,CPM,6720.0,ECI
5,Sitalkuchi,NOTA,OTHER,2743.0,ECI
5,Sitalkuchi,Hare Krishna Sarkar,OTHER,2018.0,ECI
5,Sitalkuchi,Manik Chandra Barman,OTHER,976.0,ECI
5,Sitalkuchi,Kamal Barman,OTHER,721.0,ECI
5,Sitalkuchi,Jagadish Adhikari,OTHER,693.0,ECI
6,Sitai,JAGADISH CHANDRA BARMA BASUNIA,TMC,117908.0,ECI
6,Sitai,DIPAK KUMAR ROY,BJP,107796.0,ECI
6,Sitai,KESHAB CHANDRA RAY,INC,3964.0,ECI
6,Sitai,SUNIL MAHANTA,OTHER,2391.0,ECI
6,Sitai,LALCHAND BARMAN,OTHER,1776.0,ECI
6,Sitai,NOTA,OTHER,1577.0,ECI
6,Sitai,ANIL CHANDRA BARMAN ROY,OTHER,1381.0,ECI
6,Sitai,KASHIKANTA BARMAN,OTHER,866.0,ECI
6,Sitai,PROSHANTA BARMAN,OTHER,550.0,ECI
6,Sitai,PRASANNA KUMAR ROY,OTHER,369.0,ECI
7,Dinhata,NISITH PRAMANIK,BJP,116035.0,ECI
7,Dinhata,UDAYAN GUHA,TMC,115978.0,ECI
7,Dinhata,ABDUR ROUF,OTHER,6069.0,ECI
7,Dinhata,NOTA,OTHER,1537.0,ECI
7,Dinhata,LEBU MIYAN,OTHER,1387.0,ECI
7,Dinhata,PRADIP ROY,OTHER,1375.0,ECI
7,Dinhata,NIRMAL CHANDRA BARMAN,OTHER,1370.0,ECI
8,Natabari,Mihir Goswami,BJP,111743.0,ECI
8,Natabari,Rabindra Nath Ghosh,TMC,88303.0,ECI
8,Natabari,Akik Hassan,CPM,11839.0,ECI
8,Natabari,Sahidul Hossain,OTHER,1341.0,ECI
8,Natabari,Abdus Salam,OTHER,1186.0,ECI
8,Natabari,NOTA,OTHER,1146.0,ECI
8,Natabari,Dalendra Nath Ray,OTHER,1110.0,ECI
8,Natabari,Ekramul Hoque,OTHER,505.0,ECI
9,Tufanganj,Malati Rava Roy,BJP,114503.0,ECI
9,Tufanganj,Pranab Kumar Dey,TMC,83305.0,ECI
9,Tufanganj,Rabin Roy,INC,5973.0,ECI
9,Tufanganj,NOTA,OTHER,2069.0,ECI
9,Tufanganj,Sushil Chandra Das,OTHER,1461.0,ECI
9,Tufanganj,Prahallad Layek,OTHER,601.0,ECI
9,Tufanganj,Dhananjay Barman,OTHER,552.0,ECI
9,Tufanganj,Bhola Saha,OTHER,491.0,ECI
9,Tufanganj,Jiban Kumar Saha,OTHER,423.0,ECI
10,Kumargram,MANOJ KUMAR ORAON,BJP,111974.0,ECI
10,Kumargram,LEOS KUJUR (URAO),TMC,100973.0,ECI
10,Kumargram,KISHOR MINJ,OTHER,11253.0,ECI
10,Kumargram,NOTA,OTHER,2718.0,ECI
10,Kumargram,Aron Murmu,OTHER,1781.0,ECI
10,Kumargram,Shrilal Oron,OTHER,1651.0,ECI
10,Kumargram,KALAWATI CHIK BARAIK,OTHER,1399.0,ECI
10,Kumargram,Shailen Marandi,OTHER,740.0,ECI
11,Kalchini,BISHAL LAMA,BJP,103104.0,ECI
11,Kalchini,PASSANG LAMA,TMC,74528.0,ECI
11,Kalchini,AVIJIT NARJINARY,INC,5482.0,ECI
11,Kalchini,BINAY NARJINARY,OTHER,2425.0,ECI
11,Kalchini,NOTA,OTHER,2377.0,ECI
11,Kalchini,REKHA LAKRA (EKKA),OTHER,2251.0,ECI
11,Kalchini,PRAKASH KUJUR,OTHER,1869.0,ECI
11,Kalchini,CHANCHAL NARJINARY,OTHER,1164.0,ECI
11,Kalchini,SUKUMAR MINJ,OTHER,910.0,ECI
11,Kalchini,ASHOK LAMA,OTHER,803.0,ECI
11,Kalchini,HAKIM MAHALI,OTHER,479.0,ECI
11,Kalchini,MADAN KUMAR URAON,OTHER,423.0,ECI
12,Alipurduars,SUMAN KANJILAL,BJP,107333.0,ECI
12,Alipurduars,SOURAV CHAKRABORTY (GHUTIS),TMC,91326.0,ECI
12,Alipurduars,DEBA PRASAD ROY,INC,15651.0,ECI
12,Alipurduars,NIKHIL CHANDRA RAIBIR,OTHER,2351.0,ECI
12,Alipurduars,NOTA,OTHER,1981.0,ECI
12,Alipurduars,RINKU GHOSH,OTHER,1393.0,ECI
12,Alipurduars,PIJUSH KANTI SARMA,OTHER,1111.0,ECI
12,Alipurduars,ASHIM ROY,OTHER,696.0,ECI
12,Alipurduars,KUSHAL KUMAR ROY,OTHER,620.0,ECI
12,Alipurduars,ABINASH DAS,OTHER,270.0,ECI
13,Falakata,DIPAK BARMAN,BJP,102993.0,ECI
13,Falakata,SUBHASH CHANDRA ROY,TMC,99003.0,ECI
13,Falakata,KSHITISH CHANDRA RAY,CPM,10772.0,ECI
13,Falakata,NOTA,OTHER,1970.0,ECI
13,Falakata,DIPAK CHANDRA MANDAL (SANTOSH),OTHER,1678.0,ECI
13,Falakata,SWAPAN ROY,OTHER,1645.0,ECI
13,Falakata,TAPAN ADHIKARI,OTHER,1377.0,ECI
13,Falakata,TARANI ROY,OTHER,613.0,ECI
13,Falakata,BIMAL ROY,OTHER,449.0,ECI
14,Madarihat,MANOJ TIGGA,BJP,90718.0,ECI
14,Madarihat,RAJESH LAKRA,TMC,61033.0,ECI
14,Madarihat,SUBHASH LOHAR,OTHER,7072.0,ECI
14,Madarihat,NOTA,OTHER,2622.0,ECI
14,Madarihat,UTTAM BARUA,OTHER,1696.0,ECI
14,Madarihat,VIVEK PRADEEP TETE,OTHER,1540.0,ECI
14,Madarihat,PANCHU ORAON,OTHER,1272.0,ECI
14,Madarihat,SUDHIST BARAIK,OTHER,967.0,ECI
15,Dhupguri,BISHNU PADA RAY,BJP,104688.0,ECI
15,Dhupguri,MITALI ROY,TMC,100333.0,ECI
15,Dhupguri,PRADIP KUMAR ROY,CPM,13107.0,ECI
15,Dhupguri,BEDODYUTI ROY,OTHER,2178.0,ECI
15,Dhupguri,HRISHIKESH ROY,OTHER,2169.0,ECI
15,Dhupguri,SUKUMAR ROY,OTHER,2155.0,ECI
15,Dhupguri,NOTA,OTHER,1984.0,ECI
15,Dhupguri,DHIRANJAN ROY,OTHER,1613.0,ECI
15,Dhupguri,SUJAN BARMAN,OTHER,1096.0,ECI
16,Maynaguri,Kaushik Roy,BJP,115306.0,ECI
16,Maynaguri,Manoj Roy,TMC,103395.0,ECI
16,Maynaguri,Naresh Chandra Roy,OTHER,5760.0,ECI
16,Maynaguri,NOTA,OTHER,3095.0,ECI
16,Maynaguri,Biswanath Roy,OTHER,2868.0,ECI
16,Maynaguri,Uday Shankar Adhikari,OTHER,1555.0,ECI
16,Maynaguri,Ganesh Mandal,OTHER,1550.0,ECI
16,Maynaguri,Bilash Sarkar,OTHER,1079.0,ECI
16,Maynaguri,Shyamal Roy,OTHER,745.0,ECI
16,Maynaguri,Binay Sarkar,OTHER,740.0,ECI
17,Jalpaiguri,DR. PRADIP KUMAR BARMA,TMC,95668.0,ECI
17,Jalpaiguri,SOUJIT SINGHA (PIKU),BJP,94727.0,ECI
17,Jalpaiguri,SUKHBILAS BARMA,INC,24228.0,ECI
17,Jalpaiguri,NOTA,OTHER,3381.0,ECI
17,Jalpaiguri,SUBHASH KUMAR SARKAR,OTHER,1609.0,ECI
17,Jalpaiguri,RAKHI SARKAR,OTHER,1556.0,ECI
17,Jalpaiguri,HAREKRISHNA SARKAR,OTHER,1147.0,ECI
17,Jalpaiguri,ISWAR BARAI,OTHER,1011.0,ECI
17,Jalpaiguri,HARIDAS BISWAS,OTHER,962.0,ECI
17,Jalpaiguri,PALENDRA NATH ROY,OTHER,898.0,ECI
17,Jalpaiguri,PRAHLAD ROY,OTHER,746.0,ECI
18,Rajganj,KHAGESWAR ROY,TMC,104641.0,ECI
18,Rajganj,SUPEN ROY,BJP,88868.0,ECI
18,Rajganj,RATAN KUMAR ROY,CPM,12108.0,ECI
18,Rajganj,NOTA,OTHER,3175.0,ECI
18,Rajganj,TAPATI ROY (BARMAN),OTHER,1860.0,ECI
18,Rajganj,UDAY ROY,OTHER,1605.0,ECI
18,Rajganj,SANTI KISHOR BARARI,OTHER,1510.0,ECI
18,Rajganj,DIGBIJAY MANDAL,OTHER,1146.0,ECI
18,Rajganj,NIRODE CHANDRA ADHIKARY,OTHER,842.0,ECI
19,Dabgram-Fulbari,Sikha Chatterjee,BJP,129088.0,ECI
19,Dabgram-Fulbari,Goutam Deb,TMC,101495.0,ECI
19,Dabgram-Fulbari,Dilip Singh,CPM,17998.0,ECI
19,Dabgram-Fulbari,NOTA,OTHER,3379.0,ECI
19,Dabgram-Fulbari,Radhakrishna Namadas,OTHER,1395.0,ECI
19,Dabgram-Fulbari,Maheswar Barman,OTHER,1391.0,ECI
19,Dabgram-Fulbari,Rakhi Mandal,OTHER,1093.0,ECI
19,Dabgram-Fulbari,Subash Biswas,OTHER,1052.0,ECI
19,Dabgram-Fulbari,Amitav Naskar,OTHER,881.0,ECI
19,Dabgram-Fulbari,Shambhu Sutradhar,OTHER,650.0,ECI
19,Dabgram-Fulbari,Maniul Islam,OTHER,547.0,ECI
20,Mal,BULU CHIK BARAIK,TMC,99086.0,ECI
20,Mal,MAHESH BAGEY,BJP,93621.0,ECI
20,Mal,MANU ORAON,CPM,10929.0,ECI
20,Mal,NOTA,OTHER,4699.0,ECI
20,Mal,GITA ORAON,OTHER,3008.0,ECI
20,Mal,BABLU MAJHI,OTHER,1912.0,ECI
21,Nagrakata,PUNA BHENGRA,BJP,94722.0,ECI
21,Nagrakata,JOSEPH MUNDA,TMC,71247.0,ECI
21,Nagrakata,SUKBIR SUBBA,INC,12442.0,ECI
21,Nagrakata,NOTA,OTHER,5454.0,ECI
21,Nagrakata,ROBAT MUNDA,OTHER,3283.0,ECI
21,Nagrakata,BENAM ORAON,OTHER,2247.0,ECI
21,Nagrakata,ASHAN TIRKEY,OTHER,1774.0,ECI
22,Kalimpong,RUDEN SADA LEPCHA,OTHER,58206.0,ECI
22,Kalimpong,SUVA PRADHAN,BJP,54336.0,ECI
22,Kalimpong,DR. R.B. BHUJEL,OTHER,31856.0,ECI
22,Kalimpong,NOTA,OTHER,2160.0,ECI
22,Kalimpong,PENJO GOMPU BHUTIA,OTHER,1805.0,ECI
22,Kalimpong,SONGDEN LEPCHA,OTHER,1720.0,ECI
22,Kalimpong,DILIP PRADHAN,INC,1715.0,ECI
22,Kalimpong,UJJWAL RAI,OTHER,1562.0,ECI
22,Kalimpong,BHUPENDRA LEPCHA,OTHER,1503.0,ECI
23,Darjeeling,NEERAJ TAMANG ZIMBA,BJP,68907.0,ECI
23,Darjeeling,KESHAV RAJ SHARMA,OTHER,47631.0,ECI
23,Darjeeling,PEMBA TSHERING,OTHER,38240.0,ECI
23,Darjeeling,SURAJ GURUNG,OTHER,2855.0,ECI
23,Darjeeling,NOTA,OTHER,2540.0,ECI
23,Darjeeling,NIMA GYAMTSHO SHERPA,OTHER,2088.0,ECI
23,Darjeeling,GAUTAM RAJ RAI,CPM,1913.0,ECI
23,Darjeeling,ANJANI SHARMA,OTHER,1677.0,ECI
23,Darjeeling,MILAN THOKAR,OTHER,1397.0,ECI
23,Darjeeling,BHARAT PRAKASH RAI,OTHER,1327.0,ECI
24,Kurseong,Bishnu Prasad Sharma (alias B.P. Bajgain),BJP,73475.0,ECI
24,Kurseong,Tshering Lama,OTHER,57960.0,ECI
24,Kurseong,Narbu Lama,OTHER,33094.0,ECI
24,Kurseong,Uttam Brahman,CPM,2545.0,ECI
24,Kurseong,NOTA,OTHER,2417.0,ECI
24,Kurseong,Ugam Lama,OTHER,2299.0,ECI
24,Kurseong,Bikram Rai,OTHER,1429.0,ECI
24,Kurseong,Pranav Pradhan,OTHER,1366.0,ECI
24,Kurseong,Bhupendra Lepcha,OTHER,960.0,ECI
25,Matigara-Naxalbari,Anandamay Barman,BJP,139785.0,ECI
25,Matigara-Naxalbari,Rajen Sundas,TMC,68937.0,ECI
25,Matigara-Naxalbari,Sankar Malakar,INC,23060.0,ECI
25,Matigara-Naxalbari,NOTA,OTHER,3912.0,ECI
25,Matigara-Naxalbari,Rakesh Mondal,OTHER,2046.0,ECI
