ac_no,ac_name,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,source,district,region_scope
1,Mekliganj (SC),Paresh Chandra Adhikary,TMC,99338,Dadhiram Ray,BJP,84653,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
2,Mathabhanga (SC),Sushil Barman,BJP,113249,Girindra Nath Barman,TMC,87115,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
3,Cooch Behar Uttar (SC),Sukumar Roy,BJP,120483,Binay Krishna Barman,TMC,105868,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
4,Cooch Behar Dakshin,Nikhil Ranjan Dey,BJP,96629,Avijit De Bhowmik,TMC,91830,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
5,Sitalkuchi (SC),Baren Chandra Barman,BJP,124955,Partha Pratim Ray,TMC,107140,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
6,Sitai (SC),Jagadish Chandra Barma Basunia,TMC,117908,Dipak Kumar Roy,BJP,107796,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
7,Dinhata,Nisith Pramanik,BJP,116035,Udayan Guha,TMC,115978,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
8,Natabari,Mihir Goswami,BJP,111743,Rabindra Nath Ghosh,TMC,88303,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
9,Tufanganj,Malati Rava Roy,BJP,114503,Pranab Kumar Dey,TMC,83305,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Cooch Behar,North Bengal
10,Kumargram (ST),Manoj Kumar Oraon,BJP,111974,Leos Kujar,TMC,100973,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Alipurduar,North Bengal
11,Kalchini (ST),Bishal Lama,BJP,103104,Pasang Lama,TMC,74528,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Alipurduar,North Bengal
12,Alipurduars,Suman Kanjilal,BJP,107333,Sourav Chakraborty,TMC,91326,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Alipurduar,North Bengal
13,Falakata,Dipak Barman,BJP,102993,Subhash Chanda Roy,TMC,99003,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Alipurduar,North Bengal
14,Madarihat,Manoj Tigga,BJP,90718,Rajesh Lakra,TMC,61033,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Alipurduar,North Bengal
15,Dhupguri (SC),Bishnu Pada Ray,BJP,104688,Mitali Roy,TMC,100333,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
16,Maynaguri (SC),Kaushik Roy,BJP,115306,Manoj Roy,TMC,103395,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Jalpaiguri,North Bengal
