ac_no,candidate_2026,party_2026
1,Paresh Adhikary,TMC
1,PARESH,TMC
1,ADHIKARY,TMC
1,Dadhiram Roy,BJP
1,DADHIRAM,BJP
1,Kamal Roy,CPM
1,KAMAL,CPM
1,Ila Rani Roy,INC
1,RANI,INC
2,Sablu Barman,TMC
2,SABLU,TMC
2,BARMAN,TMC
2,Nisith Pramanik,BJP
2,NISITH,BJP
2,PRAMANIK,BJP
2,Khagen Barman,CPM
2,KHAGEN,CPM
2,Khitendra Nath Barman,INC
2,KHITENDRA,INC
2,NATH,INC
3,Partha Pratim Roy,TMC
3,PARTHA,TMC
3,PRATIM,TMC
3,Sukumar Roy,BJP
3,SUKUMAR,BJP
3,Pranay Karji,CPM
3,PRANAY,CPM
3,KARJI,CPM
3,Partha Pratim Ishore,INC
3,ISHORE,INC
4,Avijit Dey Bhowmik,TMC
4,AVIJIT,TMC
4,BHOWMIK,TMC
4,Rathindra Nath Bose,BJP
4,RATHINDRA,BJP
4,NATH,BJP
4,BOSE,BJP
4,Nazmul Alam Sarkar,CPM
4,NAZMUL,CPM
4,ALAM,CPM
4,SARKAR,CPM
4,Khokan Mian,INC
4,KHOKAN,INC
4,MIAN,INC
5,Harihar Das,TMC
5,HARIHAR,TMC
5,Savitri Barman,BJP
5,SAVITRI,BJP
5,BARMAN,BJP
5,Nabadipti Adhikari,CPM
5,NABADIPTI,CPM
5,ADHIKARI,CPM
5,Sukamal Barman,INC
5,SUKAMAL,INC
6,Sangita Roy,TMC
6,SANGITA,TMC
6,Ashutosh Barma,BJP
6,ASHUTOSH,BJP
6,BARMA,BJP
6,Arun Kumar Barma,CPM
6,ARUN,CPM
6,KUMAR,CPM
6,Rabin Roy,INC
6,RABIN,INC
7,Udayan Guha,TMC
7,UDAYAN,TMC
7,GUHA,TMC
7,Ajay Roy,BJP
7,AJAY,BJP
7,Bikash Mondal,CPM
7,BIKASH,CPM
7,MONDAL,CPM
7,Harihar Ray Singha,INC
7,HARIHAR,INC
7,SINGHA,INC
8,Sailen Barman,TMC
8,SAILEN,TMC
8,BARMAN,TMC
8,Girija Shankar Roy,BJP
8,GIRIJA,BJP
8,SHANKAR,BJP
8,Akik Hassan,CPM
8,AKIK,CPM
8,HASSAN,CPM
8,Biswajit Sarkar,INC
8,BISWAJIT,INC
8,SARKAR,INC
9,Shib Shankar Paul,TMC
9,SHIB,TMC
9,SHANKAR,TMC
9,PAUL,TMC
9,Malati Rava Roy,BJP
9,MALATI,BJP
9,RAVA,BJP
9,Dhananjoy Rava,CPM
9,DHANANJOY,CPM
9,Debendra Nath Barma,INC
9,DEBENDRA,INC
9,NATH,INC
9,BARMA,INC
10,Rajeev Tirkey,TMC
10,RAJEEV,TMC
10,TIRKEY,TMC
10,Manoj Kumar Oraon,BJP
10,MANOJ,BJP
10,KUMAR,BJP
10,ORAON,BJP
10,Kishore Minz,CPM
10,KISHORE,CPM
10,MINZ,CPM
10,Sudham Lama,INC
10,SUDHAM,INC
10,LAMA,INC
11,Birendra Bara,TMC
11,BIRENDRA,TMC
11,BARA,TMC
11,Bishal Lama,BJP
11,BISHAL,BJP
11,LAMA,BJP
11,Passang Sherpa,CPM
11,PASSANG,CPM
11,SHERPA,CPM
11,Anjan Chik Baraik,INC
11,ANJAN,INC
11,CHIK,INC
11,BARAIK,INC
12,Suman Kanjilal,TMC
12,SUMAN,TMC
12,KANJILAL,TMC
12,Paritosh Das,BJP
12,PARITOSH,BJP
12,Shyamal Roy,CPM
12,SHYAMAL,CPM
12,Mrinmoy Sarkar,INC
12,MRINMOY,INC
12,SARKAR,INC
13,Subhas Chandra Roy,TMC
13,SUBHAS,TMC
13,CHANDRA,TMC
13,Dipak Barman,BJP
13,DIPAK,BJP
13,BARMAN,BJP
13,Kamal Kishore Roy,CPM
13,KAMAL,CPM
13,KISHORE,CPM
13,Akshoy Kumar Barman,INC
13,AKSHOY,INC
13,KUMAR,INC
14,Jay Prakash Toppo,TMC
14,PRAKASH,TMC
14,TOPPO,TMC
14,Lakshman Limbu,BJP
14,LAKSHMAN,BJP
14,LIMBU,BJP
14,Subhas Lohar,CPM
14,SUBHAS,CPM
14,LOHAR,CPM
14,Joy Prafulla Lakra,INC
14,PRAFULLA,INC
14,LAKRA,INC
15,Nirmal Chandra Roy,TMC
15,NIRMAL,TMC
15,CHANDRA,TMC
15,Naresh Chandra Roy,BJP
15,NARESH,BJP
15,Niranjan Roy,CPM
15,NIRANJAN,CPM
15,Harish Chandra Roy,INC
15,HARISH,INC
16,Rammohan Roy,TMC
16,RAMMOHAN,TMC
16,Dalim Chandra Roy,BJP
16,DALIM,BJP
16,CHANDRA,BJP
16,Sudeb Roy,CPM
16,SUDEB,CPM
16,Jogen Sarkar,INC
16,JOGEN,INC
16,SARKAR,INC
17,Krishna Das,TMC
17,KRISHNA,TMC
17,Ananta Deb Adhikary,BJP
17,ANANTA,BJP
17,ADHIKARY,BJP
17,Debraj Barman,CPM
17,DEBRAJ,CPM
17,BARMAN,CPM
17,Sudipto Mohonto,INC
17,SUDIPTO,INC
17,MOHONTO,INC
18,Swapna Barman,TMC
18,SWAPNA,TMC
18,BARMAN,TMC
18,Dinesh Sarkar,BJP
18,DINESH,BJP
18,SARKAR,BJP
18,Kharendranath Roy,CPM
18,KHARENDRANATH,CPM
18,Tushar Kanti Roy,INC
18,TUSHAR,INC
18,KANTI,INC
19,Ranjan Shil Sharma,TMC
19,RANJAN,TMC
19,SHIL,TMC
19,SHARMA,TMC
19,Shikha Chatterjee,BJP
19,SHIKHA,BJP
19,CHATTERJEE,BJP
19,Dilip Singh,CPM
19,DILIP,CPM
19,SINGH,CPM
19,Rohit Singh Sisodia,INC
19,ROHIT,INC
19,SISODIA,INC
20,Bulu Chik Baraik,TMC
20,BULU,TMC
20,CHIK,TMC
20,BARAIK,TMC
20,Sukra Munda,BJP
20,SUKRA,BJP
20,MUNDA,BJP
20,Manu Oraon,CPM
20,MANU,CPM
20,ORAON,CPM
20,Rakesh Kujur,INC
20,RAKESH,INC
20,KUJUR,INC
21,Sanjay Kujur,TMC
21,SANJAY,TMC
21,KUJUR,TMC
21,Puna Bhengra,BJP
21,PUNA,BJP
21,BHENGRA,BJP
21,Dilkumar Oraon,CPM
21,DILKUMAR,CPM
21,ORAON,CPM
21,Shinu Munda,INC
21,SHINU,INC
21,MUNDA,INC
22,Ruden Sada Lepcha,TMC
22,RUDEN,TMC
22,SADA,TMC
22,LEPCHA,TMC
22,Bharat Chhetri,BJP
22,BHARAT,BJP
22,CHHETRI,BJP
22,Rita Thapa,CPM
22,RITA,CPM
22,THAPA,CPM
22,Santa Kumar Pradhan,INC
22,SANTA,INC
22,KUMAR,INC
22,PRADHAN,INC
23,Bijoy Kumar Rai,TMC
23,BIJOY,TMC
23,KUMAR,TMC
23,Noman Rai,BJP
23,NOMAN,BJP
23,Ajoy Edwards,OTHER
23,AJOY,OTHER
23,EDWARDS,OTHER
23,Madhap Rai,INC
23,MADHAP,INC
24,Amar Lama,TMC
24,AMAR,TMC
24,LAMA,TMC
24,Sonam Lama,BJP
24,SONAM,BJP
24,Uttam Sharma,CPM
24,UTTAM,CPM
24,SHARMA,CPM
24,Saroj Kumar Khatri,INC
24,SAROJ,INC
24,KUMAR,INC
24,KHATRI,INC
25,Shankar Malakar,TMC
25,SHANKAR,TMC
25,MALAKAR,TMC
25,Anandamoy Barman,BJP
25,ANANDAMOY,BJP
25,BARMAN,BJP
25,Jharen Roy,CPM
25,JHAREN,CPM
25,Amitava Sarkar,INC
25,AMITAVA,INC
25,SARKAR,INC
26,Goutam Deb,TMC
26,GOUTAM,TMC
26,Shankar Ghosh,BJP
26,SHANKAR,BJP
26,GHOSH,BJP
26,Sharadindu Chakraborty,CPM
26,SHARADINDU,CPM
26,CHAKRABORTY,CPM
26,Aloke Dhara,INC
26,ALOKE,INC
26,DHARA,INC
27,Reena Toppo Ekka,TMC
27,REENA,TMC
27,TOPPO,TMC
27,EKKA,TMC
27,Durga Murmu,BJP
27,DURGA,BJP
27,MURMU,BJP
27,Sumanti Ekka,CPM
27,SUMANTI,CPM
27,Nabanita Tirkey,INC
27,NABANITA,INC
27,TIRKEY,INC
28,Hamidul Rahaman,TMC
28,HAMIDUL,TMC
28,RAHAMAN,TMC
28,Shankar Adhikari,BJP
28,SHANKAR,BJP
28,ADHIKARI,BJP
28,Makleswar Rahaman,CPM
28,MAKLESWAR,CPM
28,Zakir Abedin,INC
28,ZAKIR,INC
28,ABEDIN,INC
29,Kanaia Lal Agarwal,TMC
29,KANAIA,TMC
29,AGARWAL,TMC
29,Chitrajit Roy,BJP
29,CHITRAJIT,BJP
29,Sami Khan,CPM
29,SAMI,CPM
29,KHAN,CPM
29,Guddi Riaz,INC
29,GUDDI,INC
29,RIAZ,INC
30,Md. Ghulam Rabbani,TMC
30,GHULAM,TMC
30,RABBANI,TMC
30,Sarajit Biswas,BJP
30,SARAJIT,BJP
30,BISWAS,BJP
30,Zamaluddin,CPM
30,ZAMALUDDIN,CPM
30,Masood Md. Naseem Ahsen,INC
30,MASOOD,INC
30,NASEEM,INC
30,AHSEN,INC
31,Minhajul Arfin Azad,TMC
31,MINHAJUL,TMC
31,ARFIN,TMC
31,AZAD,TMC
31,Manoj Jain,BJP
31,MANOJ,BJP
31,JAIN,BJP
31,Amjad Ali,CPM
31,AMJAD,CPM
31,Ali Imran Ramz,INC
31,IMRAN,INC
31,RAMZ,INC
32,Goutam Paul,TMC
32,GOUTAM,TMC
32,PAUL,TMC
32,Biraj Biswas,BJP
32,BIRAJ,BJP
32,BISWAS,BJP
32,Md. Sahabuddin,CPM
32,SAHABUDDIN,CPM
32,Murshid Alam,INC
32,MURSHID,INC
32,ALAM,INC
33,Satyajit Barman,TMC
33,SATYAJIT,TMC
33,BARMAN,TMC
33,Haripada Barman,BJP
33,HARIPADA,BJP
33,Tanushree Das,CPM
33,TANUSHREE,CPM
33,Anamika Roy,INC
