ac_no,district,region_scope
1,Cooch Behar,North Bengal
2,Cooch Behar,North Bengal
3,Cooch Behar,North Bengal
4,Cooch Behar,North Bengal
5,Cooch Behar,North Bengal
6,Cooch Behar,North Bengal
7,Cooch Behar,North Bengal
8,Cooch Behar,North Bengal
9,Cooch Behar,North Bengal
10,Alipurduar,North Bengal
11,Alipurduar,North Bengal
12,Alipurduar,North Bengal
13,Alipurduar,North Bengal
14,Alipurduar,North Bengal
15,Jalpaiguri,North Bengal
16,Jalpaiguri,North Bengal
17,Jalpaiguri,North Bengal
18,Jalpaiguri,North Bengal
19,Jalpaiguri,North Bengal
20,Jalpaiguri,North Bengal
21,Jalpaiguri,North Bengal
22,Kalimpong,North Bengal
23,Darjeeling,North Bengal
24,Darjeeling,North Bengal
25,Darjeeling,North Bengal
26,Darjeeling,North Bengal
27,Darjeeling,North Bengal
28,Uttar Dinajpur,North Bengal
29,Uttar Dinajpur,North Bengal
30,Uttar Dinajpur,North Bengal
31,Uttar Dinajpur,North Bengal
32,Uttar Dinajpur,North Bengal
33,Uttar Dinajpur,North Bengal
34,Uttar Dinajpur,North Bengal
35,Uttar Dinajpur,North Bengal
36,Uttar Dinajpur,North Bengal
37,Dakshin Dinajpur,North Bengal
38,Dakshin Dinajpur,North Bengal
39,Dakshin Dinajpur,North Bengal
40,Dakshin Dinajpur,North Bengal
41,Dakshin Dinajpur,North Bengal
42,Dakshin Dinajpur,North Bengal
43,Malda,North Bengal
44,Malda,North Bengal
45,Malda,North Bengal
46,Malda,North Bengal
47,Malda,North Bengal
48,Malda,North Bengal
49,Malda,North Bengal
50,Malda,North Bengal
51,Malda,North Bengal
52,Malda,North Bengal
53,Malda,North Bengal
54,Malda,North Bengal
