ac_no,district,ac_name,candidate,candidate_votes_total,booth_count,is_placeholder_candidate,party,allowed_parties,is_non_candidate_header,needs_review,notes,prefill_source,prefill_score
1,Cooch Behar,,ADHIKARY,6948,23,False,TMC,TMC|BJP|INC|CPM|ISF|OTHER,False,True,,,
1,Cooch Behar,,Serial No,4386,21,False,,TMC|BJP|INC|CPM|ISF|OTHER,True,True,,,
1,Cooch Behar,,candidate_col_1,2959,12,True,,TMC|BJP|INC|CPM|ISF|OTHER,False,True,,,
1,Cooch Behar,,candidate_col_2,217,11,True,,TMC|BJP|INC|CPM|ISF|OTHER,False,True,,,
1,Cooch Behar,,candidate_col_3,0,1,True,,TMC|BJP|INC|CPM|ISF|OTHER,False,True,,,
2,Cooch Behar,Mathabhanga (SC),Girindra Nath,24645,90,False,TMC,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,,
2,Cooch Behar,Mathabhanga (SC),Sushil Barman,24408,90,False,BJP,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,,
2,Cooch Behar,Mathabhanga (SC),Girindra Nath Barman,22815,68,False,TMC,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,,
2,Cooch Behar,Mathabhanga (SC),Haradhan BBarman,12671,20,False,OTHER,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,eci_candidate:Ratan Barman,0.786
2,Cooch Behar,Mathabhanga (SC),Ashok Barman,12228,156,False,CPM,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,,
2,Cooch Behar,Mathabhanga (SC),Sushil Raj Barman,10033,47,False,BJP,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,,
2,Cooch Behar,Mathabhanga (SC),Sushil,7135,20,False,BJP,TMC|BJP|INC|CPM|ISF|OTHER,False,False,,,
2,Cooch Behar,Mathabhanga (SC),Ashok Nath,5681,20,False,OTHER,TMC|BJP|INC|CPM|ISF|OTHER,False,True,,,
2,Cooch Behar,Mathabhanga (SC),candidate_col_3,5363,19,True,,TMC|BJP|INC|CPM|ISF|OTHER,False,True,,,
