ac_no,district,ac_name,candidate,candidate_votes_total,booth_count,needs_review,notes
52,Malda,MOTHABARI,SHYAMCHANMST YEASMIN,46717,32,True,
28,Uttar Dinajpur,Chopra,Ajov Sinha,45298,116,True,
53,Malda,SUJAPUR,CHOUDHUR MD ABDUL,40402,86,True,
25,Darjeeling,,Sankar Barman,36684,135,True,
13,Alipurduar,Falakata(SC),DIPAK CHANDRA RAY,28633,88,True,
48,Malda,,KHATUN,22168,126,True,
53,Malda,SUJAPUR,RAFIKUL GHANI,21497,44,True,
53,Malda,SUJAPUR,RAFIKUL HASAN,17897,87,True,
25,Darjeeling,,Column 1,17614,71,True,
53,Malda,SUJAPUR,MD ABDUL HASAN,17167,38,True,
37,Dakshin Dinajpur,Kushmandi (SC) AC,BISWANATH KUMAR,15716,48,True,
52,Malda,MOTHABARI,YEASMIN KHATUN,15503,46,True,
13,Alipurduar,Falakata(SC),SUBHASH BARMAN,15105,60,True,
4,Cooch Behar,,Khokan Dey,14111,48,True,
48,Malda,,ALI CHOWHURY,14042,41,True,
21,Jalpaiguri,,MUNDA,14019,24,True,
37,Dakshin Dinajpur,Kushmandi (SC) AC,RANJIT ROYSTIC,13854,48,True,
17,Jalpaiguri,,DR. SUBHASH KUMAR BARMA,13802,68,True,
42,Dakshin Dinajpur,Harihampur Assembly,"SHANKAR MAHISHA, NIRMALAMP",13527,45,True,
40,Dakshin Dinajpur,Tapan (ST),KISKU,12889,43,True,
13,Alipurduar,Falakata(SC),DIPAK,12823,45,True,
39,Dakshin Dinajpur,BALURGHAT,"SEKLIAR BISWAS, BMP",12812,66,True,
16,Jalpaiguri,,UDAY ROY,12702,113,True,
2,Cooch Behar,Mathabhanga (SC),Haradhan BBarman,12671,20,True,
28,Uttar Dinajpur,Chopra,Md. Akhler Shahin,12409,40,True,
32,Uttar Dinajpur,,SINGHA,12189,21,True,
50,Malda,MALDAHA (SC),GOPAL CHOWDHURY,12180,38,True,
24,Darjeeling,,Narb u Pranav,11284,62,True,
32,Uttar Dinajpur,,SUBHAS MD. GOUTAM,11190,48,True,
47,Malda,MALATIPUR,AB DUR RAHIM,10824,33,True,
41,Dakshin Dinajpur,Gangarampur (SC),GOLITAM,9720,39,True,
25,Darjeeling,,Column 2,9669,68,True,
16,Jalpaiguri,,UDAY BISWANATH SARKAR,8903,26,True,
16,Jalpaiguri,,BILASH ROY,8664,46,True,
45,Malda,,Jhantu Prasad,8476,23,True,
10,Alipurduar,,No. Of,8398,23,True,
12,Alipurduar,,SOURAV ROY,8365,24,True,
23,Darjeeling,,NEERAJ RAI,8234,64,True,
7,Cooch Behar,,NISITH GUHA,8217,31,True,
12,Alipurduar,,SUMAN CHAKRABORTY,7822,30,True,
32,Uttar Dinajpur,,SUBHASH HARUN,7711,24,True,
36,Uttar Dinajpur,ITAHAR,SRIKUMAR MOFAKKER,7693,30,True,
41,Dakshin Dinajpur,Gangarampur (SC),SAI'YI\it)R,7653,13,True,
13,Alipurduar,Falakata(SC),SUBHASH ADHIKARI,7619,41,True,
25,Darjeeling,,No. of Votes,7615,23,True,
24,Darjeeling,,Uttam Prasad,7598,56,True,
8,Cooch Behar,of 13,No. of Votes,7562,20,True,
12,Alipurduar,,SOURAV ABINASHASHIM ROY,7533,29,True,
15,Jalpaiguri,,BISHNU ROY,7504,100,True,
9,Cooch Behar,,Malati Saha,7501,47,True,
10,Alipurduar,,KALAWATI ARAIK,7390,23,True,
15,Jalpaiguri,,SUJAN ROY,7384,175,True,
32,Uttar Dinajpur,,MD. CHANDRA,7312,26,True,
11,Alipurduar,,PASSANGBISHAL,7245,25,True,
44,Malda,,BARMAN,7087,42,True,
17,Jalpaiguri,,DR. SUBHASH PRADIPSUKHBILASKUMAR SOUJITISWAR PALENDRAPRAHLADRAKHI,6989,25,True,
1,Cooch Behar,,ADHIKARY,6948,23,True,
16,Jalpaiguri,,ROY,6875,26,True,
39,Dakshin Dinajpur,BALURGHAT,sucnsrx,6780,27,True,
16,Jalpaiguri,,CHANDRA ADHIKARI,6756,25,True,
3,Cooch Behar,,Column 5,6660,18,True,
12,Alipurduar,,PIJUSH CHAKRABORTY,6640,24,True,
17,Jalpaiguri,,PRADIP SARKAR,6476,26,True,
13,Alipurduar,Falakata(SC),TARANI ADHIKARI,6441,48,True,
42,Dakshin Dinajpur,Harihampur Assembly,PRADIP CHAKRA,6425,89,True,
8,Cooch Behar,of 13,RABINDRA NA AHOSH,6329,27,True,
13,Alipurduar,Falakata(SC),DIPAK CHANDRA ROY,6280,48,True,
16,Jalpaiguri,,NARESH CHANDRAA,6218,25,True,
19,Jalpaiguri,,RADHAKRIS GOUTAM,6187,26,True,
52,Malda,MOTHABARI,MST D GHOSH,5987,30,True,
6,Cooch Behar,,KKUMAR,5939,21,True,
12,Alipurduar,,PIJUSH KANJILAL,5846,23,True,
6,Cooch Behar,,KESHAB BASUNIA,5809,24,True,
2,Cooch Behar,Mathabhanga (SC),Ashok Nath,5681,20,True,
52,Malda,MOTHABARI,RAM CHANDRA KALIMULLAH,5635,46,True,
45,Malda,,Jhantu Saha,5596,17,True,
27,Darjeeling,,Female,5534,24,True,
23,Darjeeling,,NEERAJ RAJ,5502,21,True,
23,Darjeeling,,Rai,5377,19,True,
26,Darjeeling,,eence,5338,23,True,
17,Jalpaiguri,,PRADIP SARKAR (PIKU),5305,26,True,
23,Darjeeling,,GAUTAM ZIMBA,5257,88,True,
